source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,gwy_ops_py_stats,202433073.66020134,75354443.76373321,242148,kPa,211354726.92997748,179838487.29423624,242148,-8921653.269776136,-104484043.53050303,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,raw_chauvenet,202433073.66020134,75354443.76373321,242148,kPa,211354726.92997748,179838487.29423624,242148,-8921653.269776136,-104484043.53050303,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,raw_minmax,202433073.66020134,75354443.76373321,242148,kPa,211354726.92997748,179838487.29423624,242148,-8921653.269776136,-104484043.53050303,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,raw_three_sigma,202433073.66020134,75354443.76373321,242148,kPa,211354726.92997748,179838487.29423624,242148,-8921653.269776136,-104484043.53050303,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,gwy_ops_py_stats,105239798.57717517,55235591.64175435,244799,kPa,107998348.54426378,97974863.01485436,244799,-2758549.96708861,-42739271.373100005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,raw_chauvenet,105239798.57717517,55235591.64175435,244799,kPa,107998348.54426378,97974863.01485436,244799,-2758549.96708861,-42739271.373100005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,raw_minmax,105239798.57717517,55235591.64175435,244799,kPa,107998348.54426378,97974863.01485436,244799,-2758549.96708861,-42739271.373100005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,raw_three_sigma,103776964.38686843,44410662.48601801,244309,kPa,107998348.54426378,97974863.01485436,244799,-4221384.157395348,-53564200.52883635,-490
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,gwy_ops_py_stats,50093960.19359614,28365511.48857623,249691,kPa,50182462.223576725,31445621.717189237,249691,-88502.02998058498,-3080110.228613008,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,raw_chauvenet,49639096.26327912,22529655.17371916,249513,kPa,50182462.223576725,31445621.717189237,249691,-543365.9602976069,-8915966.543470077,-178
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,raw_minmax,50093960.19359614,28365511.48857623,249691,kPa,50182462.223576725,31445621.717189237,249691,-88502.02998058498,-3080110.228613008,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,raw_three_sigma,49255236.65510897,19300555.377738185,249237,kPa,50182462.223576725,31445621.717189237,249691,-927225.5684677511,-12145066.339451052,-454
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,gwy_ops_py_stats,38867314.81108521,22720079.640543953,260090,kPa,38898812.09383559,23660809.178077944,260090,-31497.28275038302,-940729.537533991,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,raw_chauvenet,37585820.854579546,16274917.33186816,258118,kPa,38898812.09383559,23660809.178077944,260090,-1312991.2392560467,-7385891.846209783,-1972
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,raw_minmax,38867314.81108521,22720079.640543953,260090,kPa,38898812.09383559,23660809.178077944,260090,-31497.28275038302,-940729.537533991,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,raw_three_sigma,36467663.63520068,12716137.77171544,255030,kPa,38898812.09383559,23660809.178077944,260090,-2431148.458634913,-10944671.406362504,-5060
