source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,Modulus,Forward,2,251020,modulus_gwy_ops_py_stats,modulus,50093960.19359614,28365511.48857623,kPa,249691,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,Modulus,Forward,0,251021,modulus_gwy_ops_py_stats,modulus,202433073.66020134,75354443.76373321,kPa,242148,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,Modulus,Forward,1,251021,modulus_gwy_ops_py_stats,modulus,105239798.57717517,55235591.64175435,kPa,244799,512,512,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,Modulus,Forward,2,251022,modulus_gwy_ops_py_stats,modulus,38867314.81108521,22720079.640543953,kPa,260090,512,512,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Forward-251022-CRO_92313101.tiff,Modulus,Forward,3,251022,modulus_gwy_ops_py_stats,modulus,50065515.22930733,30317475.1117068,kPa,251421,512,512,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,Modulus,Forward,4,251022,modulus_gwy_ops_py_stats,modulus,37989208.88293958,11937580.391055627,kPa,261605,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,Modulus,Forward,5,251027,modulus_gwy_ops_py_stats,modulus,311266356.6510433,41452745.52615134,kPa,260532,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,Modulus,Forward,6,251027,modulus_gwy_ops_py_stats,modulus,324658798.6083881,58989769.21996826,kPa,256591,512,512,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,Modulus,Forward,7,251027,modulus_gwy_ops_py_stats,modulus,109222821.761382,35388785.54598759,kPa,253816,512,512,0,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,Modulus,Forward,8,251027,modulus_gwy_ops_py_stats,modulus,581700280.6933371,281476678.2890068,kPa,8378,512,512,0,15
