source_file,mode,metric_type,avg_value,std_value,units,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_basic,modulus,449578496.48017883,105460008907.51006,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO.tiff,modulus_basic,modulus,200229591.11348915,28602858379.416454,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_basic,modulus,241831140.46209908,44322549950.14601,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO.tiff,modulus_basic,modulus,102473138.09660912,8186381871.390645,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO.tiff,modulus_basic,modulus,217325082.1094551,77911576898.11154,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO.tiff,modulus_basic,modulus,47573888.1240263,2527828328.8138494,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO.tiff,modulus_basic,modulus,38974795.54419327,54678619.720221914,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO.tiff,modulus_basic,modulus,39247942.21693611,66498265.13506909,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO.tiff,modulus_basic,modulus,187017848.69626617,52261105454.712685,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Forward-251022-CRO.tiff,modulus_basic,modulus,47309117.03326893,1076356751.064682,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Backward-251022-CRO.tiff,modulus_basic,modulus,38184059.29597473,67092594.577977054,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO.tiff,modulus_basic,modulus,38225738.57923889,59102795.01954735,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Backward-251027-CRO.tiff,modulus_basic,modulus,803924754.8991833,312130855958.0672,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO.tiff,modulus_basic,modulus,316831065.86824226,99916332321.90866,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO.tiff,modulus_basic,modulus,428249731.51652527,179116126166.9151,GPa,512,512,-1,-1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO.tiff,modulus_basic,modulus,340409589.00274277,72910193009.61829,GPa,512,512,-1,-1
