source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,1,740,30.695231927842155,299.7581242953335,20.139189189189185,11.920270270270269,196.67176942567565,116.4088893581081,0,0,0,1.9667176942567565e-07,1.164088893581081e-07,740.0,7.057189941406249e-14,1.3239666061538995e-13,3.574067421407484e-08,1.3305700663374406e-07,8.379128600933903e-11,2.8597561606363667e-08,1.4987906214766678e-07,2.656537208737391e-07,2.0160546396312212e-07,1.3039502202964946e-07,2.4714528417834684e-07,7.617104893005044e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,2,63486,284.3112479960238,2776.4770312111696,320.6539552027219,179.43162271996974,3131.3862812765806,1752.2619406247045,0,0,0,3.1313862812765807e-06,1.7522619406247045e-06,63486.0,6.054496765136718e-12,7.875074287814749e-12,1.1825798704271801e-07,5.304242745788794e-07,5.2248552215333665e-12,8.654904198234058e-08,1.3882385156055849e-06,2.460588702960476e-06,1.7611967729456629e-06,1.5190569843373262e-06,2.5222399897025925e-06,6.60219001562877e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,3,4117,72.40115472611376,707.0425266222047,368.01615253825594,36.055258683507404,3593.9077396314055,352.102135581127,0,0,0,3.5939077396314057e-06,3.52102135581127e-07,4117.0,3.9262771606445304e-13,6.520934231327004e-13,9.025894363534744e-08,2.557594569527424e-07,1.1182769174605199e-10,7.52923852318527e-08,3.535212633111023e-07,6.266001245327462e-07,4.1984525812868627e-07,3.1009216260183914e-07,4.6233274225107833e-07,2.4004092068465734e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,4,5,2.5231325220201604,24.63996603535313,0.7,20.9,6.835937499999999,204.10156249999997,0,0,0,6.835937499999999e-09,2.0410156249999996e-07,5.0,4.768371582031249e-16,6.226460551219991e-16,5.720380330637487e-09,7.959848184222269e-09,1.32365048306959e-09,2.454714605744477e-09,1.2319983017676562e-08,2.183660134277138e-08,1.945412761892174e-08,8.890651960948699e-09,2.0133723827576122e-08,6.100233627323887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,5,12,3.9088200952233594,38.17207124241562,9.166666666666666,20.83333333333333,89.51822916666666,203.4505208333333,0,0,0,8.951822916666665e-08,2.034505208333333e-07,12.0,1.1444091796874998e-15,1.7846615781132267e-15,7.269704426603582e-09,1.3365674259025065e-08,3.85595906639997e-09,3.2397242335311448e-09,1.908603562120781e-08,3.382911733532963e-08,2.4868588900702636e-08,1.5058678398223454e-08,2.7621359363750264e-08,1.1507240902298532e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,6,32,6.383076486422923,62.33473131272386,38.99999999999999,35.46874999999999,380.85937499999994,346.37451171874994,0,0,0,3.8085937499999994e-07,3.4637451171874997e-07,32.0,3.0517578124999993e-15,7.414102923022246e-15,1.1405597944834957e-08,2.5213307431188356e-08,1.29282888881498e-10,6.9975417377118874e-09,3.1167365656361924e-08,5.524271728019902e-08,6.013681107010012e-08,1.654744761699335e-08,5.940921193683215e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,7,2,1.5957691216057308,15.583682828180965,4.499999999999999,37.99999999999999,43.94531249999999,371.09374999999994,0,0,0,4.3945312499999996e-08,3.7109374999999997e-07,2.0,1.9073486328124996e-16,7.596587363573654e-16,2.323589578659213e-10,2.323589578659213e-10,2.323589578659213e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385667e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,8,18,4.787307364817192,46.751048484542885,19.499999999999996,37.99999999999999,190.42968749999997,371.09374999999994,0,0,0,1.9042968749999997e-07,3.7109374999999997e-07,18.0,1.7166137695312496e-15,7.572436139790022e-15,2.0816743132314942e-08,3.8165070878407736e-08,1.359100748573713e-09,1.216166765232214e-08,2.3375524242271445e-08,4.1432037960149266e-08,5.016199158008308e-08,1.1147109240018473e-08,4.501730692037544e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,9,18190,152.18484589055709,1486.1801356499716,81.19070918086861,135.3631115997801,792.87801934442,1321.9053867166024,0,0,0,7.9287801934442e-07,1.3219053867166024e-06,18190.0,1.7347335815429684e-12,2.4594242133380156e-12,1.0508626176796721e-07,5.993686254152657e-07,9.13331772046999e-12,8.659251158817801e-08,7.430900678249857e-07,1.317092852286037e-06,9.029380259702387e-07,6.479742934329727e-07,1.0882272154053042e-06,5.807757250252696e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,10,23,5.4115163798060095,52.84683964654306,5.326086956521738,52.19565217391304,52.0125679347826,509.7231657608695,0,0,0,5.2012567934782604e-08,5.097231657608695e-07,23.0,2.1934509277343745e-15,4.162748825863379e-15,6.2095164721019735e-09,1.4255136707839829e-08,3.4196838827793805e-12,5.36349536073764e-09,2.642341982327153e-08,4.683429221985077e-08,5.380906220652211e-08,1.3807959027604078e-08,4.979630865908593e-08,1.4647898662863909e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,11,5,2.5231325220201604,24.63996603535313,23.499999999999996,60.9,229.49218749999997,594.7265625,0,0,0,2.2949218749999997e-07,5.947265625e-07,5.0,4.768371582031249e-16,1.0234748459880926e-15,2.308955048275047e-09,4.755783601561274e-09,4.5504341881207274e-10,2.0126658198664664e-09,1.2319983017676562e-08,2.183660134277138e-08,1.5044964258116173e-08,1.2298305994313407e-08,1.856192405267184e-08,6.100233627323885e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,12,4,2.256758334191025,22.03865560733423,27.749999999999993,66.74999999999999,270.99609374999994,651.8554687499999,0,0,0,2.7099609374999997e-07,6.518554687499999e-07,4.0,3.814697265624999e-16,6.128256848476747e-16,1.4928068527228182e-09,2.3733986284125147e-09,5.218873050654606e-10,6.561642699488105e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.6668816216201414e-08,8.334408108100707e-09,1.7605834430534736e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,13,1,1.1283791670955126,11.019327803667116,29.499999999999993,71.49999999999999,288.08593749999994,698.2421874999999,0,0,0,2.8808593749999996e-07,6.982421874999999e-07,1.0,9.536743164062498e-17,1.182008815302123e-16,5.705685482199102e-10,5.705685482199102e-10,5.705685482199102e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,14,2553,57.01386285552726,556.7760044485084,138.17332549941244,207.56071288679985,1349.3488818301996,2026.9600867851548,0,0,0,1.3493488818301996e-06,2.0269600867851547e-06,2553.0,2.434730529785156e-13,4.565761054012276e-13,8.322560929179028e-08,1.8037630998264153e-07,1.3402152896731744e-10,4.694866816615969e-08,2.7838800222425414e-07,4.934298865882726e-07,5.016702219619037e-07,1.57672197305855e-07,5.423611159136873e-07,1.5624898785333222e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,15,2458,55.94303174622403,546.3186693967191,51.17819365337673,239.0557363710333,499.78704739625715,2334.528675498372,1,1,0,4.997870473962571e-07,2.3345286754983724e-06,2458.0,2.344131469726562e-13,4.320654091355593e-13,6.719968389834967e-08,2.645185518598209e-07,9.419310137467266e-11,4.381830737768533e-08,2.731593346983595e-07,4.841623146968961e-07,3.5982947367192345e-07,2.1525847390402127e-07,4.110322046345608e-07,1.9169744530203593e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,16,429,23.371344948277684,228.23579051052425,5.5792540792540795,249.11072261072258,54.48490311771562,2432.7219004953376,0,0,0,5.4484903117715616e-08,2.4327219004953375e-06,429.0,4.091262817382812e-14,9.309996434663065e-14,7.743210179951809e-08,2.0403836441878951e-07,1.962541787080589e-10,5.087190849678973e-08,1.1411789525526212e-07,2.0226870290242165e-07,2.1361493934729535e-07,6.59166067457574e-08,2.2207855219125607e-07,5.999521381128978e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,17,18329,152.7652042038723,1491.8476973034403,129.32879589721207,394.8823449178896,1262.9765224337116,3856.2728995887655,0,0,0,1.2629765224337116e-06,3.856272899588766e-06,18329.0,1.7479896545410153e-12,2.4251190428395457e-12,9.503602929926532e-08,2.655483424566045e-07,2.370311894678409e-11,6.377007413888536e-08,7.459238486517201e-07,1.3221155980250045e-06,1.3028211193700053e-06,4.780269165079018e-07,1.2844538834037415e-06,3.3418302334858804e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,18,218,16.66031874701878,162.69842526385528,71.8623853211009,269.6605504587156,701.781106651376,2633.4038130733943,0,0,0,7.01781106651376e-07,2.6334038130733944e-06,218.0,2.0790100097656247e-14,1.0658123646247182e-13,8.335328050522613e-08,1.9583780472324815e-07,2.035991679252406e-09,5.739517221909991e-08,8.134921263192764e-08,1.441877251975918e-07,1.59296814414475e-07,4.624711300877168e-08,1.8714740222752528e-07,4.31336764280619e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,19,158,14.183506197980657,138.51080271465486,169.37974683544303,280.72784810126575,1654.0990901898733,2741.4828916139236,0,0,0,1.6540990901898733e-06,2.7414828916139238e-06,158.0,1.5068054199218746e-14,1.646270727376385e-14,1.0245231627557935e-08,1.8648003436428846e-08,2.738114670396989e-10,4.610827886355039e-09,6.925540135732742e-08,1.2275200283180207e-07,8.367321806941919e-08,5.773145293518138e-08,8.544262061777136e-08,5.371015314216952e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,20,5267,81.89110258214932,799.7177986538019,13.052686538826656,412.52430225935063,127.46764198072906,4028.5576392514713,0,0,0,1.2746764198072906e-07,4.028557639251471e-06,5267.0,5.023002624511717e-13,1.2694582128906105e-12,2.2781982277907097e-07,6.605539188258042e-07,5.89303889269385e-11,1.6431027596699e-07,3.9985889932690094e-07,7.087314459308065e-07,1.0949193678790795e-06,1.6077673178928993e-07,1.1565361735845236e-06,1.8082231797924382e-07
