source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,1,160244,451.695691374781,4411.0907360818455,267.3876525798158,213.98263273507897,2611.2075447247635,2089.6741478035055,0,0,0,2.6112075447247632e-06,2.0896741478035056e-06,160244.0,1.5282058715820308e-11,3.8023157445235524e-11,3.8066777917402654e-07,2.63801499509643e-06,1.16420054995653e-12,5.054240980202613e-07,2.205545368040923e-06,3.9092273809309565e-06,2.6793169415998084e-06,2.3366890018970746e-06,3.3807085188741345e-06,5.42694921325543e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,2,117,12.205286835384658,119.1922542518033,507.0555555555555,48.03846153846154,4951.714409722222,469.12560096153845,0,0,0,4.951714409722221e-06,4.6912560096153845e-07,117.0,1.1157989501953122e-14,4.624163586697029e-14,9.899383567234561e-08,2.4876759200922903e-07,1.226991891675222e-09,6.508054767020464e-08,5.9596127125901644e-08,1.0563138502335905e-07,6.579667218267584e-08,5.7188691563121785e-08,8.379259802172825e-08,4.625744680025879e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,3,123,12.514330345744634,122.21025728266244,491.4999999999999,73.5,4799.804687499999,717.7734375,0,0,0,4.799804687499999e-06,7.177734375e-07,123.0,1.1730194091796873e-14,2.9921751430662525e-13,2.1096422604494847e-07,4.640125191573715e-07,7.366068539970666e-09,1.3065256105879988e-07,6.110512864133123e-08,1.0830602057040445e-07,2.2851573942037847e-07,1.6720663860027624e-08,2.0073051553803222e-07,1.4633789062499998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,4,1,1.1283791670955126,11.019327803667116,467.4999999999999,292.49999999999994,4565.429687499999,2856.4453124999995,0,0,0,4.5654296874999995e-06,2.8564453124999997e-06,1.0,9.536743164062498e-17,9.568348129272239e-17,5.148713105381572e-12,5.148713105381572e-12,5.148713105381572e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,5,1,1.1283791670955126,11.019327803667116,488.5,305.49999999999994,4770.5078125,2983.3984374999995,0,0,0,4.7705078125e-06,2.9833984374999996e-06,1.0,9.536743164062498e-17,9.820434812422858e-17,1.4487160647865168e-10,1.4487160647865168e-10,1.4487160647865168e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,6,1,1.1283791670955126,11.019327803667116,169.5,393.4999999999999,1655.2734375,3842.773437499999,0,0,0,1.6552734375e-06,3.842773437499999e-06,1.0,9.536743164062498e-17,9.607267102691526e-17,4.102668452598728e-11,4.102668452598728e-11,4.102668452598728e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600254956e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,7,25,5.641895835477563,55.09663901833557,115.73999999999998,401.74,1130.2734374999998,3923.2421875,0,0,0,1.1302734374999998e-06,3.9232421875e-06,25.0,2.3841857910156247e-15,2.407396684777158e-15,6.808327606652475e-10,1.4614895106904073e-09,2.2629551453356145e-11,4.750770754012828e-10,2.7548319509167786e-08,4.8828124999999996e-08,4.179916674962488e-08,2.2009304384488646e-08,5.0294688754203914e-08,1.5438134946181216e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,8,1,1.1283791670955126,11.019327803667116,138.5,403.49999999999994,1352.5390625,3940.4296874999995,0,0,0,1.3525390625e-06,3.9404296874999995e-06,1.0,9.536743164062498e-17,9.757791720961546e-17,1.1530995816381347e-09,1.1530995816381347e-09,1.1530995816381347e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,9,1,1.1283791670955126,11.019327803667116,114.5,405.49999999999994,1118.1640625,3959.9609374999995,0,0,0,1.1181640625e-06,3.9599609375e-06,1.0,9.536743164062498e-17,9.852024757609036e-17,4.957277085048932e-11,4.957277085048932e-11,4.957277085048932e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,10,11,3.742410318509555,36.54697576669488,119.49999999999997,407.3181818181818,1166.9921874999998,3977.7166193181815,0,0,0,1.1669921874999999e-06,3.9777166193181815e-06,11.0,1.0490417480468747e-15,1.069552634879352e-15,1.0078545547667612e-09,1.6545708789667437e-09,1.385886827942479e-10,4.3971372949923493e-10,1.8273487883347434e-08,3.238891396831445e-08,2.5553813994561614e-08,1.7039160907223545e-08,2.847144479904932e-08,5.717541722276226e-09
