source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,1,722,30.319613310508885,296.0899737354383,12.404432132963986,13.037396121883654,121.13703254847643,127.31832150277006,0,0,0,1.2113703254847643e-07,1.2731832150277007e-07,722.0,6.885528564453124e-14,6.971849497979552e-14,1.272463283390221e-08,2.586949564830769e-08,3.60919637598111e-11,7.632516491260181e-09,1.4804498686771916e-07,2.6240290708094536e-07,2.026535206636876e-07,1.1948277807203592e-07,2.696890319432747e-07,1.0823623001910143e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,2,218,16.66031874701878,162.69842526385528,81.66055045871558,5.866972477064219,797.4663130733943,57.294653096330265,0,0,0,7.974663130733943e-07,5.729465309633027e-08,218.0,2.0790100097656247e-14,2.0892142742562475e-14,1.777820918676594e-09,4.931528151295478e-09,2.9662532981020457e-11,1.193254571087251e-09,8.134921263192764e-08,1.441877251975918e-07,1.2343070250635065e-07,6.40518806079562e-08,1.419381267490154e-07,3.879898098069303e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,3,1197,39.039310125154486,381.24326294096176,153.6971595655806,25.275271512113616,1500.948823882623,246.82882336048453,1,1,0,1.500948823882623e-06,2.4682882336048453e-07,1197.0,1.141548156738281e-13,1.146804234071149e-13,2.4992329430012873e-09,6.778775921208152e-09,1.150494636551723e-11,1.7166312528216068e-09,1.9062163147048089e-07,3.3786804476574594e-07,2.7892071703798855e-07,1.4970956615040202e-07,3.2146454876232997e-07,7.973270285752928e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,4,123231,396.1093060472814,3868.2549418679823,248.65855588285416,243.25698484959142,2428.3062097934976,2375.556492671791,0,0,0,2.4283062097934976e-06,2.375556492671791e-06,123231.0,1.1752223968505857e-11,1.2048097347161018e-11,1.6970262309145317e-08,1.5283972978542698e-07,1.0256682727917604e-14,2.4796217058343152e-08,1.934127470933991e-06,3.428151683999099e-06,2.3222257761645936e-06,2.1189024079635285e-06,3.039468852753804e-06,4.5793002285482194e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,5,1956,49.904474243317885,487.34838128240125,485.0352760736196,18.368609406952967,4736.672617906442,179.38095123977507,0,0,1,4.736672617906441e-06,1.7938095123977506e-07,1956.0,1.8653869628906245e-13,1.8733198328824566e-13,6.131202750884096e-09,1.566098423485335e-08,6.338222006878545e-12,4.360302403006782e-09,2.4367419064120057e-07,4.319012575682808e-07,3.0769358561501115e-07,1.9860500069749738e-07,3.5143532739148123e-07,1.7281457025620206e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,6,89,10.645107772184812,103.9561305877423,103.12921348314607,17.43258426966292,1007.1212254213484,170.24008075842696,0,0,0,1.0071212254213484e-06,1.7024008075842694e-07,89.0,8.487701416015624e-15,8.506587034394459e-15,7.289336650634524e-10,1.5623054931756817e-09,3.7111883177773027e-11,3.9444667279371734e-10,5.197806529387115e-08,9.212872199274027e-08,8.516823501699841e-08,3.3262778668171975e-08,8.734842999155574e-08,2.6608552110808754e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,7,10,3.5682482323055424,34.84617414360881,141.3,16.1,1379.8828125,157.2265625,0,0,0,1.3798828125e-06,1.572265625e-07,10.0,9.536743164062499e-16,9.543409413631383e-16,1.8984255395533067e-10,2.993220095353378e-10,2.7104696579683222e-11,9.25332676643482e-11,1.7423087071804404e-08,3.0881617775081825e-08,2.2551414740531257e-08,1.4212398377230596e-08,2.4663214923071703e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,8,22,5.292567428401227,51.68522879298074,133.22727272727272,18.363636363636363,1301.0475852272725,179.33238636363635,0,0,0,1.3010475852272725e-06,1.7933238636363636e-07,22.0,2.0980834960937495e-15,2.1038708208680876e-15,3.653227076469966e-10,6.532221380521277e-10,3.4304621354647354e-11,1.9361770807478757e-10,2.5842614396490367e-08,4.5804841404525675e-08,3.471173156534636e-08,2.00561985620445e-08,3.718657205523897e-08,1.7203932683133777e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,9,47,7.735777827895049,75.54470535053758,300.6489361702128,19.6063829787234,2936.024767287234,191.4685837765957,0,0,0,2.936024767287234e-06,1.914685837765957e-07,47.0,4.482269287109374e-15,4.513412959851432e-15,1.3261278441771034e-09,2.627539074344456e-09,5.05732172675396e-12,8.836748062331873e-10,3.7772352675268796e-08,6.694975195704144e-08,4.467964701700401e-08,3.2574449158345615e-08,4.809525651905126e-08,2.83197982055554e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,10,151,13.86575534383214,135.40776702961074,90.74503311258276,30.857615894039732,886.181963990066,301.34390521523176,0,0,0,8.861819639900661e-07,3.0134390521523176e-07,151.0,1.440048217773437e-14,1.4445392841057825e-14,1.0962222337879452e-09,3.0027545401189487e-09,6.334335636467913e-12,8.141208611005458e-10,6.770388351480536e-08,1.2000200905707525e-07,9.803324458678317e-08,4.8201825001580495e-08,9.875041391865155e-08,3.913101011094228e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,11,111,11.888212206450685,116.09582232861997,26.914414414414413,28.905405405405407,262.83607826576576,282.2793496621622,0,0,0,2.6283607826576575e-07,2.8227934966216216e-07,111.0,1.0585784912109372e-14,1.0614284512794384e-14,9.680480299891611e-10,2.3297453315977203e-09,4.467587542720769e-11,5.43431023353079e-10,5.804791116430998e-08,1.0288724368020251e-07,1.043430728130115e-07,3.466595576211185e-08,1.044969066500377e-07,3.45257293118616e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,12,44,7.48482063701911,73.09395153338976,439.63636363636357,27.36363636363636,4293.323863636363,267.2230113636363,0,0,0,4.293323863636363e-06,2.672230113636363e-07,44.0,4.196166992187499e-15,4.2127670775361465e-15,9.622565276294048e-10,2.4495095293096064e-09,2.981124092186112e-11,7.502419067223328e-10,3.654697576669487e-08,6.47778279366289e-08,5.086127122146717e-08,2.6927167311643178e-08,5.5673147793068004e-08,2.513231513684839e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,13,121,12.412170838050638,121.21260584033827,45.59090909090909,30.318181818181817,445.2237215909091,296.0759943181818,0,0,0,4.452237215909091e-07,2.960759943181818e-07,121.0,1.1539459228515623e-14,1.1675201902851677e-14,2.559584834670692e-09,6.320612002833047e-09,5.2356444159758926e-11,1.8471362649816975e-09,6.060630292016912e-08,1.0742187499999999e-07,7.791878962296936e-08,4.7668148829507724e-08,8.126658725077892e-08,4.2066250515902186e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,14,171,14.755472278097805,144.09640896579887,51.961988304093566,46.65204678362572,507.44129203216374,455.58639437134497,0,0,0,5.074412920321637e-07,4.55586394371345e-07,171.0,1.6307830810546873e-14,1.639611945949715e-14,2.0353999858021196e-09,4.498546070342494e-09,7.062129633044111e-11,1.2215520396369217e-09,7.204820448289944e-08,1.2770211748654315e-07,9.293344657152074e-08,5.6523825683923066e-08,9.716907682084856e-08,5.009349391398885e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,15,106,11.617374563210365,113.45092346885123,110.66037735849055,47.68867924528302,1080.6677476415093,465.709758254717,0,0,0,1.0806677476415094e-06,4.6570975825471697e-07,106.0,1.0108947753906247e-14,1.0155658510174867e-14,1.3267712018773041e-09,3.3562106347775947e-09,3.922847975831657e-11,9.545370861237323e-10,5.672546173442561e-08,1.0054326309557616e-07,9.727980866986007e-08,3.479625211859451e-08,1.0708851503716519e-07,3.452611987547946e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,16,164,14.450303987687134,141.11624987975716,213.15853658536585,62.8109756097561,2081.6263338414633,613.3884336890244,0,0,0,2.081626333841463e-06,6.133884336890243e-07,164.0,1.5640258789062498e-14,1.5945317115209937e-14,3.423682940127127e-09,9.295999504428238e-09,5.630159795003483e-12,2.4772082759112592e-09,7.055812493987857e-08,1.250610202623603e-07,8.940817847325896e-08,5.671812087466243e-08,9.618499355678917e-08,5.201983990228272e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,17,2,1.5957691216057308,15.583682828180965,36.5,58.0,356.4453125,566.40625,0,0,0,3.564453125e-07,5.6640625e-07,2.0,1.9073486328124996e-16,1.912177079608343e-16,5.4438391545613686e-11,5.4438391545613686e-11,5.4438391545613686e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385744e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,18,28,5.970821321441846,58.30880196720553,238.07142857142856,60.89285714285714,2324.916294642857,594.6568080357142,0,0,0,2.324916294642857e-06,5.946568080357142e-07,28.0,2.6702880859374995e-15,2.680309823284731e-15,7.491051106240265e-10,1.5782833385859646e-09,7.644824329163991e-11,5.116484270893327e-10,2.9154400983602765e-08,5.167483029423028e-08,3.354395374252898e-08,2.6059748805107763e-08,3.639770946426231e-08,2.120474150247228e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,19,8,3.1915382432114616,31.16736565636193,33.99999999999999,64.0,332.03124999999994,625.0,0,0,0,3.3203124999999997e-07,6.249999999999999e-07,8.0,7.629394531249998e-16,7.647988228225905e-16,3.3117442640343187e-10,4.75529350328644e-10,1.2021677032201139e-11,1.680977403259598e-10,1.5583682828180962e-08,2.762135864009951e-08,2.064773524800621e-08,1.2716563566913686e-08,2.1836601342771418e-08,9.76534096726816e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,20,38,6.955796338302048,67.92769861623094,95.84210526315788,66.26315789473682,935.9580592105261,647.1011513157893,0,0,0,9.359580592105261e-07,6.471011513157893e-07,38.0,3.623962402343749e-15,3.6372649190978115e-15,9.168885252745608e-10,1.8340540442101348e-09,3.904051920354009e-11,5.491901801240579e-10,3.396384930811547e-08,6.01993554977439e-08,4.146428655732095e-08,2.8594802940730672e-08,4.3673845133482405e-08,2.4413523662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,21,7,2.985410660720923,29.154400983602766,235.5,67.49999999999999,2299.8046875,659.1796874999999,0,0,0,2.2998046875e-06,6.591796874999999e-07,7.0,6.675720214843749e-16,6.692777946697879e-16,4.1593076137930424e-10,5.215547819426544e-10,3.6806443399121227e-10,6.705501038279459e-11,1.4577200491801383e-08,2.583741514711514e-08,1.867764897222246e-08,1.170009829289905e-08,2.0716018980074838e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,22,20,5.046265044040321,49.27993207070626,278.44999999999993,72.4,2719.2382812499995,707.03125,0,0,0,2.7192382812499997e-06,7.0703125e-07,20.0,1.9073486328124997e-15,1.9175350603853776e-15,8.073330890635512e-10,1.8721564275367764e-09,3.517540796167264e-11,5.448825155770099e-10,2.4639966035353124e-08,4.367320268554276e-08,3.063758481554101e-08,2.0219347415550243e-08,3.452676189817938e-08,1.7161013714639125e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,23,4,2.256758334191025,22.03865560733423,235.99999999999994,71.99999999999999,2304.6874999999995,703.1249999999999,0,0,0,2.3046874999999997e-06,7.031249999999999e-07,4.0,3.814697265624999e-16,3.817794353689572e-16,5.0786692366666214e-11,6.201294858007418e-11,3.9560436153258256e-11,1.1226256213407961e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049792e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,24,2,1.5957691216057308,15.583682828180965,232.99999999999994,77.5,2275.3906249999995,756.8359375,0,0,0,2.2753906249999996e-06,7.568359375e-07,2.0,1.9073486328124996e-16,1.9162287717670453e-16,5.01893253128257e-11,5.01893253128257e-11,5.01893253128257e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,25,80,10.092530088080641,98.55986414141252,266.5375,82.98749999999998,2602.9052734375,810.4248046874999,0,0,0,2.6029052734375e-06,8.104248046874999e-07,80.0,7.629394531249999e-15,7.706174535245834e-15,2.0087636373095004e-09,4.247012668452227e-09,5.120543791592007e-11,1.2781211384635863e-09,4.927993207070625e-08,8.734640537108552e-08,6.103851778547057e-08,4.0383685551748284e-08,6.551053741499195e-08,3.791980449963705e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,26,12,3.9088200952233594,38.17207124241562,213.83333333333331,83.33333333333331,2088.216145833333,813.8020833333331,0,0,0,2.0882161458333332e-06,8.138020833333332e-07,12.0,1.1444091796874998e-15,1.1475377128981025e-15,3.002954944690095e-10,4.788352948458492e-10,4.8856660381034556e-12,1.3783707407322396e-10,1.908603562120781e-08,3.382911733532963e-08,3.015280808219541e-08,1.2955569239078871e-08,3.088171678157533e-08,1.0374839927411347e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,27,10,3.5682482323055424,34.84617414360881,102.69999999999999,83.6,1002.9296874999999,816.4062499999999,0,0,0,1.0029296875e-06,8.164062499999998e-07,10.0,9.536743164062499e-16,9.554975730354639e-16,2.8961118229890323e-10,4.949727035116625e-10,1.3449312951553583e-10,1.2276049322708666e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.325288160288318e-08,1.3758040058416432e-08,2.6294869098719595e-08,1.1475977104206902e-08
