source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,1,170533,465.9714146622317,4550.502096310856,226.48678261685419,257.9864688945834,2211.7849864927166,2519.3991102986665,0,0,0,2.2117849864927166e-06,2.5193991102986667e-06,170533.0,1.6263294219970698e-11,1.7498618957813506e-11,5.021893129970399e-08,3.6123182692423944e-07,3.4286670764500946e-13,7.808631858960966e-08,2.2752510481554284e-06,4.0327774820799e-06,2.6776841016247063e-06,2.4036361121672618e-06,3.387312240652252e-06,6.908378434684958e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,2,7,2.985410660720923,29.154400983602766,198.64285714285714,0.7857142857142856,1939.8716517857142,7.67299107142857,0,0,0,1.939871651785714e-06,7.67299107142857e-09,7.0,6.675720214843749e-16,6.708495493137049e-16,5.081973757611029e-10,1.366579379256081e-09,2.829492163367978e-11,4.661259273457905e-10,1.4577200491801383e-08,2.583741514711514e-08,2.3830267852209114e-08,9.835701882758382e-09,2.4898835388905712e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,3,3,1.9544100476116797,19.08603562120781,207.5,0.5,2026.3671875,4.8828125,0,0,0,2.0263671875e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.8690992116783883e-16,1.6190457230416714e-11,1.6190457230416714e-11,1.6190457230416714e-11,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,4,1,1.1283791670955126,11.019327803667116,28.5,13.499999999999996,278.3203125,131.83593749999997,0,0,0,2.783203125e-07,1.3183593749999998e-07,1.0,9.536743164062498e-17,9.547791815112235e-17,1.8638673994569504e-11,1.8638673994569504e-11,1.8638673994569504e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,5,92,10.823032759612019,105.69367929308612,507.3260869565217,32.66304347826087,4954.356317934782,318.97503396739125,0,0,0,4.954356317934782e-06,3.1897503396739124e-07,92.0,8.773803710937498e-15,8.80992310589088e-15,1.5441032472259184e-09,3.2752271283013543e-09,2.0259313899234455e-11,9.395448222132617e-10,5.284683964654306e-08,9.366858443970154e-08,6.706149487007425e-08,4.270271726712832e-08,7.720778955527443e-08,3.913761706196493e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,6,1,1.1283791670955126,11.019327803667116,340.49999999999994,27.499999999999993,3325.1953124999995,268.55468749999994,0,0,0,3.3251953124999996e-06,2.6855468749999996e-07,1.0,9.536743164062498e-17,9.554254542620085e-17,1.0792061079189237e-10,1.0792061079189237e-10,1.0792061079189237e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,7,35,6.6755811781245455,65.19122244262252,377.32857142857137,30.35714285714285,3684.849330357142,296.45647321428567,0,0,0,3.6848493303571424e-06,2.964564732142857e-07,35.0,3.337860107421874e-15,3.353501716933293e-15,7.33540383588812e-10,1.502660021494614e-09,7.714825304948148e-11,4.933898289426803e-10,3.2595611221311254e-08,5.777421663183218e-08,3.594846255806715e-08,3.0551582509120436e-08,4.200366139004622e-08,2.3186606628638314e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,8,1,1.1283791670955126,11.019327803667116,341.49999999999994,29.499999999999993,3334.9609374999995,288.08593749999994,0,0,0,3.3349609374999996e-06,2.8808593749999996e-07,1.0,9.536743164062498e-17,9.549354373230837e-17,1.0792061079189237e-10,1.0792061079189237e-10,1.0792061079189237e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,9,1,1.1283791670955126,11.019327803667116,328.49999999999994,33.49999999999999,3208.0078124999995,327.14843749999994,0,0,0,3.2080078124999997e-06,3.2714843749999996e-07,1.0,9.536743164062498e-17,9.561194433478042e-17,5.839117884770354e-11,5.839117884770354e-11,5.839117884770354e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,10,5,2.5231325220201604,24.63996603535313,327.69999999999993,35.89999999999999,3200.1953124999995,350.58593749999994,0,0,0,3.2001953124999995e-06,3.5058593749999995e-07,5.0,4.768371582031249e-16,4.777296010982665e-16,3.407816060938203e-10,4.2505025154600855e-10,1.874165603863276e-10,8.699235020358023e-11,1.2319983017676562e-08,2.183660134277138e-08,1.945412761892174e-08,8.890651960948699e-09,2.0133723827576327e-08,6.100233627323887e-09
