source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,1,12794,127.63160555027768,1246.4023979519304,117.44481788338283,41.75676098171017,1146.9220496424105,407.7808689620134,0,0,0,1.1469220496424104e-06,4.077808689620134e-07,12794.0,1.220130920410156e-12,1.2787726162677896e-12,8.79482683088563e-09,2.1174194042297894e-07,6.268727847648903e-13,2.439319146183909e-08,6.232011989759652e-07,1.1045953650138841e-06,1.1506615942836144e-06,4.313625286400627e-07,1.2489088970804146e-06,2.6386064315294703e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,2,10827,117.41109211163827,1146.5926964027174,452.7861365105754,75.56650041562759,4421.739614361088,737.9541056213632,0,0,0,4.421739614361088e-06,7.379541056213632e-07,10827.0,1.0325431823730467e-12,1.0461682518146694e-12,6.985490911395289e-09,5.020397699099597e-08,1.1407848157086472e-12,8.14729236114214e-09,5.732963482013588e-07,1.0161413200795678e-06,7.778770909071235e-07,4.7286914856066387e-07,8.68797567557794e-07,2.820158924651789e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,3,4976,79.59673344178246,777.3118500174069,298.29320739549837,43.84746784565915,2913.0196034716637,428.1979281802652,0,0,0,2.9130196034716635e-06,4.281979281802652e-07,4976.0,4.745483398437499e-13,4.780519483653436e-13,4.333097597524129e-09,2.353192752280207e-08,2.1618688741811067e-13,3.855354463699459e-09,3.886559250087034e-07,6.888746909589217e-07,4.6648151379225063e-07,3.748963885441738e-07,5.947354491430067e-07,2.0929716052411413e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,4,11,3.742410318509555,36.54697576669488,383.31818181818176,7.045454545454546,3743.341619318181,68.80326704545455,0,0,0,3.7433416193181813e-06,6.880326704545454e-08,11.0,1.0490417480468747e-15,1.0520155782497814e-15,3.768909320700565e-10,6.436382543621919e-10,1.3818678963364242e-10,1.969345567288117e-10,1.8273487883347434e-08,3.238891396831445e-08,2.2420984250038208e-08,1.5457931354726665e-08,2.4663419266013084e-08,1.1507240902298534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,5,124,12.565098628628435,122.70604129519957,494.66129032258067,26.10483870967742,4830.676663306452,254.93006552419354,0,0,0,4.830676663306451e-06,2.5493006552419353e-07,124.0,1.1825561523437497e-14,1.1946971763167305e-14,2.487230938873066e-09,4.439640637537271e-09,2.1435690008052512e-11,1.2612195048073303e-09,6.135302064759978e-08,1.0874539771152386e-07,8.336676181393351e-08,4.6465265066410203e-08,8.346865716978412e-08,4.2002697102078814e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,6,201,15.99753570059363,156.22593457610967,356.1019900497512,36.49004975124378,3477.5584965796015,356.34814210199005,0,0,0,3.4775584965796015e-06,3.5634814210199004e-07,201.0,1.916885375976562e-14,1.9217643236027127e-14,9.747607046790715e-10,3.3178578421487644e-09,1.0042192351889687e-11,8.479442635630394e-10,7.811296728805483e-08,1.3845162967536936e-07,1.2358124938358726e-07,5.725846984605946e-08,1.251570154178269e-07,4.374988203098462e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,7,9,3.385137501286538,33.057983411001345,415.83333333333326,30.611111111111107,4060.8723958333326,298.9366319444444,0,0,0,4.0608723958333325e-06,2.989366319444444e-07,9.0,8.583068847656248e-16,8.589657484118963e-16,1.9045581425015845e-10,3.7497186146461345e-10,2.0434203229077567e-11,1.1143666275591313e-10,1.6528991705500673e-08,2.9296874999999997e-08,1.946172887405223e-08,1.4520778360193826e-08,2.1838782441057607e-08,1.1475977104206902e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,8,3,1.9544100476116797,19.08603562120781,486.16666666666663,40.83333333333333,4747.721354166666,398.7630208333333,0,0,0,4.747721354166666e-06,3.987630208333333e-07,3.0,2.8610229492187495e-16,2.864838209081839e-16,1.2750384173586454e-10,1.600703232009458e-10,6.2370878805702e-11,4.605595976668995e-11,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941322e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,9,5,2.5231325220201604,24.63996603535313,350.69999999999993,48.1,3424.8046874999995,469.7265625,0,0,0,3.4248046874999997e-06,4.697265625e-07,5.0,4.768371582031249e-16,4.772834293536662e-16,1.577411738205438e-10,2.375482679286399e-10,7.321530050754834e-11,7.020074471135974e-11,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453546e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,10,23,5.4115163798060095,52.84683964654306,422.4565217391304,57.93478260869564,4125.551970108695,565.7693614130434,0,0,0,4.1255519701086955e-06,5.657693614130434e-07,23.0,2.1934509277343745e-15,2.2140454749507835e-15,8.984450945638268e-10,2.016269837518596e-09,1.3540253596853377e-10,5.664088491066366e-10,2.642341982327153e-08,4.683429221985077e-08,4.1623246714413085e-08,1.7937036302973963e-08,4.50191156808761e-08,1.5054240595471733e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,11,3,1.9544100476116797,19.08603562120781,419.5,55.499999999999986,4096.6796875,541.9921874999999,0,0,0,4.0966796875e-06,5.419921874999999e-07,3.0,2.8610229492187495e-16,2.9192310383322197e-16,5.681155419350974e-10,6.966264538029017e-10,3.110937181994888e-10,1.8174187447638236e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887541157e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,12,148,13.727325035155395,134.0559085464394,261.6621621621622,62.763513513513516,2555.294552364865,612.9249366554054,0,0,0,2.555294552364865e-06,6.129249366554054e-07,148.0,1.4114379882812497e-14,1.431828264425145e-14,3.6516404578824817e-09,8.276241603002404e-09,3.246127897739117e-11,2.35730024471313e-09,6.70279542732197e-08,1.1880395566988709e-07,7.47307390836338e-08,6.046246111631113e-08,8.083351903819643e-08,5.728543741291337e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,13,245,17.66192765414112,172.47976224747188,357.1204081632653,69.40612244897959,3487.503985969388,677.7941645408163,0,0,0,3.4875039859693877e-06,6.777941645408162e-07,245.0,2.336502075195312e-14,2.3409949141513203e-14,1.3282533306037655e-09,2.90266364354711e-09,3.150370912559826e-11,7.790587709927213e-10,8.623988112373594e-08,1.5285620939939967e-07,1.0923933849461654e-07,7.1734293138929e-08,1.1848613975204536e-07,6.35944142233467e-08
