source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,1,11930,123.24669475767085,1203.5810034928795,53.018105616093884,105.59999999999998,517.7549376571668,1031.2499999999998,0,0,0,5.177549376571668e-07,1.0312499999999999e-06,11930.0,1.1377334594726559e-12,1.2719694002122443e-12,5.072047186369779e-08,1.3177754303692504e-07,1.075138556021185e-11,3.2003710927737036e-08,6.017905017464397e-07,1.0666458922588396e-06,9.325071673342754e-07,4.3850007437945146e-07,9.731957655850986e-07,3.173824934014285e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,2,145417,430.29138368871986,4202.064293835155,288.7319948836793,267.1432741701451,2819.648387535931,2608.8210368178234,0,0,0,2.819648387535931e-06,2.6088210368178234e-06,145417.0,1.3868045806884762e-11,1.6247207221061416e-11,1.0769837446277013e-07,4.252259792807949e-07,3.0879868765728075e-13,9.434854698458824e-08,2.1010321469175775e-06,3.7239825196803437e-06,2.5439733807946665e-06,2.1227696444042484e-06,3.081626473173914e-06,7.786468206796158e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,3,1,1.1283791670955126,11.019327803667116,36.5,18.5,356.4453125,180.6640625,0,0,0,3.564453125e-07,1.806640625e-07,1.0,9.536743164062498e-17,9.774856385017585e-17,1.1291692621184887e-10,1.1291692621184887e-10,1.1291692621184887e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024934e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,4,9,3.385137501286538,33.057983411001345,1.2777777777777775,165.83333333333331,12.478298611111109,1619.4661458333333,0,0,0,1.2478298611111109e-08,1.6194661458333333e-06,9.0,8.583068847656248e-16,1.6007842580610741e-15,4.7374224648062545e-09,1.00035369665559e-08,9.434248660210834e-11,3.6913347536549684e-09,1.6528991705500673e-08,2.9296874999999997e-08,1.863930006549173e-08,1.572676971730123e-08,2.184226587865907e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,5,1,1.1283791670955126,11.019327803667116,254.5,182.49999999999997,2485.3515625,1782.2265624999998,0,0,0,2.4853515625e-06,1.7822265624999998e-06,1.0,9.536743164062498e-17,1.0976029104840374e-16,1.6889746778746371e-09,1.6889746778746371e-09,1.6889746778746371e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,6,6,2.763953195770684,26.991730427448086,142.33333333333331,362.66666666666663,1389.9739583333333,3541.6666666666665,0,0,0,1.3899739583333333e-06,3.5416666666666665e-06,6.0,5.722045898437499e-16,5.782854497579118e-16,5.005188835220905e-10,8.57302824189985e-10,3.254770322883726e-10,2.1657837478348135e-10,1.3495865213724042e-08,2.392079826936697e-08,1.5798136295193243e-08,1.2237183754479675e-08,1.7955942224958197e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,7,13,4.068428945128219,39.73075141726777,136.1153846153846,374.1153846153846,1329.2518028846152,3653.4705528846152,0,0,0,1.3292518028846152e-06,3.653470552884615e-06,13.0,1.2397766113281247e-15,1.2512462447159845e-15,4.893050521336812e-10,1.1739277253936056e-09,7.803572170937063e-12,3.4976658724132193e-10,1.986537570863388e-08,3.5210461674453015e-08,2.1607061112975172e-08,1.8639479584618103e-08,2.4663330492102164e-08,1.5138216107607124e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,8,4,2.256758334191025,22.03865560733423,187.0,379.99999999999994,1826.171875,3710.9374999999995,0,0,0,1.826171875e-06,3.7109374999999996e-06,4.0,3.814697265624999e-16,3.8253723529611236e-16,7.116043816568179e-11,1.0754585120322853e-10,7.712710679307233e-12,3.7801113861769155e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049792e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,9,7344,96.69886874485675,944.3248900864917,62.63466775599129,429.4267429193899,611.6666773046024,4193.620536322167,0,0,0,6.116666773046024e-07,4.193620536322167e-06,7344.0,7.003784179687498e-13,7.184192845389356e-13,2.0186168576069768e-08,5.2026893589940285e-08,1.0435789700977392e-11,1.3036999933236217e-08,4.7216244504324584e-07,8.368861439698651e-07,5.913707933591142e-07,3.8622206513631746e-07,6.880631929822978e-07,3.4596545065683967e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,10,202,16.03728119216293,156.6140741422161,149.03465346534654,416.83663366336634,1455.4165377475247,4070.6702506188117,0,0,0,1.4554165377475246e-06,4.070670250618812e-06,202.0,1.9264221191406246e-14,2.0189465997889158e-14,8.062005679909262e-09,1.5753080016590362e-08,1.9267189036603348e-10,4.173121705519814e-09,7.830703707110805e-08,1.3879560940968647e-07,8.169821927600731e-08,7.646557270096201e-08,9.170229862133685e-08,6.427484832842706e-08
