source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,1,1,1.1283791670955126,11.019327803667116,57.5,0.5,561.5234375,4.8828125,0,0,0,5.615234375e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.631577988859136e-17,7.988038359028542e-10,7.988038359028542e-10,7.988038359028542e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024962e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,2,1,1.1283791670955126,11.019327803667116,59.499999999999986,0.5,581.0546874999999,4.8828125,0,0,0,5.810546874999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.696903776701908e-17,1.152422929176214e-09,1.152422929176214e-09,1.152422929176214e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,3,6585,91.56572722411507,894.1965549229986,72.86112376613515,43.02938496583143,711.5344117786635,420.20883755694757,0,0,0,7.115344117786635e-07,4.2020883755694755e-07,6585.0,6.279945373535154e-13,6.3501173254198e-13,4.607047446799447e-09,1.376793553158736e-08,1.1259955391572104e-13,3.2029895928416098e-09,4.470982774614993e-07,7.924610636198573e-07,5.936532159675895e-07,3.885804028042856e-07,6.586761249367526e-07,2.3613175929582783e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,4,134010,413.07000785576184,4033.8867954664242,266.7035594358629,305.34764569808226,2604.526947615849,2981.9106025203346,0,0,0,2.604526947615849e-06,2.9819106025203344e-06,134010.0,1.2780189514160154e-11,1.3727922574401468e-11,4.818936999664309e-08,2.2462234413296878e-07,8.98917935030508e-14,5.6379413378690935e-08,2.016943397733212e-06,3.5749390923706872e-06,2.5200549151024476e-06,2.114237548326755e-06,3.158488768227073e-06,5.077343120108445e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,5,5327,82.35622049854044,804.259965806059,429.0656091608785,24.180120142669416,4190.093839461704,236.13398576825603,0,0,0,4.190093839461704e-06,2.3613398576825604e-07,5327.0,5.080223083496093e-13,5.182889686862919e-13,5.208612386428145e-09,4.627565616060264e-08,6.425546624633534e-13,7.888941715420245e-09,4.0212998290302945e-07,7.127568367610439e-07,7.230267119551381e-07,2.715996950073447e-07,8.254292589659732e-07,1.7152372256866133e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,6,1,1.1283791670955126,11.019327803667116,379.49999999999994,0.5,3706.0546874999995,4.8828125,0,0,0,3.7060546874999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0215024874305467e-16,1.4878667620786925e-09,1.4878667620786925e-09,1.4878667620786925e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,7,3,1.9544100476116797,19.08603562120781,450.4999999999999,1.4999999999999998,4399.414062499999,14.648437499999998,0,0,0,4.3994140624999995e-06,1.4648437499999999e-08,3.0,2.8610229492187495e-16,3.041454249135117e-16,1.4743686509102946e-09,1.6698195628728353e-09,1.3766431949290242e-09,1.3820466523780747e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540853e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,8,2,1.5957691216057308,15.583682828180965,120.5,4.999999999999999,1176.7578125,48.82812499999999,0,0,0,1.1767578125e-06,4.8828124999999996e-08,2.0,1.9073486328124996e-16,1.9273691682477953e-16,2.0196494714807436e-10,2.0196494714807436e-10,2.0196494714807436e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,9,1,1.1283791670955126,11.019327803667116,315.5,5.499999999999999,3081.0546875,53.71093749999999,0,0,0,3.0810546875e-06,5.3710937499999995e-08,1.0,9.536743164062498e-17,9.829237283136828e-17,2.189011196048966e-11,2.189011196048966e-11,2.189011196048966e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,10,1,1.1283791670955126,11.019327803667116,319.5,5.499999999999999,3120.1171875,53.71093749999999,0,0,0,3.1201171875e-06,5.3710937499999995e-08,1.0,9.536743164062498e-17,9.890477630633706e-17,7.693507172088815e-10,7.693507172088815e-10,7.693507172088815e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
