source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,1,199795,504.3678170148863,4925.4669630359995,253.54703320903923,292.31266798468425,2476.0452461820237,2854.6158982879324,0,0,0,2.4760452461820237e-06,2.8546158982879324e-06,199795.0,1.9053936004638666e-11,2.1495293453615518e-11,1.2718959554599524e-07,5.441000979485821e-07,1.3928633368954506e-13,1.1069794854681793e-07,2.4627334815179996e-06,4.365081443070526e-06,2.853447378476727e-06,2.407595347456146e-06,3.5115171271198583e-06,8.809626114230744e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,2,1,1.1283791670955126,11.019327803667116,76.5,0.5,747.0703125,4.8828125,0,0,0,7.470703125e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.923631751617612e-17,1.5190715244533603e-09,1.5190715244533603e-09,1.5190715244533603e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,3,1,1.1283791670955126,11.019327803667116,78.49999999999999,0.5,766.6015624999999,4.8828125,0,0,0,7.666015624999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.840156104137069e-17,1.5190715244533603e-09,1.5190715244533603e-09,1.5190715244533603e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,4,5312,82.24018763131068,803.1268323370183,217.3582454819277,15.853727409638552,2122.63911603445,154.82155673475148,0,0,0,2.1226391160344503e-06,1.548215567347515e-07,5312.0,5.065917968749999e-13,5.157277851204903e-13,7.402812544173215e-09,2.655828266874154e-08,9.121783911506059e-13,5.701634342408636e-09,4.015634161685091e-07,7.117526233706483e-07,1.1664120287265552e-06,2.427156940998308e-07,1.4552836287069038e-06,1.3212556173819943e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,5,1924,49.49457428921329,483.34545204309853,470.50727650727646,12.58264033264033,4594.797622141372,122.87734699844073,0,0,1,4.594797622141372e-06,1.2287734699844073e-07,1924.0,1.8348693847656245e-13,1.867693817550066e-13,8.246165875934614e-09,2.369877417081753e-08,2.2014412921076053e-11,6.091441201323199e-09,2.4167272602154927e-07,4.283537538957286e-07,4.2607580560971903e-07,1.691918417844927e-07,5.933165443749367e-07,1.3320984265033336e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,6,1,1.1283791670955126,11.019327803667116,76.5,2.4999999999999996,747.0703125,24.414062499999996,0,0,0,7.470703125e-07,2.4414062499999998e-08,1.0,9.536743164062498e-17,1.0178696783261438e-16,7.603549429311299e-10,7.603549429311299e-10,7.603549429311299e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,7,1,1.1283791670955126,11.019327803667116,406.5,6.499999999999999,3969.7265625,63.47656249999999,0,0,0,3.9697265625e-06,6.34765625e-08,1.0,9.536743164062498e-17,9.838974032862711e-17,7.720614895667384e-10,7.720614895667384e-10,7.720614895667384e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,8,7,2.985410660720923,29.154400983602766,405.49999999999994,16.5,3959.9609374999995,161.1328125,0,0,0,3.9599609375e-06,1.611328125e-07,7.0,6.675720214843749e-16,7.222290043317918e-16,1.1830548344941351e-09,1.8061058269110029e-09,6.992709810682796e-10,4.02718899429583e-10,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012437e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,9,1,1.1283791670955126,11.019327803667116,403.49999999999994,18.5,3940.4296874999995,180.6640625,0,0,0,3.9404296874999995e-06,1.806640625e-07,1.0,9.536743164062498e-17,9.864157430841299e-17,1.2087955812547556e-10,1.2087955812547556e-10,1.2087955812547556e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,10,1,1.1283791670955126,11.019327803667116,410.4999999999999,18.5,4008.789062499999,180.6640625,0,0,0,4.008789062499999e-06,1.806640625e-07,1.0,9.536743164062498e-17,1.0362297223336705e-16,6.334264475755418e-10,6.334264475755418e-10,6.334264475755418e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
