source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,1,139868,422.0017400947747,4121.110743113034,285.7436011096176,218.13919552721134,2790.4648545861096,2130.2655813204233,0,0,0,2.7904648545861095e-06,2.1302655813204234e-06,139868.0,1.3338851928710934e-11,1.4354716194505662e-11,5.125974853000644e-08,3.2927703799754964e-07,2.149770643010552e-13,7.251298730560913e-08,2.060555371556517e-06,3.652239303319394e-06,2.5333631487863696e-06,2.244476089530473e-06,3.3715950921824115e-06,5.673079287800803e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,2,10,3.5682482323055424,34.84617414360881,75.99999999999999,18.5,742.1874999999999,180.6640625,0,0,0,7.421874999999999e-07,1.806640625e-07,10.0,9.536743164062499e-16,9.56264385048955e-16,3.102470942184539e-10,4.757264255266684e-10,1.1842973039797625e-10,1.072190404330062e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.1911899890254768e-08,1.4125689693594001e-08,2.4414062499999965e-08,1.1472848865407966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,3,13,4.068428945128219,39.73075141726777,511.0384615384615,25.653846153846153,4990.609975961538,250.52584134615384,0,0,0,4.990609975961538e-06,2.5052584134615384e-07,13.0,1.2397766113281247e-15,1.2523583392937766e-15,5.668388228537662e-10,2.1042704432782683e-09,1.5619098028867888e-10,5.16911885058678e-10,1.986537570863388e-08,3.5210461674453015e-08,3.8269647801305074e-08,1.0908805693676101e-08,3.554741156875269e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,4,90,10.704744696916627,104.53852243082643,112.8111111111111,104.14444444444445,1101.6710069444443,1017.0355902777778,0,0,0,1.1016710069444443e-06,1.0170355902777778e-06,90.0,8.583068847656248e-15,8.621992096899573e-15,1.3761285890635859e-09,3.205386366227985e-09,1.7052031153146647e-11,8.774881563468678e-10,5.2269261215413214e-08,9.264485332524547e-08,7.158773397245274e-08,4.0065212245412043e-08,7.153167767916628e-08,3.6392876516859194e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,5,61,8.812923024107548,86.06370140730027,144.1229508196721,105.54918032786884,1407.4506915983604,1030.753714139344,0,0,0,1.4074506915983604e-06,1.030753714139344e-06,61.0,5.8174133300781234e-15,5.82984909638401e-15,6.793584447654289e-10,1.7637173909442295e-09,3.709510078331098e-11,4.722743010633769e-10,4.303185070365013e-08,7.627196949127591e-08,6.060102648674117e-08,3.202430571307419e-08,6.176436437174696e-08,2.783631408933442e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,6,15,4.370193722368317,42.677673070003095,155.5,103.83333333333331,1518.5546875,1013.9973958333331,0,0,0,1.5185546875e-06,1.0139973958333332e-06,15.0,1.4305114746093746e-15,1.4316716223105544e-15,2.5033330696669924e-10,4.862157893043896e-10,6.917592871483205e-11,1.291222197210487e-10,2.1338836535001545e-08,3.78221029903068e-08,3.1928985431632094e-08,1.5077786850790365e-08,3.2755587761875116e-08,1.1472848865407966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,7,192,15.635280380893438,152.68828496966248,171.88020833333331,109.796875,1678.5176595052083,1072.235107421875,0,0,0,1.6785176595052083e-06,1.072235107421875e-06,192.0,1.8310546874999997e-14,1.8362879916831498e-14,1.2393036722217896e-09,3.3529278021403133e-09,1.9695794596020114e-12,8.001279177633e-10,7.634414248483124e-08,1.3531646934131852e-07,9.534645536192079e-08,6.740690754091819e-08,1.1241247064227227e-07,4.976000994190088e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,8,159,14.228319915326999,138.94843667311522,190.61949685534591,106.5,1861.5185239779873,1040.0390625,0,0,0,1.8615185239779873e-06,1.0400390625e-06,159.0,1.5163421630859372e-14,1.5343863399811787e-14,2.830684586363551e-09,7.600029415642773e-09,4.1706929371047046e-12,2.3156910767734775e-09,6.94742183365576e-08,1.2313984582928212e-07,9.106325052872802e-08,5.3712527821769055e-08,9.135937669979438e-08,4.95012493482496e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,9,16,4.51351666838205,44.07731121466846,200.31249999999997,113.68749999999997,1956.1767578124998,1110.2294921874998,0,0,0,1.9561767578124997e-06,1.1102294921874999e-06,16.0,1.5258789062499997e-15,1.5289386212617532e-15,3.89279000238528e-10,6.562804029834877e-10,9.790619287005235e-11,1.9587110045379155e-10,2.203865560733423e-08,3.9062499999999997e-08,2.573755839300936e-08,1.9587576717528234e-08,2.847301277055562e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,10,47,7.735777827895049,75.54470535053758,148.1382978723404,121.88297872340424,1446.6630651595742,1190.2634640957444,0,0,0,1.4466630651595742e-06,1.1902634640957445e-06,47.0,4.482269287109374e-15,4.503468086582389e-15,1.1812593784699277e-09,2.5308458366098845e-09,4.4098647015875905e-11,7.676672243172677e-10,3.7772352675268796e-08,6.694975195704144e-08,4.100653261712541e-08,3.539524062372229e-08,4.5911556105326415e-08,3.0186263506306166e-08
