source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,1,1102,37.45810964661924,365.801852017766,66.03357531760435,10.092558983666061,644.85913396098,98.56014632486388,0,0,1,6.4485913396098e-07,9.856014632486387e-08,1102.0,1.0509490966796873e-13,1.2631514569018192e-13,4.6408108656450364e-08,1.240784011213736e-07,1.0503752019554384e-10,3.3186013740010014e-08,1.82900926008883e-07,3.241834506386295e-07,2.958304695342475e-07,1.259084083661661e-07,3.521548446995776e-07,1.0277144937296711e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,2,57266,270.0246947388402,2636.9599095589865,272.99905703209583,168.3815003667097,2666.006416329061,1644.3505895186495,0,0,0,2.666006416329061e-06,1.6443505895186496e-06,57266.0,5.46131134033203e-12,6.363474013630543e-12,9.382963820096838e-08,4.7634015727239984e-07,3.824947696228395e-12,1.0247725399220156e-07,1.318479954779493e-06,2.336944873190643e-06,1.8977024934337873e-06,1.1431367516194175e-06,2.096590172900084e-06,5.462669363536294e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,3,5835,86.19369317722541,841.735284933842,381.0753213367609,35.175578406169656,3721.4386849293055,343.51150787275054,0,0,0,3.7214386849293055e-06,3.4351150787275056e-07,5835.0,5.564689636230468e-13,9.046990722209023e-13,9.846499693177726e-08,2.576181487318175e-07,8.127288776870503e-11,6.392042111673641e-08,4.2086764246692094e-07,7.459684736120199e-07,4.869782334235836e-07,4.5608010351191764e-07,7.082783764719009e-07,2.1318168941593237e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,4,6108,88.18700096523509,861.2011813011239,474.0897184020956,77.27030124426982,4629.782406270465,754.5927855885724,0,0,0,4.6297824062704644e-06,7.545927855885724e-07,6108.0,5.825042724609373e-13,9.895178399854566e-13,1.1079743149142198e-07,2.7828370942857806e-07,5.0777047020203434e-11,6.726110687652803e-08,4.3060059065056194e-07,7.632196751007781e-07,5.308431040955624e-07,3.7361511443190506e-07,6.149861100391301e-07,2.452631992517766e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,5,6383,90.15036336057966,880.3746421931608,21.777455741814194,126.38187372708758,212.67046622865422,1234.1979856160897,0,0,0,2.1267046622865422e-07,1.2341979856160896e-06,6383.0,6.087303161621093e-13,7.100829880236841e-13,6.409842664735746e-08,1.4767875779163305e-07,5.0458845427484845e-11,3.9490762023414045e-08,4.401873210965804e-07,7.802117123974167e-07,7.736043314885752e-07,2.618195528977593e-07,8.104657975027712e-07,2.5553596700061945e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,6,2131,52.089091658720946,508.6825357296967,81.1353824495542,109.01665884561238,792.3377192339277,1064.6158090391834,1,1,0,7.923377192339277e-07,1.0646158090391833e-06,2131.0,2.0322799682617182e-13,2.5813010745003393e-13,5.690680801504117e-08,1.3358187503484202e-07,9.248235747630901e-12,3.855852541051294e-08,2.5434126786484836e-07,4.508081596712418e-07,2.741029259557669e-07,2.4194511740194137e-07,3.2061255467522773e-07,2.1050311550590783e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,7,798,31.875463238965796,311.28382069302535,88.06140350877192,180.26566416040097,859.9746436403508,1760.4068765664158,0,0,0,8.599746436403508e-07,1.7604068765664159e-06,798.0,7.610321044921874e-14,8.895580217894087e-14,2.9143199945934048e-08,6.927359936729967e-08,1.6712368384502417e-10,1.8706152225452858e-08,1.5564191034651266e-07,2.7586810335596744e-07,1.7401907185432864e-07,1.4064280479278533e-07,1.7967270685363924e-07,1.2086919656638009e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,8,3,1.9544100476116797,19.08603562120781,274.16666666666663,174.16666666666663,2677.4088541666665,1700.8463541666663,0,0,0,2.6774088541666666e-06,1.7008463541666663e-06,3.0,2.8610229492187495e-16,3.2315756180698826e-16,5.27083968408664e-10,6.580010770145048e-10,2.6524975119698206e-10,1.8514475053705167e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940985e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,9,6725,92.5339718068125,903.6520684259034,134.30802973977694,254.89791821561334,1311.601852927509,2489.237482574349,0,0,0,1.3116018529275091e-06,2.489237482574349e-06,6725.0,6.413459777832029e-13,7.631174536582416e-13,7.310981204409204e-08,1.8609153506800235e-07,1.5751716446797167e-11,4.927606316389743e-08,4.518260342129516e-07,8.008407942801135e-07,6.587649500450928e-07,3.191894388571114e-07,7.156455682254678e-07,3.222819214214694e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,10,1,1.1283791670955126,11.019327803667116,438.5,205.5,4282.2265625,2006.8359375,0,0,0,4.2822265625e-06,2.0068359375e-06,1.0,9.536743164062498e-17,9.647328447743806e-17,1.2902803556550529e-10,1.2902803556550529e-10,1.2902803556550529e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600254956e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,11,98,11.170383851240114,109.08577979726674,62.908163265306115,223.81632653061226,614.3375318877551,2185.7063137755104,0,0,0,6.143375318877551e-07,2.1857063137755104e-06,98.0,9.346008300781248e-15,9.649092542050348e-15,3.0899054218944343e-09,7.468299671232022e-09,4.6468490924839045e-11,1.8595339017032975e-09,5.454288989863337e-08,9.667475524034828e-08,7.800600362542744e-08,3.9125562466064985e-08,8.187190976514766e-08,3.4383936688107886e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,12,9,3.385137501286538,33.057983411001345,330.94444444444446,222.27777777777774,3231.879340277778,2170.681423611111,0,0,0,3.2318793402777776e-06,2.170681423611111e-06,9.0,8.583068847656248e-16,9.048599150000429e-16,2.0940704705337083e-09,2.942821171177102e-09,1.0644449436838284e-10,8.656211843018009e-10,1.6528991705500673e-08,2.9296874999999997e-08,2.5944200492501376e-08,1.087345158032317e-08,2.6295632026322824e-08,9.765392041587479e-09
