source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,1,126362,401.1098295377771,3917.0881790798544,224.3034535699023,180.93781358319748,2190.463413768577,1766.9708357734128,0,0,0,2.190463413768577e-06,1.7669708357734128e-06,126362.0,1.2050819396972654e-11,1.3252243010176563e-11,5.826457482625828e-08,3.6389505873021365e-07,3.034350411059785e-13,8.249203932649155e-08,1.9585440895399273e-06,3.471429013673282e-06,2.6476418026854433e-06,1.7506724994366545e-06,3.0573205219770035e-06,7.47753077714036e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,2,1,1.1283791670955126,11.019327803667116,374.49999999999994,4.499999999999999,3657.2265624999995,43.94531249999999,0,0,0,3.6572265624999996e-06,4.3945312499999996e-08,1.0,9.536743164062498e-17,1.0524174020848852e-16,1.3659626982709356e-09,1.3659626982709356e-09,1.3659626982709356e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,3,1,1.1283791670955126,11.019327803667116,494.5,15.499999999999996,4829.1015625,151.36718749999997,0,0,0,4.8291015625e-06,1.5136718749999997e-07,1.0,9.536743164062498e-17,1.0012268394053149e-16,5.493179323966235e-11,5.493179323966235e-11,5.493179323966235e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,4,1,1.1283791670955126,11.019327803667116,343.49999999999994,22.5,3354.4921874999995,219.7265625,0,0,0,3.3544921874999997e-06,2.197265625e-07,1.0,9.536743164062498e-17,9.881998690215453e-17,1.3104064179130155e-11,1.3104064179130155e-11,1.3104064179130155e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,5,2,1.5957691216057308,15.583682828180965,310.49999999999994,51.99999999999999,3032.2265624999995,507.81249999999994,0,0,0,3.0322265624999997e-06,5.078125e-07,2.0,1.9073486328124996e-16,1.955589702572223e-16,4.373067124000244e-11,4.373067124000244e-11,4.373067124000244e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,6,201,15.99753570059363,156.22593457610967,351.24626865671644,85.47512437810944,3430.1393423507466,834.718011504975,0,0,0,3.4301393423507464e-06,8.34718011504975e-07,201.0,1.916885375976562e-14,1.9715525372296935e-14,5.18002251099787e-09,1.2515618482065705e-08,2.2794206160665143e-11,3.609140206098256e-09,7.811296728805483e-08,1.3845162967536936e-07,1.0038489019210777e-07,6.117378302561283e-08,1.0075793066428282e-07,5.674115511791656e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,7,1,1.1283791670955126,11.019327803667116,308.49999999999994,148.49999999999997,3012.6953124999995,1450.1953124999998,0,0,0,3.0126953124999996e-06,1.4501953124999998e-06,1.0,9.536743164062498e-17,1.0068127758192233e-16,1.2152235085356748e-09,1.2152235085356748e-09,1.2152235085356748e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,8,2,1.5957691216057308,15.583682828180965,310.49999999999994,150.99999999999997,3032.2265624999995,1474.6093749999998,0,0,0,3.0322265624999997e-06,1.4746093749999998e-06,2.0,1.9073486328124996e-16,2.0090268507855426e-16,1.3650684264061703e-09,1.514913344276666e-09,1.2152235085356748e-09,1.4984491787049555e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,9,4,2.256758334191025,22.03865560733423,270.99999999999994,202.99999999999997,2646.4843749999995,1982.4218749999998,0,0,0,2.6464843749999997e-06,1.9824218749999997e-06,4.0,3.814697265624999e-16,3.831789327414624e-16,2.2261094365092497e-10,4.0575354867875957e-10,3.9468338623090344e-11,1.831426050278346e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049792e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,10,6,2.763953195770684,26.991730427448086,310.0,204.5,3027.34375,1997.0703125,0,0,0,3.02734375e-06,1.9970703125e-06,6.0,5.722045898437499e-16,5.737850845779803e-16,2.40323938289255e-10,2.814828481423875e-10,1.6013808551748492e-10,4.5550317547652026e-11,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.7605230837226733e-08,9.755859375e-09
