source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,1,122276,394.57146193311644,3853.23693294059,191.6316775164382,158.04824331839444,1871.4031007464669,1543.4398761561956,0,0,0,1.8714031007464669e-06,1.5434398761561956e-06,122276.0,1.166114807128906e-11,1.2079379874718224e-11,9.332155989747021e-08,2.1127503381891508e-07,2.0749422996542375e-12,5.864387248482088e-08,1.926618466470295e-06,3.414842320120954e-06,2.790043534554566e-06,1.4847503807987599e-06,3.535534431447152e-06,1.2884882243572098e-06
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,2,23071,171.39110110091755,1673.741221688648,442.5974816869663,247.8750595986303,4322.24103209928,2420.654878892874,0,0,0,4.32224103209928e-06,2.420654878892874e-06,23071.0,2.200222015380859e-12,2.210566420686069e-12,6.494369582696965e-09,2.84717566768026e-08,1.399811851884404e-13,5.38144470768705e-09,8.368706108443239e-07,1.4833145369006733e-06,1.296357348790277e-06,6.809242602431213e-07,1.6248720499423358e-06,3.3679639996453533e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,3,92,10.823032759612019,105.69367929308612,492.39130434782606,85.31521739130433,4808.508831521739,833.1564198369564,0,0,0,4.808508831521739e-06,8.331564198369564e-07,92.0,8.773803710937498e-15,8.799387482127191e-15,1.0080653952857287e-09,2.2734391712508147e-09,2.377873633156267e-11,6.258540008721648e-10,5.284683964654306e-08,9.366858443970154e-08,7.428082048780175e-08,3.801873984625864e-08,7.720532448875272e-08,3.452572931186161e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,4,14,4.222008245644752,41.23054927387454,444.1428571428571,110.71428571428568,4337.332589285714,1081.194196428571,0,0,0,4.337332589285714e-06,1.0811941964285712e-06,14.0,1.3351440429687497e-15,1.3393894828723105e-15,7.299352726069344e-10,1.2131953076943386e-09,1.15688585506045e-10,3.6461761509224574e-10,2.0615274636937265e-08,3.653962291771427e-08,2.350266677989456e-08,1.8597639158974075e-08,2.6295937822331054e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,5,20,5.046265044040321,49.27993207070626,430.25,170.44999999999996,4201.66015625,1664.5507812499995,0,0,0,4.20166015625e-06,1.6645507812499996e-06,20.0,1.9073486328124997e-15,1.914728114256717e-15,7.093234988969991e-10,1.5435086146825896e-09,2.8686732389082063e-11,4.868962763968163e-10,2.4639966035353124e-08,4.367320268554276e-08,2.814650049414234e-08,2.1961343453598495e-08,3.14590249491439e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,6,17,4.652426491681278,45.43385245782498,397.4411764705882,196.32352941176467,3881.2614889705874,1917.2219669117644,0,0,0,3.881261488970588e-06,1.9172219669117644e-06,17.0,1.6212463378906247e-15,1.6232706217668038e-15,2.3611487396366194e-10,6.265814902624069e-10,2.7486762625152817e-12,1.9745579111981883e-10,2.271692622891249e-08,4.0264703375172463e-08,2.5425366449492352e-08,2.1024262093282482e-08,2.847417779251619e-08,1.6273184877986802e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,7,209,16.312788383647018,159.3045740590529,379.3755980861244,205.877990430622,3704.8398250598084,2010.5272502990429,0,0,0,3.704839825059808e-06,2.010527250299043e-06,209.0,1.993179321289062e-14,1.9995260005742404e-14,1.1679746682486615e-09,3.711077399561253e-09,3.424731243463193e-11,8.783197393322858e-10,7.965228702952644e-08,1.4118000287891562e-07,1.1398342382734138e-07,6.241325917765084e-08,1.2477875059392537e-07,4.830092817534464e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,8,8,3.1915382432114616,31.16736565636193,399.375,205.375,3900.146484375,2005.615234375,0,0,0,3.900146484375e-06,2.005615234375e-06,8.0,7.629394531249998e-16,7.641345260652166e-16,2.275606437432006e-10,4.4563486261431883e-10,1.266091177245561e-10,1.282618315037966e-10,1.5583682828180962e-08,2.762135864009951e-08,1.754916765209374e-08,1.4283987590965517e-08,2.07160231797114e-08,1.1440246734445752e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,9,20,5.046265044040321,49.27993207070626,365.15,213.05,3565.9179687499995,2080.56640625,0,0,0,3.5659179687499994e-06,2.08056640625e-06,20.0,1.9073486328124997e-15,1.9096564804528533e-15,3.469987607058327e-10,6.016892634125738e-10,4.2215284174295824e-11,2.058093415627366e-10,2.4639966035353124e-08,4.367320268554276e-08,3.113806713392972e-08,1.9858713250273725e-08,3.275671248800785e-08,1.7735018152568298e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,10,36,6.770275002573076,66.11596682200269,376.99999999999994,221.08333333333334,3681.6406249999995,2159.0169270833335,0,0,0,3.6816406249999995e-06,2.1590169270833333e-06,36.0,3.433227539062499e-15,3.4449539363132994e-15,6.992212176229675e-10,1.5102025169110148e-09,4.7899791637827544e-12,5.270580380583447e-10,3.3057983411001345e-08,5.8593749999999995e-08,4.1487495273651796e-08,2.6765738159485013e-08,4.367516770569548e-08,2.227468639901143e-08
