source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,1,36,6.770275002573076,66.11596682200269,43.944444444444436,3.166666666666666,429.1449652777777,30.92447916666666,0,0,0,4.2914496527777773e-07,3.092447916666666e-08,36.0,3.433227539062499e-15,3.4485169078702637e-15,9.321010556611284e-10,2.099557635569335e-09,1.755483274211481e-10,4.618232479300316e-10,3.3057983411001345e-08,5.8593749999999995e-08,3.6835424441116946e-08,3.042390032125381e-08,4.24303270217635e-08,2.5303291353744615e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,2,1,1.1283791670955126,11.019327803667116,50.49999999999999,0.5,493.16406249999994,4.8828125,0,0,0,4.931640624999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.892599034779232e-17,7.491451865236657e-10,7.491451865236657e-10,7.491451865236657e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,3,49124,250.09322141067744,2442.316615338647,317.0558790000814,107.12505089162117,3096.24881836017,1046.143075113488,0,0,0,3.09624881836017e-06,1.0461430751134881e-06,49124.0,4.6848297119140615e-12,5.2111712311944606e-12,5.4918305920660536e-08,3.341380714402754e-07,7.124950826067432e-13,8.514199525702835e-08,1.2211583076693234e-06,2.1644467449937553e-06,2.018330174264772e-06,1.0089337561880685e-06,2.3610609489233162e-06,4.993462876268284e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,4,2098,51.68420034066863,504.7285189518421,14.910867492850334,55.583889418493804,145.61394035986655,542.8114201024786,0,0,1,1.4561394035986654e-07,5.428114201024785e-07,2098.0,2.000808715820312e-13,2.047755917165123e-13,8.782531739777826e-09,4.658755778129402e-08,6.00424085565594e-13,1.0705164454151564e-08,2.5236425947592103e-07,4.473040035390151e-07,5.329859534570444e-07,1.5868956281034824e-07,5.736477879691649e-07,1.0869056975492992e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,5,2,1.5957691216057308,15.583682828180965,35.49999999999999,16.0,346.67968749999994,156.25,0,0,0,3.4667968749999996e-07,1.5624999999999999e-07,2.0,1.9073486328124996e-16,1.987717436884206e-16,5.06892145920917e-10,7.228877511121655e-10,2.908965407296684e-10,2.1599560519124855e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,6,2,1.5957691216057308,15.583682828180965,104.49999999999999,19.999999999999996,1020.5078124999999,195.31249999999997,0,0,0,1.0205078125e-06,1.9531249999999998e-07,2.0,1.9073486328124996e-16,1.9463596574176259e-16,1.3712556765878319e-10,1.3712556765878319e-10,1.3712556765878319e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,7,1,1.1283791670955126,11.019327803667116,102.49999999999999,20.5,1000.9765624999999,200.1953125,0,0,0,1.0009765624999999e-06,2.001953125e-07,1.0,9.536743164062498e-17,9.576451757672088e-17,1.3712556765878319e-10,1.3712556765878319e-10,1.3712556765878319e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,8,2,1.5957691216057308,15.583682828180965,39.49999999999999,26.999999999999993,385.74218749999994,263.67187499999994,0,0,0,3.8574218749999995e-07,2.6367187499999995e-07,2.0,1.9073486328124996e-16,1.9699394397120338e-16,7.753760685565985e-10,1.4273051628957669e-09,1.2344697421743016e-10,6.519290943391683e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,9,3,1.9544100476116797,19.08603562120781,46.5,45.49999999999999,454.1015625,444.33593749999994,0,0,0,4.5410156249999997e-07,4.4433593749999995e-07,3.0,2.8610229492187495e-16,2.9339892862874344e-16,3.222181378733794e-10,6.886387877257019e-10,4.8292509167706646e-11,2.6947768716346785e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540906e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,10,2,1.5957691216057308,15.583682828180965,99.5,54.999999999999986,971.6796875,537.1093749999999,0,0,0,9.716796875e-07,5.371093749999999e-07,2.0,1.9073486328124996e-16,2.0008398784939748e-16,8.855927190953857e-10,8.855927190953857e-10,8.855927190953857e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
