source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,1,3727,68.88660089761979,672.7207118908183,13.751408639656557,81.31540112691171,134.29109999664607,794.0957141299972,0,0,0,1.3429109999664608e-07,7.940957141299972e-07,3727.0,3.554344177246093e-13,4.1910248848753463e-13,4.804085254968956e-08,1.6499545885876168e-07,9.853731846364106e-12,3.2548593497593126e-08,3.363603559454091e-07,5.961832081873904e-07,7.60189432779566e-07,1.6632757218347484e-07,8.217687351759972e-07,1.7490364644510269e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,2,9,3.385137501286538,33.057983411001345,15.833333333333332,1.2777777777777775,154.62239583333331,12.478298611111109,0,0,0,1.5462239583333332e-07,1.2478298611111109e-08,9.0,8.583068847656248e-16,8.827283760164263e-16,2.179346386217478e-09,3.295972259751984e-09,5.023739967210269e-10,9.410155227732785e-10,1.6528991705500673e-08,2.9296874999999997e-08,1.863930006549173e-08,1.572676971730123e-08,2.184226587865914e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,3,2606,57.60262366923779,562.5256217699003,75.91289332310052,23.330007674597084,741.3368488584035,227.83210619723715,0,0,0,7.413368488584036e-07,2.2783210619723714e-07,2606.0,2.485275268554687e-13,3.0979486893946815e-13,7.532648714131953e-08,1.6768498328455667e-07,2.9961333442032633e-11,4.6709027822086825e-08,2.8126281088495016e-07,4.985253522695398e-07,3.027570194968324e-07,2.7877645479221066e-07,3.9896481196543974e-07,2.3724606684813452e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,4,37101,217.34410585341226,2122.501033724729,195.58730222905044,121.34897981186491,1910.0322483305706,1185.0486309752432,0,0,0,1.9100322483305707e-06,1.1850486309752431e-06,37101.0,3.538227081298827e-12,4.19455242109656e-12,7.515669749521697e-08,2.2247219891899865e-07,2.8225835008937863e-12,5.561650140738434e-08,1.0612505168623644e-06,1.881017565388167e-06,2.124257414374917e-06,6.582581346136712e-07,2.2779761930580006e-06,5.08124710839514e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,5,545,26.34227689249097,257.24879777823213,450.83577981651376,14.870642201834858,4402.6931622706425,145.22111525229354,0,0,0,4.402693162270642e-06,1.4522111525229355e-07,545.0,5.197525024414061e-14,5.795906148121996e-14,1.7135526486799013e-08,5.038554604182576e-08,5.999426471275553e-12,1.4246538837561906e-08,1.2862439888911605e-07,2.279808111314209e-07,1.838590604609118e-07,1.0645944438393872e-07,2.0559621963348123e-07,9.158337768557461e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,6,9987,112.76454821117349,1101.216291124741,451.7490237308501,107.00555722439171,4411.611559871583,1044.9761447694502,0,0,0,4.411611559871583e-06,1.0449761447694503e-06,9987.0,9.524345397949217e-13,1.162078465478033e-12,6.473598915179301e-08,2.370907535548513e-07,2.3750423780642902e-11,4.6538267237266136e-08,5.506081455623706e-07,9.759275279419685e-07,7.722972643882678e-07,5.329708362610012e-07,1.0498882752040219e-06,2.9841244661492677e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,7,26093,182.27078603214122,1779.988144845129,361.4125819185222,255.0416395201778,3529.4197452980684,2490.6410109392364,0,0,0,3.5294197452980683e-06,2.4906410109392365e-06,26093.0,2.4884223937988275e-12,2.9598223723294837e-12,9.319825986813668e-08,2.48890624530254e-07,1.1739886502533886e-11,6.686979200469209e-08,8.899940724225645e-07,1.577473420948457e-06,1.2250129779848324e-06,6.735130963852596e-07,1.2578925939682228e-06,5.602813399185152e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,8,219,16.698486766680407,163.07115983086334,498.3904109589041,230.42237442922368,4867.093857020548,2250.2185002853876,0,0,0,4.867093857020548e-06,2.2502185002853877e-06,219.0,2.088546752929687e-14,2.1045719230401418e-14,2.629634397563822e-09,7.824427838796645e-09,2.400853324924162e-11,1.852635891802841e-09,8.153557991543167e-08,1.445180526069213e-07,8.936769607065086e-08,7.500578578243426e-08,9.45046198122074e-08,6.800901166761612e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,9,4573,76.30546794348292,745.1705853855755,22.577410890006558,295.7558495517166,220.4825282227203,2888.2407182784823,0,0,0,2.204825282227203e-07,2.8882407182784822e-06,4573.0,4.36115264892578e-13,5.179634991466774e-13,6.382490320652465e-08,1.4086997946088465e-07,7.713068557169944e-12,3.904454905252621e-08,3.7258529269278766e-07,6.603902368240902e-07,5.641079919054332e-07,2.50648802333463e-07,5.943217868124813e-07,2.376413097847429e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,10,19458,157.39979371478478,1537.1073604959452,174.4211635317093,376.4364271764826,1703.3316751143486,3676.136984145338,0,0,0,1.7033316751143487e-06,3.676136984145338e-06,19458.0,1.855659484863281e-12,2.4904966734918054e-12,1.265752351925875e-07,3.2337160946520085e-07,3.850300464758287e-12,7.694677580114768e-08,7.685536802479724e-07,1.3622259301831252e-06,9.702316650831793e-07,6.248839357136613e-07,1.0280101392123403e-06,5.1285755989316e-07
