source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,1,6747,92.68520490524982,905.1289541528303,23.678005039276712,77.17452200978212,231.23051796168664,753.6574415017785,0,0,0,2.3123051796168665e-07,7.536574415017785e-07,6747.0,6.434440612792967e-13,1.2125775354777341e-12,2.2093203347070603e-07,1.0933802989967817e-06,1.9820215826896338e-11,2.2568927043824328e-07,4.5256447707641504e-07,8.021496501771329e-07,1.1719100964446573e-06,2.6556992574103906e-07,1.4173331134027927e-06,2.9866445373515346e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,2,64120,285.7273518731076,2790.306170635816,386.96373986275734,288.65475670617593,3778.9427720972394,2818.894108458749,0,0,0,3.7789427720972395e-06,2.8188941084587493e-06,64120.0,6.114959716796874e-12,6.9937487288794704e-12,7.163131643565454e-08,4.555482644964523e-07,3.126909502985485e-12,4.872558191940747e-08,1.3951530853179082e-06,2.472844458674438e-06,2.5194319613075545e-06,9.73149505021012e-07,2.806647721389732e-06,7.284761710111075e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,3,22093,167.71905455801362,1637.881392168102,247.23511972117862,83.68802335581405,2414.405466027135,817.2658530841215,0,0,0,2.414405466027135e-06,8.172658530841215e-07,22093.0,2.1069526672363275e-12,2.8354887049639384e-12,1.5791383449564318e-07,3.587462787479157e-07,6.980986244384927e-12,8.988786412075588e-08,8.189406960840508e-07,1.4515345904374196e-06,9.065626584415459e-07,7.541777113160148e-07,9.66539083647091e-07,6.036948991056682e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,4,26284,182.93667809878647,1786.4909970584617,99.48474357023282,255.18593060416978,971.5306989280549,2492.0501035563457,0,0,0,9.71530698928055e-07,2.492050103556346e-06,26284.0,2.5066375732421868e-12,3.5099636296779804e-12,1.0681384469371679e-07,4.320565155072387e-07,8.253247394480797e-13,8.31015383543211e-08,8.932454985292307e-07,1.5832364236721522e-06,1.4955232025992083e-06,7.049661316327853e-07,2.0120636835300637e-06,5.340203301880279e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,5,6,2.763953195770684,26.991730427448086,93.99999999999999,129.0,917.9687499999999,1259.765625,0,0,0,9.179687499999999e-07,1.259765625e-06,6.0,5.722045898437499e-16,9.700228383354925e-16,4.042748327913326e-09,7.745964454718159e-09,9.005786733336924e-10,2.6888333622399784e-09,1.3495865213724042e-08,2.392079826936697e-08,1.9895674832735832e-08,9.557573039016974e-09,2.183660134277144e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,6,39,7.046725639945928,68.81568007759695,155.62820512820514,293.88461538461536,1519.8066907051282,2869.9669471153843,0,0,0,1.5198066907051282e-06,2.869966947115384e-06,39.0,3.719329833984374e-15,3.8743756398592195e-15,2.8929307486120746e-09,6.456363040266805e-09,1.9814215954647714e-10,1.8300717199364964e-09,3.440784003879848e-08,6.098630857810935e-08,3.932704143114423e-08,3.087268490840584e-08,4.3674754512375325e-08,2.514935307373225e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,7,1324,41.058119260742515,400.9581959056886,232.59894259818728,318.99018126888217,2271.4740488104226,3115.138488953927,1,1,0,2.2714740488104226e-06,3.115138488953927e-06,1324.0,1.2626647949218747e-13,1.39749897249029e-13,8.041450596528107e-09,2.3848008833332883e-08,4.0395032010496365e-11,5.67361826639235e-09,2.004790979528443e-07,3.55339949192583e-07,2.3664772959851148e-07,1.7959534995124165e-07,2.732984382888566e-07,1.0109010752370426e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,8,3,1.9544100476116797,19.08603562120781,218.16666666666666,299.1666666666667,2130.5338541666665,2921.549479166667,0,0,0,2.1305338541666664e-06,2.9215494791666668e-06,3.0,2.8610229492187495e-16,3.299575158321945e-16,2.2129401586952114e-09,2.340317594916466e-09,1.9581852862527016e-09,1.8013889784441253e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941134e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,9,1,1.1283791670955126,11.019327803667116,211.49999999999994,302.5,2065.4296874999995,2954.1015625,0,0,0,2.0654296874999997e-06,2.9541015625e-06,1.0,9.536743164062498e-17,1.0624444324565002e-16,1.5369507211566517e-09,1.5369507211566517e-09,1.5369507211566517e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025195e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,10,6,2.763953195770684,26.991730427448086,209.66666666666663,306.49999999999994,2047.5260416666663,2993.1640624999995,0,0,0,2.0475260416666664e-06,2.9931640624999996e-06,6.0,5.722045898437499e-16,6.874117616413113e-16,1.3155687100954863e-09,1.5276801585194374e-09,8.913458132475839e-10,2.9997088709575303e-10,1.3495865213724042e-08,2.392079826936697e-08,2.416886289734593e-08,8.61253375140772e-09,2.4898803872027712e-08,6.1002336273238875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,11,7,2.985410660720923,29.154400983602766,248.5,309.49999999999994,2426.7578125,3022.4609374999995,0,0,0,2.4267578125e-06,3.0224609374999997e-06,7.0,6.675720214843749e-16,7.54571067658843e-16,3.6480253222135466e-09,4.332427727141716e-09,3.306667567844887e-09,4.476805544914517e-10,1.4577200491801383e-08,2.583741514711514e-08,1.867764897222246e-08,1.170009829289905e-08,2.071601898007469e-08,9.765340963137379e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,12,6,2.763953195770684,26.991730427448086,209.33333333333331,314.3333333333333,2044.2708333333333,3069.661458333333,0,0,0,2.0442708333333333e-06,3.069661458333333e-06,6.0,5.722045898437499e-16,6.463062691449132e-16,1.7863328613839812e-09,4.2481277118701315e-09,2.7604674138902903e-10,1.7622135104287583e-09,1.3495865213724042e-08,2.392079826936697e-08,2.509375986535779e-08,8.356138364680443e-09,2.489935258714588e-08,6.101007850133812e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,13,1,1.1283791670955126,11.019327803667116,210.49999999999994,317.5,2055.6640624999995,3100.5859375,0,0,0,2.0556640624999997e-06,3.1005859375e-06,1.0,9.536743164062498e-17,1.0306943682026346e-16,1.481360891571888e-09,1.481360891571888e-09,1.481360891571888e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025195e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,14,11,3.742410318509555,36.54697576669488,211.40909090909088,320.77272727272725,2064.5419034090905,3132.546164772727,0,0,0,2.0645419034090906e-06,3.132546164772727e-06,11.0,1.0490417480468747e-15,1.1930196782738616e-15,2.1882699915115817e-09,3.35918198444246e-09,7.583784476095828e-11,9.61591883405281e-10,1.8273487883347434e-08,3.238891396831445e-08,3.09464701933097e-08,1.189053229081668e-08,3.088200672191601e-08,9.76539204158748e-09
