source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,1,43246,234.65403757791353,2291.5433357218117,186.2642094066503,169.54573833418118,1818.9864199868196,1655.7201009197381,0,0,0,1.8189864199868195e-06,1.6557201009197382e-06,43246.0,4.124259948730468e-12,7.031975714522662e-12,2.1647807538183874e-07,7.410656713778258e-07,1.690804988361227e-11,1.5454657767266538e-07,1.1457716678609058e-06,2.0308274049584982e-06,1.9032774411754017e-06,7.190889241381596e-07,1.9070972592756675e-06,6.34741018487773e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,2,50982,254.77892077188815,2488.07539816297,367.4697932603664,260.65432897885523,3588.5721998082654,2545.4524314341334,0,0,0,3.5885721998082654e-06,2.5454524314341336e-06,50982.0,4.862022399902343e-12,5.650397881884817e-12,9.193642811550448e-08,3.1969086235218606e-07,1.768016218338642e-12,6.795271891299288e-08,1.2440376990814851e-06,2.2049994104086157e-06,2.904623942621877e-06,6.288969753033801e-07,2.7621367111044888e-06,5.661924385774792e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,3,4761,77.85816252959037,760.333618453031,20.70730938878387,64.90936777987818,202.21981824984246,633.8805447253728,0,0,0,2.0221981824984245e-07,6.338805447253728e-07,4761.0,4.540443420410155e-13,5.445427209633487e-13,7.7192795310903e-08,2.0520316408181555e-07,4.469901562189208e-11,5.244888856358836e-08,3.8016680922651547e-07,6.738281249999999e-07,6.429526040116958e-07,2.3399520758476593e-07,6.116864883361121e-07,2.1344226802023396e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,4,69,9.373021315815206,91.53341128725788,243.22463768115938,23.07971014492753,2375.240602355072,225.38779438405794,0,0,0,2.3752406023550722e-06,2.2538779438405795e-07,69.0,6.580352783203123e-15,6.838501725530804e-15,3.0883225820215916e-09,6.464846803505757e-09,2.6030310661159774e-11,1.8437511648205286e-09,4.5766705643628934e-08,8.111937366130932e-08,6.785975811672239e-08,3.1429775078276156e-08,7.210299198046413e-08,2.8471176474504407e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,5,26884,185.01289663334316,1806.7665686849919,54.37892426722214,343.2833283737539,531.0441822970912,3352.3762536499403,0,0,0,5.310441822970911e-07,3.3523762536499403e-06,26884.0,2.563858032226562e-12,2.98525033126668e-12,9.725436182306253e-08,2.9157524391868624e-07,1.8038728994092954e-12,7.014433154250887e-08,9.033832843424958e-07,1.6012051811765294e-06,2.0540157057817003e-06,4.180832768868644e-07,1.982313845761449e-06,4.309251780843063e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,6,46,7.653039857325812,74.73671735669738,336.5652173913044,189.195652173913,3286.7697010869565,1847.6137907608693,0,0,0,3.2867697010869565e-06,1.8476137907608693e-06,46.0,4.386901855468749e-15,4.432186941479078e-15,1.4845536591135754e-09,3.338358524656667e-09,2.201587151094041e-11,1.0189993028386803e-09,3.736835867834869e-08,6.623369124145769e-08,4.18263073578255e-08,3.407449266586618e-08,4.8091206181606395e-08,3.06642261823799e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,7,9819,111.81207041171612,1091.9147501144153,495.2140238313474,343.12837356146247,4836.074451478002,3350.863023061157,0,0,0,4.836074451478002e-06,3.350863023061157e-06,9819.0,9.364128112792967e-13,1.3688020528727053e-12,1.6027723597687966e-07,3.68550941093986e-07,1.0122610677584799e-11,8.77386910866202e-08,5.459573750572076e-07,9.676842518504147e-07,1.5719282629508563e-06,2.0216070687333949e-07,1.5193427096387715e-06,2.2193295760844678e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,8,2,1.5957691216057308,15.583682828180965,407.49999999999994,241.0,3979.4921874999995,2353.515625,0,0,0,3.9794921875e-06,2.353515625e-06,2.0,1.9073486328124996e-16,2.076549260750812e-16,1.8173436573150776e-09,2.6777645078009264e-09,9.569228068292289e-10,8.604208504858487e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385626e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,9,1,1.1283791670955126,11.019327803667116,409.49999999999994,240.49999999999994,3999.0234374999995,2348.6328124999995,0,0,0,3.9990234375e-06,2.3486328124999996e-06,1.0,9.536743164062498e-17,1.0358907357255093e-16,6.909297302545587e-10,6.909297302545587e-10,6.909297302545587e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,10,280,18.881394877652593,184.3886218520761,296.8321428571428,261.2964285714286,2898.7513950892853,2551.7229352678573,0,0,0,2.8987513950892854e-06,2.551722935267857e-06,280.0,2.6702880859374993e-14,2.8688762670317576e-14,4.597449820342308e-09,1.3057925852725192e-08,1.3533282876036457e-11,3.1010305810555214e-09,9.219431092603805e-08,1.634101614324366e-07,1.8214322361756651e-07,4.758838918921645e-08,1.7927313757648852e-07,4.6198909810345425e-08
