source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,1,143199,426.9972243077589,4169.894768630458,265.88651107898795,242.21371308458856,2596.547959755742,2365.3682918416853,0,0,0,2.596547959755742e-06,2.3653682918416853e-06,143199.0,1.3656520843505856e-11,1.3657683211635788e-11,6.066126626329796e-10,4.3093715259607625e-09,1.3449662939845935e-14,6.069410712453041e-10,2.084947384315229e-06,3.69547302026491e-06,2.5474575231885105e-06,2.3012195749196323e-06,3.330194547485459e-06,8.116438895717075e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,2,18,4.787307364817192,46.751048484542885,8.999999999999998,14.5,87.89062499999999,141.6015625,0,0,0,8.789062499999999e-08,1.416015625e-07,18.0,1.7166137695312496e-15,1.7181027353328965e-15,1.481187112137114e-10,2.8726529451449333e-10,5.528898619479041e-11,7.531383449925195e-11,2.3375524242271445e-08,4.1432037960149266e-08,1.0032398316016616e-07,5.57355462000929e-09,8.802615418613256e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,3,6,2.763953195770684,26.991730427448086,419.5,15.0,4096.6796875,146.484375,0,0,0,4.0966796875e-06,1.46484375e-07,6.0,5.722045898437499e-16,5.722288772972841e-16,3.9258021082425605e-12,5.179848842257037e-12,1.4177086402136072e-12,1.773489899092958e-12,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722672e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,4,2,1.5957691216057308,15.583682828180965,482.0,14.5,4707.03125,141.6015625,0,0,0,4.70703125e-06,1.416015625e-07,2.0,1.9073486328124996e-16,1.9082698550593778e-16,1.8748846145866625e-12,1.8748846145866625e-12,1.8748846145866625e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.09183006713861e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,5,5,2.5231325220201604,24.63996603535313,488.5,14.5,4770.5078125,141.6015625,0,0,0,4.7705078125e-06,1.416015625e-07,5.0,4.768371582031249e-16,4.771496028941681e-16,3.6406507111968577e-11,5.05377016655374e-11,1.4045088989084319e-11,1.453250786693556e-11,1.2319983017676562e-08,2.183660134277138e-08,2.7867773100046154e-08,5.573554620009234e-09,2.4897556218715457e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,6,8,3.1915382432114616,31.16736565636193,431.0,18.999999999999996,4208.984375,185.54687499999997,0,0,0,4.208984375e-06,1.8554687499999998e-07,8.0,7.629394531249998e-16,7.629862772930714e-16,1.4493281200848788e-11,1.9310116548781324e-11,7.025533425545968e-12,5.168710779090415e-12,1.5583682828180962e-08,2.762135864009951e-08,2.2294218480036925e-08,1.1147109240018461e-08,2.183660134277143e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,7,1,1.1283791670955126,11.019327803667116,412.49999999999994,21.499999999999996,4028.3203124999995,209.96093749999997,0,0,0,4.028320312499999e-06,2.0996093749999997e-07,1.0,9.536743164062498e-17,9.536758143803788e-17,6.444196161288333e-12,6.444196161288333e-12,6.444196161288333e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,8,169,14.668929172241665,143.2512614476725,20.997041420118343,25.872781065088756,205.04923261834318,252.66387758875737,0,0,0,2.0504923261834318e-07,2.526638775887574e-07,169.0,1.611709594726562e-14,1.6119488347232705e-14,1.227095074251285e-10,3.4495382245017054e-10,9.147177728822887e-13,7.648002118699118e-11,7.162563072383624e-08,1.26953125e-07,2.6692236678985845e-07,2.1471353012057753e-08,2.4983656301049293e-07,2.441327814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,9,3,1.9544100476116797,19.08603562120781,445.5,25.499999999999996,4350.5859375,249.02343749999997,0,0,0,4.3505859375e-06,2.4902343749999996e-07,3.0,2.8610229492187495e-16,2.8610955879708337e-16,1.901967999085423e-11,1.901967999085423e-11,1.901967999085423e-11,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754084e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,10,2,1.5957691216057308,15.583682828180965,52.5,25.999999999999996,512.6953125,253.90624999999997,0,0,0,5.126953125e-07,2.5390625e-07,2.0,1.9073486328124996e-16,1.907464400207522e-16,6.775632835560101e-12,6.775632835560101e-12,6.775632835560101e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385672e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,11,4,2.256758334191025,22.03865560733423,100.0,28.5,976.5625,278.3203125,0,0,0,9.765625e-07,2.783203125e-07,4.0,3.814697265624999e-16,3.81609919559293e-16,3.593488365904484e-11,4.5366501193836507e-11,9.984680892428666e-12,1.5012902396043043e-11,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.0132351687586285e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,12,1,1.1283791670955126,11.019327803667116,49.5,30.5,483.3984375,297.8515625,0,0,0,4.833984375e-07,2.978515625e-07,1.0,9.536743164062498e-17,9.537244462837484e-17,3.1589449980986255e-12,3.1589449980986255e-12,3.1589449980986255e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024971e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,13,9,3.385137501286538,33.057983411001345,388.49999999999994,33.49999999999999,3793.9453124999995,327.14843749999994,0,0,0,3.7939453124999996e-06,3.2714843749999996e-07,9.0,8.583068847656248e-16,8.583788542860418e-16,6.349073165333168e-11,1.1479270096937072e-10,2.857832837932816e-14,3.6803029143716604e-11,1.6528991705500673e-08,2.9296874999999997e-08,5.016199158008308e-08,5.573554620009218e-09,4.4215747744811515e-08,4.8779296875e-09
