source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,1,280,18.881394877652593,184.3886218520761,21.346428571428568,9.814285714285713,208.4612165178571,95.84263392857142,0,0,0,2.0846121651785712e-07,9.584263392857142e-08,280.0,2.6702880859374993e-14,2.7221431965977392e-14,5.038906531897711e-09,1.281268165222373e-08,1.0398426550732813e-11,3.660716419061248e-09,9.219431092603805e-08,1.634101614324366e-07,1.5999877100430448e-07,6.010882569992115e-08,1.6588126830308784e-07,4.678186645756732e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,2,13741,132.27087579737977,1291.7077714587867,153.39600465759403,46.24230405356233,1498.0078579843168,451.5850005230696,0,0,0,1.4980078579843168e-06,4.515850005230696e-07,13741.0,1.3104438781738278e-12,1.334459429052054e-12,7.544406047790457e-09,6.710014808390153e-08,2.785171210057846e-13,1.1865544729197268e-08,6.458538857293935e-07,1.1447462068833545e-06,1.1532272951968084e-06,5.003981687502951e-07,1.313564577290333e-06,1.9156206652275526e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,3,7,2.985410660720923,29.154400983602766,317.21428571428567,0.9285714285714286,3097.795758928571,9.068080357142858,0,0,0,3.097795758928571e-06,9.068080357142857e-09,7.0,6.675720214843749e-16,6.678457419370008e-16,1.218680006411687e-10,1.846951009087241e-10,1.838540331252056e-11,5.184802226240546e-11,1.4577200491801383e-08,2.583741514711514e-08,2.0666309330496778e-08,1.0676368226190556e-08,2.183668089006842e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,4,1,1.1283791670955126,11.019327803667116,427.4999999999999,0.5,4174.804687499999,4.8828125,0,0,0,4.174804687499999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.556498518573145e-17,3.7434556705936364e-10,3.7434556705936364e-10,3.7434556705936364e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,5,49551,251.17781088538064,2452.908309427545,388.8408003874796,261.168018808904,3797.2734412839804,2550.468933680703,0,0,0,3.7972734412839802e-06,2.5504689336807026e-06,49551.0,4.725551605224608e-12,4.790947613583087e-12,7.061888741029689e-09,5.666387743334087e-08,5.446084022986735e-13,8.983826881465841e-09,1.2264541547137726e-06,2.1738333894814956e-06,2.469926945601089e-06,9.148484601849564e-07,2.7149202852324405e-06,2.8307838256172877e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,6,10,3.5682482323055424,34.84617414360881,427.5999999999999,4.4,4175.781249999999,42.96875,0,0,0,4.1757812499999994e-06,4.296875e-08,10.0,9.536743164062499e-16,9.544426602347734e-16,3.194394062269379e-10,4.812861676757962e-10,4.6326870069521066e-11,1.4410653198612908e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.7298610825631723e-08,1.2112055953579796e-08,2.8471444799049447e-08,9.76552361764887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,7,16,4.51351666838205,44.07731121466846,319.99999999999994,10.499999999999998,3124.9999999999995,102.53906249999999,0,0,0,3.1249999999999997e-06,1.0253906249999999e-07,16.0,1.5258789062499997e-15,1.5325887112847627e-15,4.5037115570550285e-10,1.0322313932596604e-09,9.409224255301943e-12,3.2408445482629163e-10,2.203865560733423e-08,3.9062499999999997e-08,2.4403489901268183e-08,2.0185839423893275e-08,2.629475003483645e-08,1.760208393623581e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,8,61,8.812923024107548,86.06370140730027,304.7295081967213,15.811475409836063,2975.8741034836066,154.4089395491803,0,0,0,2.9758741034836066e-06,1.544089395491803e-07,61.0,5.8174133300781234e-15,5.847980233398106e-15,1.3520970184448546e-09,2.732633727864049e-09,2.524472154030666e-11,8.632790174993311e-10,4.303185070365013e-08,7.627196949127591e-08,4.759947404706441e-08,3.9738526849859606e-08,5.465075954976864e-08,3.5209454551661865e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,9,169,14.668929172241665,143.2512614476725,504.576923076923,23.304733727810646,4927.509014423076,227.58529031065083,0,0,0,4.9275090144230766e-06,2.2758529031065084e-07,169.0,1.611709594726562e-14,1.616287573021259e-14,1.4461852805489286e-09,2.8526245150944454e-09,2.9121458161906285e-11,8.563308444738615e-10,7.162563072383624e-08,1.26953125e-07,9.836630529202152e-08,5.739063199798849e-08,1.0709531662783952e-07,4.9293415578449765e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,10,65,9.09728368293446,88.84066096615683,486.1,29.084615384615386,4747.0703125,284.02944711538464,0,0,0,4.7470703125e-06,2.840294471153846e-07,65.0,6.198883056640624e-15,6.250008874356934e-15,1.4654402107945903e-09,3.3844296727213014e-09,1.4470808373836573e-10,9.98941498061102e-10,4.442033048307842e-08,7.873298582322802e-08,6.007375345847018e-08,3.327848453546438e-08,6.34769548178647e-08,3.145696431188331e-08
