source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,1,162388,454.70740393186213,4440.501991522091,223.7759070867305,211.17852920166516,2185.3115926438527,2062.290324235011,0,0,0,2.185311592643853e-06,2.062290324235011e-06,162388.0,1.548652648925781e-11,1.800505324215726e-11,1.0414376344935849e-07,6.612561931660571e-07,1.2098484406853353e-13,1.3668793639938312e-07,2.2202509957610455e-06,3.9352924274134715e-06,2.783496287957801e-06,2.201100706371127e-06,3.535534694702754e-06,6.785722383767584e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,2,1,1.1283791670955126,11.019327803667116,355.49999999999994,58.499999999999986,3471.6796874999995,571.2890624999999,0,0,0,3.4716796874999996e-06,5.712890624999999e-07,1.0,9.536743164062498e-17,1.616340569412561e-16,4.958084020851666e-09,4.958084020851666e-09,4.958084020851666e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,3,13,4.068428945128219,39.73075141726777,458.1153846153846,105.26923076923077,4473.783052884615,1028.0198317307693,0,0,0,4.473783052884615e-06,1.0280198317307692e-06,13.0,1.2397766113281247e-15,1.2444501523163525e-15,3.3335777130766224e-10,8.029584447046612e-10,6.26280140418107e-11,2.8414367557003714e-10,1.986537570863388e-08,3.5210461674453015e-08,2.6814725106205945e-08,1.5832654278096023e-08,3.001408226736217e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,4,1,1.1283791670955126,11.019327803667116,334.5,111.5,3266.6015625,1088.8671875,0,0,0,3.2666015625e-06,1.0888671874999999e-06,1.0,9.536743164062498e-17,9.735068478376886e-17,4.862327796023584e-10,4.862327796023584e-10,4.862327796023584e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,5,1,1.1283791670955126,11.019327803667116,203.5,155.5,1987.3046875,1518.5546875,0,0,0,1.9873046875e-06,1.5185546875e-06,1.0,9.536743164062498e-17,9.723300339705178e-17,2.0365961254659878e-10,2.0365961254659878e-10,2.0365961254659878e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,6,1,1.1283791670955126,11.019327803667116,396.5,163.5,3872.0703125,1596.6796875,0,0,0,3.8720703125e-06,1.5966796875e-06,1.0,9.536743164062498e-17,1.0123332078411957e-16,1.625200132525361e-09,1.625200132525361e-09,1.625200132525361e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,7,26,5.753627391751592,56.18776749757414,184.11538461538458,173.42307692307693,1798.001802884615,1693.584735576923,0,0,0,1.7980018028846151e-06,1.693584735576923e-06,26.0,2.4795532226562493e-15,2.520707870554958e-15,1.6615684459461692e-09,3.3224488101107464e-09,1.8223569163134287e-11,9.6492247851291e-10,2.809388374878707e-08,4.979511243742953e-08,2.949776894893724e-08,2.729950280207677e-08,3.367867759485506e-08,2.250828340927594e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,8,761,31.127725479762553,303.9816941383062,319.0466491458607,221.0059132720105,3115.6899330650463,2158.2608717969774,0,0,0,3.115689933065046e-06,2.1582608717969773e-06,761.0,7.257461547851561e-14,7.319908369795876e-14,3.10546403691092e-09,8.496046150680473e-09,8.707227203718142e-12,1.8965229681289164e-09,1.519908470691531e-07,2.6939676219011175e-07,2.1764156272340008e-07,1.2382444088282186e-07,2.3781931586704045e-07,7.556735262950244e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,9,1,1.1283791670955126,11.019327803667116,279.49999999999994,205.5,2729.4921874999995,2006.8359375,0,0,0,2.7294921874999997e-06,2.0068359375e-06,1.0,9.536743164062498e-17,9.706028011210966e-17,6.808904896080686e-10,6.808904896080686e-10,6.808904896080686e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,10,1,1.1283791670955126,11.019327803667116,377.49999999999994,216.5,3686.5234374999995,2114.2578125,0,0,0,3.6865234374999997e-06,2.1142578125e-06,1.0,9.536743164062498e-17,9.590175956759677e-17,6.992292492917233e-10,6.992292492917233e-10,6.992292492917233e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025195e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,11,29,6.076507779746499,59.340896286586904,473.3275862068965,305.32758620689657,4622.339709051724,2981.714709051724,0,0,0,4.622339709051724e-06,2.981714709051724e-06,29.0,2.7656555175781245e-15,2.7885940066479773e-15,9.432632474270395e-10,1.9450494910688716e-09,3.7986935924638086e-11,6.40337694517768e-10,2.9670448143293448e-08,5.258950006967289e-08,3.2980853153993586e-08,2.7778880093509038e-08,3.889252391172372e-08,2.2881555821226196e-08
