source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,1,187699,488.8617282087495,4774.04031453857,207.0194753301829,236.53849780766015,2021.6745637713173,2309.946267652931,0,0,0,2.0216745637713173e-06,2.309946267652931e-06,187699.0,1.7900371551513667e-11,2.532847268791193e-11,4.1885183937058403e-07,2.613806980087784e-06,8.347755808247798e-13,5.562151311421424e-07,2.387020157269285e-06,4.230883069941034e-06,2.815493033413954e-06,2.376666993465438e-06,3.5355339264478974e-06,1.1286390357858267e-06
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,2,10411,115.1333874262274,1124.349486584252,468.3849294015945,218.92090097012772,4574.071576187446,2137.8994235364034,0,0,0,4.574071576187446e-06,2.1378994235364035e-06,10411.0,9.928703308105467e-13,9.98634980260668e-13,7.635991985741901e-09,2.3253607690091342e-08,1.0778041835769785e-12,4.7522303746104785e-09,5.62174743292126e-07,9.964287886299485e-07,8.940254063886808e-07,4.106199959948635e-07,1.1477116848412122e-06,3.0433472266552364e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,3,278,18.81384047546846,183.72891089324668,379.44964028776974,158.5143884892086,3705.562893435251,1547.992075089928,0,0,0,3.7055628934352514e-06,1.547992075089928e-06,278.0,2.6512145996093744e-14,2.6667597267495648e-14,2.5222463056502504e-09,5.817031714378433e-09,5.693039146539761e-13,1.6145705200114796e-09,9.186445544662332e-08,1.6282550781770572e-07,1.272928772934336e-07,6.769488225121067e-08,1.3682516384605123e-07,6.573656208884853e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,4,150,13.81976597885342,134.95865213724042,355.7066666666666,158.98,3473.697916666666,1552.5390624999998,0,0,0,3.473697916666666e-06,1.5525390624999997e-06,150.0,1.4305114746093746e-14,1.4548512301444065e-14,3.8610700419667046e-09,9.176270270851867e-09,5.877520124394367e-11,2.750420098538682e-09,6.747932606862021e-08,1.1960399134683486e-07,7.718325337480481e-08,5.955898839505835e-08,8.805143884518113e-08,5.623616746699261e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,5,95,10.998079684646791,107.40312192037882,282.21578947368414,276.52105263157887,2756.0135690789466,2700.4009046052624,0,0,0,2.756013569078947e-06,2.7004009046052625e-06,95.0,9.059906005859373e-15,9.151592316647428e-15,2.5612387280367407e-09,5.370028916568609e-09,7.858848748716947e-11,1.5805465962649315e-09,5.370156096018941e-08,9.518353852352502e-08,6.551566916270676e-08,4.446388161480813e-08,6.801868448398338e-08,4.0115383130468067e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,6,474,24.566553364370574,239.9077476989314,409.8333333333333,311.87130801687766,4002.278645833333,3045.618242352321,0,0,0,4.002278645833333e-06,3.045618242352321e-06,474.0,4.520416259765624e-14,4.5618593915744644e-14,3.552523543733027e-09,8.941686987888418e-09,1.9231361393670917e-12,2.079965335057534e-09,1.1995387384946568e-07,2.1261270563551991e-07,1.848322132315101e-07,8.020421703148173e-08,1.8561539509845468e-07,6.963127105099615e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,7,24,5.527906391541368,53.98346085489617,271.37499999999994,331.8333333333333,2650.1464843749995,3240.559895833333,0,0,0,2.6501464843749996e-06,3.240559895833333e-06,24.0,2.2888183593749996e-15,2.2919867257233734e-15,5.185148158832273e-10,9.904580323200357e-10,4.548168021283209e-11,3.304343772658725e-10,2.6991730427448084e-08,4.784159653873394e-08,3.00298829226493e-08,2.4575009663048262e-08,3.2755215392356365e-08,2.120474150247228e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,8,21,5.170882945826411,50.496903767836045,477.9761904761905,407.49999999999994,4667.736235119048,3979.4921874999995,0,0,0,4.6677362351190476e-06,3.9794921875e-06,21.0,2.0027160644531244e-15,2.003890229742e-15,2.474051001429931e-10,6.146192325007395e-10,6.212725753410818e-11,1.4641213153989532e-10,2.524845188391802e-08,4.475171577105312e-08,2.966335114963252e-08,2.2311084297631328e-08,3.344268053120165e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,9,77,9.901487006738307,96.69420905017878,489.3311688311688,413.03246753246754,4778.6246956168825,4033.520190746753,0,0,0,4.778624695616883e-06,4.033520190746753e-06,77.0,7.343292236328123e-15,7.363520561844972e-15,1.1315790396079094e-09,2.4726509245285062e-09,4.8775576411233866e-11,7.151952634981029e-10,4.834710452508939e-08,8.569301159562618e-08,5.594996530581107e-08,4.2575074368368745e-08,6.040366545636677e-08,3.684390289886868e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,10,23,5.4115163798060095,52.84683964654306,510.3695652173913,426.3260869565217,4984.077785326087,4163.340692934782,0,0,0,4.984077785326087e-06,4.163340692934782e-06,23.0,2.1934509277343745e-15,2.198509776824652e-15,7.847230393593922e-10,1.4591917843462926e-09,1.8096860429992875e-10,4.2972399978827973e-10,2.642341982327153e-08,4.683429221985077e-08,3.658463853696221e-08,2.023586995617577e-08,4.0266068633113115e-08,1.830888331577028e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,11,47,7.735777827895049,75.54470535053758,356.5212765957446,441.20212765957444,3481.6530917553187,4308.614527925532,0,0,0,3.4816530917553186e-06,4.308614527925531e-06,47.0,4.482269287109374e-15,4.502965218649736e-15,1.1039347987190312e-09,2.08365972757579e-09,2.6578136435584868e-11,6.790480253005624e-10,3.7772352675268796e-08,6.694975195704144e-08,5.543028574247694e-08,2.6249815923996886e-08,5.694321280785086e-08,2.441311822475453e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,12,6,2.763953195770684,26.991730427448086,314.3333333333333,458.3333333333332,3069.661458333333,4475.911458333332,0,0,0,3.069661458333333e-06,4.4759114583333325e-06,6.0,5.722045898437499e-16,5.750151216838135e-16,1.1757694653243918e-10,1.6704354814862738e-10,6.866779006970476e-11,2.8489760865878112e-11,1.3495865213724042e-08,2.392079826936697e-08,1.5798136295193246e-08,1.2237183754479675e-08,1.7955942224959692e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,13,1872,48.821147341538634,476.7690170072132,393.1303418803418,486.7772435897436,3839.163494925213,4753.68401943109,0,0,1,3.839163494925213e-06,4.7536840194310894e-06,1872.0,1.7852783203124996e-13,1.8944944262802557e-13,1.3956613457514175e-08,5.410940283190082e-08,5.651830920647328e-12,1.50487292604635e-08,2.3838450850360658e-07,4.225255400934362e-07,4.4192582899451917e-07,1.5146809850632557e-07,4.607357668311111e-07,1.32521481960169e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,14,36,6.770275002573076,66.11596682200269,432.8333333333332,497.6666666666667,4226.888020833332,4860.026041666667,0,0,0,4.2268880208333325e-06,4.8600260416666666e-06,36.0,3.433227539062499e-15,3.4533879573529124e-15,9.272023335109831e-10,2.3686511278281872e-09,3.104942938827828e-11,6.680342020946171e-10,3.3057983411001345e-08,5.8593749999999995e-08,4.544259661914471e-08,2.507063572765823e-08,4.809503663335132e-08,2.120474150247228e-08
