source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,1,188308,489.6541556956185,4781.778864215024,260.38973915075303,284.0534071839752,2542.8685463940724,2773.9590545310075,0,0,0,2.542868546394072e-06,2.7739590545310074e-06,188308.0,1.795845031738281e-11,2.1500487468361172e-11,1.015141573889343e-07,6.680164114491726e-07,3.2591220710555843e-13,1.116588291615188e-07,2.3908894321075122e-06,4.2377411810282616e-06,2.7355921026767358e-06,2.4674383708998166e-06,3.497808278107734e-06,7.743818268282954e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,2,53,8.214724333230155,80.22191731670073,14.273584905660377,16.27358490566038,139.39047759433961,158.92172759433961,0,0,0,1.393904775943396e-07,1.589217275943396e-07,53.0,5.054473876953124e-15,5.112391741746158e-15,1.81098560590194e-09,3.276595632362447e-09,5.825760962635762e-11,1.0511179006796812e-09,4.011095865835037e-08,7.109482313750505e-08,5.230261860849107e-08,3.1384689900819086e-08,5.459169592751111e-08,2.84711764745044e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,3,12,3.9088200952233594,38.17207124241562,215.0,22.999999999999996,2099.609375,224.60937499999997,0,0,0,2.099609375e-06,2.2460937499999998e-07,12.0,1.1444091796874998e-15,1.1472094420621006e-15,4.153032525770584e-10,6.726275829333913e-10,6.117733499829085e-11,2.426619719307734e-10,1.908603562120781e-08,3.382911733532963e-08,1.930735956123247e-08,1.930735956123247e-08,2.183660134277143e-08,1.3806667568515928e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,4,2,1.5957691216057308,15.583682828180965,198.49999999999997,23.999999999999996,1938.4765624999998,234.37499999999997,0,0,0,1.9384765625e-06,2.3437499999999998e-07,2.0,1.9073486328124996e-16,1.909617269613311e-16,4.9453770250746684e-11,5.467871407018801e-11,4.4228826431305354e-11,5.224943819441329e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,5,11,3.742410318509555,36.54697576669488,192.68181818181816,28.04545454545454,1881.658380681818,273.8813920454545,0,0,0,1.881658380681818e-06,2.738813920454545e-07,11.0,1.0490417480468747e-15,1.0522441488849457e-15,3.095404141236254e-10,6.61497565368148e-10,2.7126721529194692e-11,2.5066050978237094e-10,1.8273487883347434e-08,3.238891396831445e-08,2.2420984250038208e-08,1.545793135472666e-08,2.4663419266013644e-08,1.1507240902298534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,6,85,10.403141895720198,101.59318257539256,4.041176470588235,34.594117647058816,39.46461397058823,337.8331801470588,0,0,0,3.946461397058823e-08,3.378331801470588e-07,85.0,8.106231689453123e-15,8.334756047537226e-15,4.7189349269087485e-09,9.09219285172778e-09,2.835358984683787e-11,2.6800805416413282e-09,5.0796591287696276e-08,9.003461384075085e-08,5.821746652793925e-08,4.549322156266657e-08,6.642912810490055e-08,4.1168475873152046e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,7,78,9.965574970333758,97.32006806966561,220.7051282051282,35.743589743589745,2155.323517628205,349.0584935897436,0,0,0,2.155323517628205e-06,3.490584935897436e-07,78.0,7.438659667968749e-15,7.513442187506194e-15,1.5388287008671133e-09,3.789266964961088e-09,1.5892753098022965e-10,9.5317939689608e-10,4.8660034034832805e-08,8.624766471023287e-08,8.069154281415957e-08,3.0509009835448863e-08,7.720690900655606e-08,2.771203605678677e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,8,10,3.5682482323055424,34.84617414360881,103.79999999999998,33.8,1013.6718749999999,330.07812499999994,0,0,0,1.0136718749999999e-06,3.300781249999999e-07,10.0,9.536743164062499e-16,9.56803478948575e-16,2.4606746110007206e-10,4.776351473164566e-10,2.239008257057326e-11,1.7076015280976763e-10,1.7423087071804404e-08,3.0881617775081825e-08,1.9864068893677646e-08,1.600544524319481e-08,2.1837795949753838e-08,1.1507405197535202e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,9,5,2.5231325220201604,24.63996603535313,306.49999999999994,35.49999999999999,2993.1640624999995,346.67968749999994,0,0,0,2.9931640624999996e-06,3.4667968749999996e-07,5.0,4.768371582031249e-16,4.779899000372599e-16,3.979050829712615e-10,4.410363610486283e-10,2.8715694004756794e-10,5.98122602591596e-11,1.2319983017676562e-08,2.183660134277138e-08,1.293396737039907e-08,1.293396737039907e-08,1.5440808887541157e-08,6.905339660024878e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,10,19,4.918490759365935,48.03213632193296,99.55263157894736,40.23684210526315,972.1936677631578,392.93791118421046,0,0,0,9.721936677631578e-07,3.9293791118421046e-07,19.0,1.8119812011718747e-15,1.8188833807990584e-15,6.250610207757862e-10,1.1614435991035711e-09,5.648036848965918e-11,3.960676210277149e-10,2.401606816096648e-08,4.2567372495514386e-08,3.261872266603815e-08,1.8246709512667152e-08,3.5211008424410463e-08,1.5139062381953742e-08
