source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,1,144749,429.3019343782067,4192.401702912174,280.23386344637953,190.99573399470805,2736.6588227185503,1865.1927147920708,0,0,0,2.7366588227185502e-06,1.8651927147920709e-06,144749.0,1.3804340362548826e-11,1.513568354538346e-11,1.1029224699434983e-07,1.0152951761154852e-06,1.4035981635495681e-13,1.6948196024433703e-07,2.096200851456087e-06,3.715419271434763e-06,2.4395132771184634e-06,2.3543875148073466e-06,3.515120894289224e-06,9.564520448801318e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,2,84,10.341765891652821,100.99380753567209,16.583333333333332,157.4880952380952,161.94661458333331,1537.9696800595236,0,0,0,1.6194661458333332e-07,1.5379696800595236e-06,84.0,8.010864257812498e-15,8.043154060885244e-15,1.5363564257202733e-09,3.067617946336707e-09,2.4119489553355524e-11,9.299262369755953e-10,5.049690376783604e-08,8.950343154210624e-08,5.6972545062882714e-08,4.5140588723667464e-08,6.180310894608135e-08,4.368319377129874e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,3,9,3.385137501286538,33.057983411001345,113.5,193.49999999999997,1108.3984375,1889.6484374999998,0,0,0,1.1083984375e-06,1.8896484374999999e-06,9.0,8.583068847656248e-16,8.594015022126185e-16,2.6004765087227976e-10,6.101422851516334e-10,8.562763657119111e-11,1.8947167376825596e-10,1.6528991705500673e-08,2.9296874999999997e-08,1.6720663860027693e-08,1.6720663860027693e-08,2.0716018980074987e-08,1.4633789062499998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,4,1,1.1283791670955126,11.019327803667116,45.49999999999999,196.49999999999997,444.33593749999994,1918.9453124999998,0,0,0,4.4433593749999995e-07,1.9189453124999997e-06,1.0,9.536743164062498e-17,9.53781929923932e-17,8.02448441365014e-12,8.02448441365014e-12,8.02448441365014e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,5,32,6.383076486422923,62.33473131272386,119.49999999999997,200.0,1166.9921874999998,1953.125,0,0,0,1.1669921874999999e-06,1.953125e-06,32.0,3.0517578124999993e-15,3.056361605207418e-15,6.3904695610534e-10,1.1832175340756443e-09,6.020903679644266e-11,3.1101074183725947e-10,3.1167365656361924e-08,5.524271728019902e-08,3.9272888477767274e-08,2.496306143374881e-08,4.171876828768337e-08,2.4413118224754537e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,6,34,6.579524642479541,64.25317033671426,17.147058823529413,213.52941176470588,167.45174632352942,2085.248161764706,0,0,0,1.674517463235294e-07,2.0852481617647056e-06,34.0,3.2424926757812495e-15,3.253751847714793e-15,8.286682836998495e-10,1.7205516726629556e-09,8.849854423769489e-11,5.194302087743739e-10,3.212658516835713e-08,5.694288959809863e-08,4.035641982537566e-08,2.6123556768733076e-08,4.502104431326445e-08,2.4413571498356372e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,7,21,5.170882945826411,50.496903767836045,138.88095238095238,213.49999999999994,1356.259300595238,2084.9609374999995,0,0,0,1.356259300595238e-06,2.0849609374999998e-06,21.0,2.0027160644531244e-15,2.006488814646767e-15,5.799959145256181e-10,1.2449711352949907e-09,9.007140868415893e-11,3.294795191096873e-10,2.524845188391802e-08,4.475171577105312e-08,2.9688453929318016e-08,2.190612108843625e-08,3.275571651155307e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,8,57,8.51907589177983,83.19410050566239,2.2719298245614032,220.88596491228068,22.186814692982452,2157.089501096491,0,0,0,2.2186814692982452e-08,2.157089501096491e-06,57.0,5.435943603515624e-15,5.4562198519423524e-15,1.7066944454951682e-09,3.800416335824233e-09,6.743912170891501e-11,1.0878875881130752e-09,4.159705025283119e-08,7.372885190694091e-08,6.535587473015031e-08,2.8429778587810242e-08,7.340624329582138e-08,2.660855211080876e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,9,24,5.527906391541368,53.98346085489617,54.708333333333336,219.16666666666666,534.2610677083334,2140.2994791666665,0,0,0,5.342610677083333e-07,2.1402994791666664e-06,24.0,2.2888183593749996e-15,2.2943719741956947e-15,5.811093757461299e-10,1.0818747363106727e-09,3.0302451781915365e-11,3.355877708578424e-10,2.6991730427448084e-08,4.784159653873394e-08,3.342889616891461e-08,2.2212221653151872e-08,3.521226256795496e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,10,498,25.180812005932435,245.90636724543393,320.8815261044177,236.4317269076305,3133.608653363454,2308.903583082329,0,0,0,3.1336086533634537e-06,2.308903583082329e-06,498.0,4.749298095703124e-14,4.7666347239101956e-14,2.415207126696959e-09,5.684259764280707e-09,1.5578405986015772e-11,1.5686401493302502e-09,1.2295318362271698e-07,2.179288437931777e-07,2.1074693692643864e-07,7.414904928645531e-08,2.0397725564152843e-07,7.527559725905138e-08
