source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,1,128457,404.42123114154725,3949.4260853666724,251.92584678141327,235.57577632982242,2460.213347474739,2300.544690720922,0,0,0,2.4602133474747387e-06,2.300544690720922e-06,128457.0,1.2250614166259764e-11,1.2251764191304899e-11,9.941264824197525e-10,7.856257056418076e-09,3.987846350737467e-15,1.0687905816008216e-09,1.974713042683336e-06,3.5000877369374276e-06,2.482728494619617e-06,2.0192693221027847e-06,3.1019752847144086e-06,6.934026372677099e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,2,16,4.51351666838205,44.07731121466846,155.99999999999997,0.5,1523.4374999999998,4.8828125,0,0,0,1.5234374999999998e-06,4.8828124999999996e-09,16.0,1.5258789062499997e-15,1.5259534886306119e-15,3.5908125745140625e-11,7.44688704325575e-11,3.641514531253473e-12,2.400881795411721e-11,2.203865560733423e-08,3.9062499999999997e-08,8.91768739201477e-08,5.573554620009218e-09,7.827743916934297e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,3,5925,86.85588237163813,848.2019762855286,461.50405063291134,26.19367088607595,4506.875494462025,255.79756724683543,0,0,0,4.506875494462025e-06,2.557975672468354e-07,5925.0,5.65052032470703e-13,5.65130561564359e-13,1.9030742698508646e-09,8.39136916582965e-09,1.875684729783521e-13,1.8127373577064812e-09,4.241009881427643e-07,7.516994296064771e-07,6.865711182189503e-07,2.879621760634177e-07,8.69490715641246e-07,2.655509737229894e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,4,4,2.256758334191025,22.03865560733423,133.99999999999997,12.999999999999998,1308.5937499999998,126.95312499999999,0,0,0,1.3085937499999998e-06,1.26953125e-07,4.0,3.814697265624999e-16,3.814729739834468e-16,1.4349260190662178e-12,1.4349260190662178e-12,1.4349260190662178e-12,0.0,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049774e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,5,6,2.763953195770684,26.991730427448086,221.5,16.0,2163.0859375,156.25,0,0,0,2.1630859375e-06,1.5624999999999999e-07,6.0,5.722045898437499e-16,5.724196806800491e-16,5.82407502530913e-12,5.904421220837694e-12,5.663382634252002e-12,1.136266794015757e-13,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722672e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,6,1,1.1283791670955126,11.019327803667116,134.49999999999997,16.5,1313.4765624999998,161.1328125,0,0,0,1.3134765624999998e-06,1.611328125e-07,1.0,9.536743164062498e-17,9.538918003846056e-17,1.5773929358456024e-11,1.5773929358456024e-11,1.5773929358456024e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,7,48,7.817640190446719,76.34414248483124,158.93749999999997,23.812499999999996,1552.1240234374998,232.54394531249997,0,0,0,1.5521240234374999e-06,2.3254394531249997e-07,48.0,4.577636718749999e-15,4.577909087710997e-15,6.782433783000583e-11,1.649441127484635e-10,4.759614179802998e-12,5.4320147999338076e-11,3.817207124241562e-08,6.765823467065926e-08,1.1055919049855015e-07,1.3935514769796917e-08,1.0300440769447044e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,8,14,4.222008245644752,41.23054927387454,182.49999999999997,22.999999999999996,1782.2265624999998,224.60937499999997,0,0,0,1.7822265624999998e-06,2.2460937499999998e-07,14.0,1.3351440429687497e-15,1.3354804641261136e-15,1.4306545804765987e-11,2.07058900380585e-11,4.897515041676872e-12,6.396769779762608e-12,2.0615274636937265e-08,3.653962291771427e-08,3.901488234006462e-08,1.114710924001846e-08,3.5547411568752617e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,9,2,1.5957691216057308,15.583682828180965,192.49999999999997,22.999999999999996,1879.8828124999998,224.60937499999997,0,0,0,1.8798828124999998e-06,2.2460937499999998e-07,2.0,1.9073486328124996e-16,1.907977367663428e-16,5.2875857744166455e-12,5.2875857744166455e-12,5.2875857744166455e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,10,6,2.763953195770684,26.991730427448086,200.49999999999997,22.999999999999996,1958.0078124999998,224.60937499999997,0,0,0,1.9580078125e-06,2.2460937499999998e-07,6.0,5.722045898437499e-16,5.723599132322985e-16,5.271638776982434e-12,9.429326836435263e-12,3.192794747256019e-12,2.9399294208974334e-12,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.7605230837226382e-08,9.755859375e-09
