source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,1,56538,268.30284638862224,2620.144984263889,247.39969577982947,179.1708585376207,2416.012654099897,1749.7154154064522,0,0,0,2.416012654099897e-06,1.7497154154064522e-06,56538.0,5.3918838500976554e-12,1.0125476401404161e-11,1.9871132768315606e-07,6.443251274912848e-07,4.753483684052553e-12,1.4188759505817197e-07,1.3100724921319446e-06,2.3220430336446515e-06,2.8148166670483314e-06,7.06705059570755e-07,3.0010277812112267e-06,4.790402807042096e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,2,7,2.985410660720923,29.154400983602766,196.49999999999997,1.2142857142857144,1918.9453124999998,11.858258928571429,0,0,0,1.9189453124999997e-06,1.1858258928571428e-08,7.0,6.675720214843749e-16,1.5745353831956887e-15,1.0960808988632884e-08,1.7996779944763008e-08,1.4847921779041696e-09,8.037111251115088e-09,1.4577200491801383e-08,2.583741514711514e-08,1.5433050861521587e-08,1.4438975288980882e-08,1.8557542726223145e-08,1.0374839927411348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,3,6493,90.92383826019122,887.9281080096798,319.07923918065603,25.676805790851684,3116.0081951235943,250.75005655128598,0,0,0,3.1160081951235945e-06,2.50750056551286e-07,6493.0,6.19220733642578e-13,7.799539722129039e-13,9.363434615694437e-08,2.7767181876614226e-07,4.42272036745926e-12,7.015975538725199e-08,4.439640540048399e-07,7.869057971845029e-07,6.816672025929772e-07,3.163882430088629e-07,8.15573569036637e-07,2.4027191381758937e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,4,1,1.1283791670955126,11.019327803667116,393.4999999999999,8.499999999999998,3842.773437499999,83.00781249999999,0,0,0,3.842773437499999e-06,8.300781249999999e-08,1.0,9.536743164062498e-17,1.0545252151735758e-16,5.611153462005183e-10,5.611153462005183e-10,5.611153462005183e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,5,1,1.1283791670955126,11.019327803667116,393.4999999999999,12.5,3842.773437499999,122.0703125,0,0,0,3.842773437499999e-06,1.220703125e-07,1.0,9.536743164062498e-17,1.2494026493036919e-16,3.1400955009787624e-10,3.1400955009787624e-10,3.1400955009787624e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,6,1,1.1283791670955126,11.019327803667116,395.49999999999994,14.5,3862.3046874999995,141.6015625,0,0,0,3.862304687499999e-06,1.416015625e-07,1.0,9.536743164062498e-17,1.0864632409520454e-16,3.6113632933686155e-10,3.6113632933686155e-10,3.6113632933686155e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,7,10490,115.56938532445285,1128.60727855911,450.68751191611045,92.63126787416587,4401.245233555766,904.6022253336511,0,0,0,4.401245233555767e-06,9.046022253336511e-07,10490.0,1.000404357910156e-12,1.5296704927820155e-12,1.0125181117792263e-07,3.1571257335835283e-07,1.0589557030125228e-14,7.448548366276354e-08,5.643036392795549e-07,1.0002021585210442e-06,8.814959439596075e-07,4.013329646049157e-07,9.260132619078152e-07,3.145482180049969e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,8,31,6.282549314314218,61.353020647599784,108.75806451612904,34.048387096774185,1062.0904737903227,332.50378024193543,0,0,0,1.0620904737903226e-06,3.325037802419354e-07,31.0,2.9563903808593743e-15,5.16815919977036e-15,9.126218890169862e-09,1.8758633528549666e-08,1.7055594827909696e-09,5.184666988127867e-09,3.067651032379989e-08,5.437269885576193e-08,5.978852059611116e-08,1.9524616525505118e-08,6.515229629643517e-08,1.1507240902298542e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,9,512,25.532305945691693,249.33892525089544,500.181640625,40.197265625,4884.586334228516,392.5514221191406,0,0,0,4.8845863342285155e-06,3.925514221191406e-07,512.0,4.882812499999999e-14,6.760152449503375e-14,3.446256062362261e-08,1.22160491824307e-07,2.9070021928369714e-10,2.5303866082155065e-08,1.246694626254477e-07,2.2097086912079609e-07,1.6977962160673487e-07,1.0424495764167629e-07,2.1169299710300916e-07,8.300680035333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,10,3,1.9544100476116797,19.08603562120781,431.4999999999999,78.49999999999999,4213.867187499999,766.6015624999999,0,0,0,4.213867187499999e-06,7.666015624999999e-07,3.0,2.8610229492187495e-16,6.626859071427928e-16,4.141722424642114e-09,7.373850505440358e-09,9.541142764023088e-10,2.6210353973067174e-09,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754119e-08,4.8779296875e-09
