source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,1,410.22751870972274,4006.1281123996364,2798.8223471357396,1696.7584290025497,286.59940834669976,173.7480631298611,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,2,1.1283791670955126,11.019327803667116,2329.1015625,571.2890624999999,238.5,58.499999999999986,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,3,1.1283791670955126,11.019327803667116,2338.8671875,581.0546874999999,239.5,59.499999999999986,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,4,5.641895835477563,55.09663901833557,2361.1328125,636.1328124999999,241.78,65.13999999999999,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,5,5.046265044040321,49.27993207070626,2311.0351562499995,778.8085937499999,236.64999999999995,79.74999999999999,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,6,1.5957691216057308,15.583682828180965,3564.4531249999995,1918.9453124999998,364.99999999999994,196.49999999999997,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,7,1.9544100476116797,19.08603562120781,3331.7057291666665,2013.3463541666665,341.16666666666663,206.16666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,8,1.9544100476116797,19.08603562120781,3647.4609374999995,2006.8359375,373.49999999999994,205.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,9,10.403141895720198,101.59318257539256,3677.217371323529,2084.386488970588,376.54705882352937,213.4411764705882,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,10,23.936536824085962,233.75524242271447,1655.6206597222222,2234.743923611111,169.53555555555556,228.83777777777775,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,11,18.847647942942654,184.05906194279936,4947.619147625448,2204.8786122311826,506.6362007168459,225.7795698924731,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,12,10.998079684646791,107.40312192037882,1418.0201480263156,2206.8770559210525,145.2052631578947,225.98421052631576,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,13,20.153496341094687,196.8114877060028,1205.2587431426332,2286.977738048589,123.41849529780563,234.1865203761755,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,14,2.256758334191025,22.03865560733423,3828.125,2167.9687499999995,392.0,221.99999999999994,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,15,3.9088200952233594,38.17207124241562,1248.3723958333333,2189.1276041666665,127.83333333333333,224.16666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,16,2.985410660720923,29.154400983602766,3833.0078124999995,2216.0993303571427,392.49999999999994,226.92857142857142,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,17,10.403141895720198,101.59318257539256,3625.287224264706,2290.268841911765,371.2294117647059,234.5235294117647,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,18,1.5957691216057308,15.583682828180965,1845.7031249999998,2250.9765624999995,188.99999999999997,230.49999999999994,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,19,6.770275002573076,66.11596682200269,1019.6940104166665,2373.5894097222217,104.41666666666666,243.05555555555551,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,20,2.763953195770684,26.991730427448086,1425.78125,2377.9296874999995,146.0,243.49999999999994,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,21,4.787307364817192,46.751048484542885,3632.8125,2407.2265624999995,372.0,246.49999999999994,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,22,12.716187407449045,124.18151765086958,1824.7493233267714,2509.1889148622045,186.8543307086614,256.9409448818897,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,23,3.742410318509555,36.54697576669488,2953.213778409091,2479.1370738636365,302.40909090909093,253.86363636363637,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,24,20.683531783305643,201.98761507134418,1522.1296037946427,2659.621465773809,155.86607142857142,272.3452380952381,0,0
