source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,1,113.15342178589562,1105.013884627887,204.1011740503182,1496.8151010590689,20.899960222752583,153.27386634844865,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,2,352.5620662447539,3442.988928171425,1794.1207686459666,2022.0406029929577,183.71796670934697,207.05695774647887,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,3,107.7291903351223,1052.0428743664286,4426.5949628017,1328.0130408324192,453.28332419089406,135.98853538123973,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,4,15.635280380893438,152.68828496966248,2667.032877604167,1397.1964518229165,273.1041666666667,143.07291666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,5,27.081100010292303,264.46386728801076,3770.7010904947915,1860.8771430121528,386.11979166666663,190.55381944444446,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,6,19.931149940667517,194.64013613933122,3909.693008814102,2220.991085737179,400.35256410256403,227.42948717948715,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,7,116.00923233885598,1132.9026595591404,4616.347674728003,3481.498898710974,472.7140018921475,356.50548722800374,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,8,5.641895835477563,55.09663901833557,4090.4296875,2418.9453124999995,418.86,247.69999999999996,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,9,213.33827777992192,2083.38161894455,3134.321136892939,3966.2791160199745,320.95448441783697,406.1469814804454,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,10,58.79494335362495,574.1693686877437,4390.687946017495,3473.801867518416,449.6064456721915,355.7173112338858,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,11,4.787307364817192,46.751048484542885,2035.5902777777776,4246.961805555556,208.44444444444443,434.8888888888889,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,12,41.962963317296,409.79456364546877,4844.466710728489,4805.164130287418,496.0733911785972,492.04880694143156,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,13,2.985410660720923,29.154400983602766,1479.4921874999998,4665.876116071428,151.49999999999997,477.7857142857143,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,14,1.1283791670955126,11.019327803667116,4858.398437499999,4682.6171875,497.4999999999999,479.5,0,0
