source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,1,2722,58.870689148073616,574.9090737116564,335.61719324026444,22.156135194709773,3277.5116527369573,216.36850776083762,0,0,0,3.2775116527369575e-06,2.163685077608376e-07,2722.0,2.595901489257812e-13,2.9800159433082286e-13,3.226961861608222e-07,4.0820631530697093e-07,2.689271961400724e-07,3.155136317652258e-08,2.874545368558282e-07,5.094999008103742e-07,3.709100792411835e-07,2.3877220424640243e-07,4.179537918519777e-07,2.0578772989998292e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,2,1252,39.926130666625134,389.90361979126106,402.56230031948877,23.89456869009584,3931.2724640575075,233.3453973642172,1,1,0,3.931272464057508e-06,2.3334539736421722e-07,1252.0,1.1940002441406248e-13,1.2472869763255067e-13,2.8688338158883186e-07,3.0429359661310024e-07,2.6887697023894877e-07,9.563457658340001e-09,1.9495180989563052e-07,3.455430861905104e-07,2.5453212403729583e-07,1.524798845785678e-07,2.6165701913372947e-07,1.464833780677954e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,3,309,19.83509564693766,193.7021059271256,444.67799352750797,4.283171521035598,4342.55853054207,41.82784688511326,0,0,0,4.3425585305420704e-06,4.182784688511326e-08,309.0,2.946853637695312e-14,3.33369650316526e-14,2.898705441277948e-07,3.185317771253639e-07,2.6933747511457614e-07,1.3287282326140614e-08,9.685105296356279e-08,1.7166402178952094e-07,1.8804573536700223e-07,5.151515082254759e-08,1.9556807408481428e-07,4.882734064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,4,1546,44.36697348434488,433.27122543305546,503.3486416558862,44.601552393272954,4915.514078670763,435.5620350905562,0,0,1,4.915514078670763e-06,4.3556203509055623e-07,1546.0,1.4743804931640622e-13,1.8933971817630548e-13,3.40309673557654e-07,4.6659963059175055e-07,2.6887145935152905e-07,4.363460700960406e-08,2.1663561271652773e-07,3.839766260026855e-07,4.972764835219646e-07,9.772297541085969e-08,4.52947932717489e-07,9.277242535333231e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,5,2772,59.40892204042984,580.1652543010727,165.52453102453103,158.64105339105336,1616.4504982864357,1549.2290370220055,0,0,0,1.6164504982864357e-06,1.5492290370220056e-06,2772.0,2.643585205078124e-13,2.8831918140380976e-13,3.062168384465911e-07,3.551533881830038e-07,2.6888059276928156e-07,2.3106264558033862e-08,2.9008262715053635e-07,5.141580695737571e-07,3.729277808331411e-07,2.2723170328481087e-07,3.8651838570565845e-07,2.309874225337686e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,6,323,20.279456919490165,198.04157147939614,116.72291021671826,191.29566563467492,1139.8721700851393,1868.1217347136221,0,0,0,1.1398721700851392e-06,1.868121734713622e-06,323.0,3.0803680419921867e-14,3.1242617254286495e-14,2.7296403531186483e-07,2.7851029860649353e-07,2.6887355539286863e-07,2.449011635927451e-09,9.902078573969807e-08,1.7550977300401783e-07,1.0571966025880886e-07,9.429016374760628e-08,1.1547095910309214e-07,8.528195841098019e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,7,2460,55.965786691946896,546.5408856635439,158.91463414634146,231.49227642276423,1551.9007240853657,2260.666761941057,1,1,0,1.5519007240853657e-06,2.260666761941057e-06,2460.0,2.3460388183593746e-13,2.4740414799617886e-13,2.9878898347960155e-07,3.272931695694438e-07,2.6886481941076376e-07,1.637462356174198e-08,2.7327044283177193e-07,4.843592487358299e-07,2.9658636389606226e-07,2.5224727315262417e-07,3.010811131764402e-07,2.4298297448708165e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,8,210,16.351767622932517,159.68523069270037,3.1,472.147619047619,30.2734375,4610.816592261905,0,0,0,3.02734375e-08,4.610816592261904e-06,210.0,2.0027160644531246e-14,2.0682440971445074e-14,2.7665543141430397e-07,2.8745452630602946e-07,2.688576574668598e-07,5.0648497293038446e-09,7.984261534635019e-08,1.4151735103700622e-07,1.7669694451005817e-07,3.805645836979782e-08,1.9049272720198821e-07,3.906196116286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,9,1481,43.424276226009525,424.0651975196243,45.26367319378797,498.8801485482782,442.0280585330857,4871.876450666779,0,0,1,4.420280585330857e-07,4.871876450666779e-06,1481.0,1.4123916625976558e-13,1.5913074730263955e-13,3.1901706436865907e-07,3.796271209223388e-07,2.689018254655093e-07,2.9379585877972817e-08,2.120325987598121e-07,3.758179961893331e-07,2.9009669920746074e-07,1.6162829819773989e-07,3.131110765056095e-07,1.5497277493455752e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,10,33,6.4820448144285745,63.301218890904046,3.6818181818181817,509.98484848484844,35.95525568181818,4980.320785984848,0,0,0,3.595525568181818e-08,4.9803207859848485e-06,33.0,3.1471252441406244e-15,4.2247585744851696e-15,2.8738137065795303e-07,3.093382135913129e-07,2.702457718669447e-07,1.1155772272916453e-08,3.165060944545202e-08,5.609924459509793e-08,5.1027404616171286e-08,2.2073307798109526e-08,5.6946859045321985e-08,2.0516762849100162e-08
