source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,1,44,7.48482063701911,73.09395153338976,5.840909090909091,1.7272727272727273,57.040127840909086,16.867897727272727,0,0,0,5.704012784090909e-08,1.6867897727272725e-08,44.0,4.196166992187499e-15,3.2690469731700216e-14,1.4672547155171395e-06,1.6050366249538685e-06,1.3363735280422463e-06,8.164050904739467e-08,3.654697576669487e-08,6.47778279366289e-08,7.050111062232706e-08,1.9814117960257217e-08,7.110361497405629e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,2,3117,62.99752106979688,615.2101666972352,422.01620147577796,19.23692653192172,4121.251967536894,187.86061066329805,0,0,0,4.121251967536894e-06,1.8786061066329803e-07,3117.0,2.9726028442382804e-13,7.169344472469452e-13,1.5445660779508644e-06,1.7562304903778342e-06,1.3319649538274194e-06,9.536583383402718e-08,3.076050833486176e-07,5.452158145393694e-07,4.344771294508894e-07,2.225998376415186e-07,4.710095054967643e-07,2.0507711285333224e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,3,218,16.66031874701878,162.69842526385528,11.13302752293578,12.839449541284404,108.72097190366972,125.38524942660551,0,0,0,1.0872097190366972e-07,1.253852494266055e-07,218.0,2.0790100097656247e-14,1.9220503401435953e-13,1.5695506145086223e-06,1.7299801854211447e-06,1.3326582209299958e-06,1.1689317204328391e-07,8.134921263192764e-08,1.441877251975918e-07,1.331891492209643e-07,5.175420048433076e-08,1.4068525670577442e-07,4.882734064216952e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,4,7259,96.13764015843402,938.8441421722073,291.4043945447031,55.936285989805754,2845.746040475616,546.2527928691968,0,0,0,2.845746040475616e-06,5.462527928691969e-07,7259.0,6.922721862792967e-13,3.6217159505875803e-12,1.5611160258500755e-06,1.966839888554484e-06,1.33184734461178e-06,1.579624303912281e-07,4.694220710861036e-07,8.320289575966072e-07,9.806875148805956e-07,2.3486528304837596e-07,1.014517754787382e-06,2.402569228523583e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,5,265,18.36868202552426,179.38166040551036,8.137735849056602,31.84339622641509,79.47007665094338,310.97066627358487,0,0,0,7.947007665094338e-08,3.109706662735849e-07,265.0,2.527236938476562e-14,1.9918773122049242e-13,1.5658393729534616e-06,1.8203479631727492e-06,1.3322563244364461e-06,1.37201853639894e-07,8.969083020275517e-08,1.589728573837862e-07,1.0400787878495121e-07,8.087557672197977e-08,1.2658229301813155e-07,7.0528982597712e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,6,112,11.941642642883693,116.61760393441106,6.4642857142857135,49.46428571428571,63.12779017857142,483.0496651785714,0,0,0,6.312779017857142e-08,4.830496651785714e-07,112.0,1.0681152343749998e-14,1.1983516311278723e-13,1.5113428805218339e-06,1.6968092972031343e-06,1.334309422235545e-06,1.0460237838217125e-07,5.830880196720553e-08,1.0334966058846056e-07,7.571858534478712e-08,4.6371367579445253e-08,8.319370440377069e-08,4.31336764280619e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,7,144,13.540550005146152,132.23193364400538,5.4930555555555545,82.91666666666666,53.643120659722214,809.7330729166666,0,0,0,5.3643120659722217e-08,8.097330729166666e-07,144.0,1.3732910156249997e-14,7.52544721747177e-14,1.3911172482919574e-06,1.4714337355475504e-06,1.3321848403985572e-06,3.4878322124058344e-08,6.611596682200269e-08,1.1718749999999999e-07,8.515701431545037e-08,5.484566048079901e-08,1.0041022179676607e-07,4.882714977848124e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,8,1195,39.00668219624068,380.9246308226629,492.2949790794978,92.45983263598326,4807.568155073221,902.928053085774,0,0,1,4.807568155073221e-06,9.029280530857739e-07,1195.0,1.1396408081054685e-13,1.0566263656992792e-12,1.8896528019774564e-06,2.63801499509643e-06,1.3328007702229452e-06,4.1288150127696566e-07,1.904623154113314e-07,3.375856644031954e-07,2.847471786630658e-07,1.5556952980582468e-07,3.245510902229422e-07,1.002080345025736e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,9,45,7.569397566060481,73.91989810605938,51.56666666666667,87.63333333333334,503.5807291666667,855.7942708333334,0,0,0,5.035807291666667e-07,8.557942708333333e-07,45.0,4.291534423828124e-15,6.111577249627699e-15,1.3386955628791732e-06,1.3453287882635087e-06,1.3331481969320519e-06,4.469568691425948e-09,3.695994905302969e-08,6.550980402831414e-08,7.170832630408225e-08,2.0181074489116903e-08,7.389101947309781e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,10,138,13.255453865237978,129.44779165271464,22.449275362318836,93.58695652173913,219.23120471014488,913.9351222826086,0,0,0,2.192312047101449e-07,9.139351222826086e-07,138.0,1.3160705566406246e-14,1.0131470132367232e-13,1.4241919295686252e-06,1.7844636189988144e-06,1.3327370750281296e-06,1.3484245737122947e-07,6.47238958263573e-08,1.1472011840303446e-07,2.4643922296987026e-07,2.2333681859367028e-08,2.2167233594473298e-07,2.4413278142169508e-08
