source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,1,1517,43.948883823861124,429.1883185923938,13.426170072511534,25.328609096901776,131.11494211437045,247.3496982119314,0,0,1,1.3111494211437046e-07,2.473496982119314e-07,1517.0,1.446723937988281e-13,2.1011713570686909e-13,6.494432891721553e-07,8.865273642157745e-07,5.192930456631348e-07,8.646269288416387e-08,2.1459415929619688e-07,3.8035824402637585e-07,3.2897749716988463e-07,1.4856733468356057e-07,3.7611207253563033e-07,1.4192888738423168e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,2,53,8.214724333230155,80.22191731670073,321.08490566037733,2.1415094339622645,3135.594781839622,20.913178066037737,0,0,0,3.135594781839622e-06,2.0913178066037736e-08,53.0,5.054473876953124e-15,6.1809808899098596e-15,5.32807795324961e-07,5.467442805152279e-07,5.196308881880606e-07,7.8989487153067e-09,4.011095865835037e-08,7.109482313750505e-08,6.424209633049877e-08,2.6090774362050233e-08,6.85351628515248e-08,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,3,1,1.1283791670955126,11.019327803667116,333.5,0.5,3256.8359375,4.8828125,0,0,0,3.2568359375e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.137601879730111e-16,5.232611767848596e-07,5.232611767848596e-07,5.232611767848596e-07,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,4,2600,57.53627391751592,561.8776749757415,373.0330769230769,17.05,3642.901141826923,166.50390625,0,0,0,3.642901141826923e-06,1.6650390625e-07,2600.0,2.4795532226562495e-13,3.68897652923964e-13,6.336102057218878e-07,7.977078664048444e-07,5.193001824290862e-07,7.081972897452679e-08,2.809388374878707e-07,4.979511243742954e-07,4.011714197199228e-07,2.062526534958118e-07,4.233239449384319e-07,1.8193827786409727e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,5,90,10.704744696916627,104.53852243082643,66.17777777777778,299.0666666666666,646.2673611111111,2920.572916666666,0,0,0,6.462673611111111e-07,2.9205729166666662e-06,90.0,8.583068847656248e-15,2.679829157068399e-14,5.594499877425876e-07,6.110091495043178e-07,5.210674225285948e-07,2.4176144202208083e-08,5.2269261215413214e-08,9.264485332524547e-08,8.41253278609843e-08,3.4119881461465656e-08,8.34545081624313e-08,3.154685743109392e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,6,8637,104.86643861540068,1024.0863146035224,79.83298599050596,461.91368530739834,779.6190038135347,4510.875833080062,0,0,0,7.796190038135347e-07,4.510875833080062e-06,8637.0,8.236885070800779e-13,3.369627575081089e-12,6.850957180790997e-07,1.0644267552926908e-06,5.193043166961314e-07,1.0347950366692782e-07,5.120431573017611e-07,9.075728659893253e-07,6.396915664547946e-07,4.4992113447510065e-07,8.692572781057136e-07,2.823797408580557e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,7,8,3.1915382432114616,31.16736565636193,82.99999999999999,386.99999999999994,810.5468749999999,3779.2968749999995,0,0,0,8.105468749999999e-07,3.7792968749999997e-06,8.0,7.629394531249998e-16,1.4479159658563915e-15,5.276456138491639e-07,5.294893592442073e-07,5.238822424693632e-07,2.289515023410305e-09,1.5583682828180962e-08,2.762135864009951e-08,2.2294218480036925e-08,1.1147109240018461e-08,2.183660134277182e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,8,1,1.1283791670955126,11.019327803667116,64.5,397.49999999999994,629.8828125,3881.8359374999995,0,0,0,6.298828125e-07,3.881835937499999e-06,1.0,9.536743164062498e-17,1.4971212636099158e-16,5.202933241045739e-07,5.202933241045739e-07,5.202933241045739e-07,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,9,3,1.9544100476116797,19.08603562120781,112.5,414.49999999999994,1098.6328125,4047.8515624999995,0,0,0,1.0986328125e-06,4.047851562499999e-06,3.0,2.8610229492187495e-16,4.696032356583854e-15,5.289673779155477e-07,5.324137733818888e-07,5.220745869828657e-07,4.873939209800648e-09,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887541157e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,10,5,2.5231325220201604,24.63996603535313,117.29999999999998,417.1,1145.5078124999998,4073.2421875,0,0,0,1.1455078124999998e-06,4.0732421875e-06,5.0,4.768371582031249e-16,2.116044718022262e-15,5.247636714890597e-07,5.256251641119354e-07,5.213177009975571e-07,1.72298524575133e-09,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.760585040145425e-08,9.76199246787011e-09
