source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,1,141,13.398760233979036,130.84726790995154,104.07446808510637,3.131205673758865,1016.352227393617,30.578180407801415,0,0,0,1.016352227393617e-06,3.0578180407801414e-08,141.0,1.3446807861328122e-14,1.5960949217847345e-14,2.0309123285771824e-07,2.2211371480756343e-07,1.8614696548409967e-07,1.023590299305977e-08,6.542363395497575e-08,1.1596037194372964e-07,1.1635748516445372e-07,3.8609296979030525e-08,1.270481137550097e-07,3.41789031421695e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,2,898,33.813741454801715,330.212318894548,351.9866369710467,34.76057906458797,3437.369501670378,339.4587799276169,0,0,0,3.4373695016703784e-06,3.3945877992761687e-07,898.0,8.563995361328123e-14,8.859498437062758e-14,1.9496139759937754e-07,2.103691027924193e-07,1.8613063433305405e-07,5.793545474238663e-09,1.65106159447274e-07,2.9264304812054094e-07,3.588754409555051e-07,8.731784560549831e-08,3.260427599796229e-07,9.12949361951877e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,3,702,29.896724911001275,291.9602042089968,203.27920227920225,23.03276353276353,1985.1484597578344,224.92933137464382,0,0,0,1.9851484597578344e-06,2.2492933137464384e-07,702.0,6.694793701171873e-14,7.320385836980718e-14,2.0664253874677476e-07,2.3322084047625764e-07,1.8614175632818965e-07,1.3452852546236634e-08,1.4598010210449842e-07,2.587429941306986e-07,1.6837261342329552e-07,1.2766848069039575e-07,1.7790290638223207e-07,1.2280475865286622e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,4,2,1.5957691216057308,15.583682828180965,0.5,23.999999999999996,4.8828125,234.37499999999997,0,0,0,4.8828124999999996e-09,2.3437499999999998e-07,2.0,1.9073486328124996e-16,2.7714263246247825e-16,1.8690829554879898e-07,1.869711232200772e-07,1.8684546787752076e-07,6.282767127821619e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,5,282,18.948708441878455,185.0459808777193,2.131205673758865,73.16312056737587,20.812555407801415,714.48359929078,0,0,0,2.0812555407801415e-08,7.144835992907801e-07,282.0,2.6893615722656245e-14,5.1369242801115535e-14,2.1997422099207282e-07,2.6812260955964333e-07,1.864325837644725e-07,2.212991819092255e-08,9.252299043885965e-08,1.6399273070065102e-07,3.5810221140084403e-07,2.6992888290383918e-08,3.9553877463976177e-07,2.9296090642169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,6,973,35.197472594311556,343.72531830382377,498.23792394655703,126.95529290853034,4865.604726040596,1239.7977823098665,0,0,0,4.865604726040596e-06,1.2397977823098664e-06,973.0,9.27925109863281e-14,1.0238306933625682e-13,2.0735456433603803e-07,2.3377340236275638e-07,1.8614538649715138e-07,1.2540819808328107e-08,1.718626591519119e-07,3.046186320406684e-07,2.536198427836768e-07,1.206414483338737e-07,2.841305252098595e-07,1.123046371868586e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,7,84,10.341765891652821,100.99380753567209,502.6071428571427,168.047619047619,4908.272879464284,1641.0900297619044,0,0,0,4.908272879464285e-06,1.6410900297619044e-06,84.0,8.010864257812498e-15,8.434641454065282e-15,1.9166832907156674e-07,1.9764898852766654e-07,1.8628387851768894e-07,3.3526960243816513e-09,5.049690376783604e-08,8.950343154210624e-08,5.227439404610347e-08,4.9118344963931105e-08,5.7152523433525226e-08,4.2428832990807574e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,8,57,8.51907589177983,83.19410050566239,133.6578947368421,178.9035087719298,1305.2528782894738,1747.1045778508771,0,0,0,1.3052528782894737e-06,1.7471045778508772e-06,57.0,5.435943603515624e-15,5.589292679062024e-15,1.888884746934884e-07,1.9225144603185503e-07,1.8615640492300757e-07,1.8242585825675084e-09,4.159705025283119e-08,7.372885190694091e-08,4.580192223454377e-08,3.8330935260231534e-08,5.097867183117377e-08,3.4384201503403585e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,9,29,6.076507779746499,59.340896286586904,122.91379310344826,180.22413793103445,1200.3300107758619,1760.0013469827584,0,0,0,1.2003300107758618e-06,1.7600013469827584e-06,29.0,2.7656555175781245e-15,2.8038081983959472e-15,1.8728998132005274e-07,1.8886638499049773e-07,1.8609185593420023e-07,9.461766747045554e-10,2.9670448143293448e-08,5.258950006967289e-08,3.09758647935238e-08,2.8783081778264297e-08,3.522453862788576e-08,2.4485977180533493e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,10,8716,105.34493757135023,1028.759155970217,299.058398347866,272.29027076640654,2920.4921713658787,2659.084675453189,0,0,0,2.9204921713658787e-06,2.659084675453189e-06,8716.0,8.312225341796873e-13,1.212667587442205e-12,2.767222583997313e-07,4.2917629502209855e-07,1.8611262653836103e-07,6.683844881185169e-08,5.143795779851086e-07,9.117140638268598e-07,6.243998781589809e-07,4.410119208118227e-07,6.712071972522561e-07,3.291497193170249e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,11,3,1.9544100476116797,19.08603562120781,320.16666666666663,234.16666666666666,3126.6276041666665,2286.7838541666665,0,0,0,3.1266276041666665e-06,2.2867838541666664e-06,3.0,2.8610229492187495e-16,6.366026727701143e-16,1.869634568282024e-07,1.872598539398972e-07,1.8637066260481272e-07,4.1916881520704347e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940834e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,12,122,12.463355264843006,121.71245375823248,5.049180327868853,331.639344262295,49.30840163934426,3238.665471311475,0,0,0,4.930840163934426e-08,3.238665471311475e-06,122.0,1.1634826660156247e-14,1.2935461066306073e-14,1.9854206710969173e-07,2.1638274524460367e-07,1.86346951473007e-07,8.131162502701917e-09,6.085622687911624e-08,1.0786485368346933e-07,6.938966601250457e-08,5.4751376941296814e-08,8.008444385166754e-08,5.047759251742056e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,13,71,9.507891862878783,92.85050647342561,164.45774647887325,335.7676056338028,1606.0326804577464,3278.9805237676055,0,0,0,1.6060326804577465e-06,3.2789805237676054e-06,71.0,6.771087646484373e-15,6.861738676270525e-15,1.883489102278862e-07,1.9041315176102582e-07,1.861774109373694e-07,1.296890249685477e-09,4.64252532367128e-08,8.228661887867536e-08,5.0356935344144154e-08,4.3359427153398545e-08,5.321348764051872e-08,3.684390289886868e-08
