source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,1,10061,113.18154911283231,1105.288565555003,14.252609084584037,166.53826657389922,139.185635591641,1626.3502595107345,0,0,0,1.3918563559164099e-07,1.6263502595107345e-06,10061.0,9.59491729736328e-13,1.609332450683135e-12,4.765541782065499e-07,7.640308155082696e-07,2.6382054297742715e-07,1.3507777677371554e-07,5.526442827775014e-07,9.795364871898993e-07,1.8994703177490496e-06,1.6487566091033859e-07,1.8609093680234447e-06,1.5624898785333232e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,2,234,17.26088217525478,168.56330249272244,302.1752136752136,160.25213675213672,2950.9298210470083,1564.9622729700852,0,0,0,2.9509298210470083e-06,1.5649622729700852e-06,234.0,2.2315979003906245e-14,2.87180096286079e-14,2.766374490882945e-07,2.9119386159766346e-07,2.6428096035972904e-07,7.571417466749978e-09,8.42816512463612e-08,1.493853373122886e-07,1.6193556015379187e-07,4.6338454022202745e-08,1.7695687073309695e-07,4.882808841205564e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,3,319,20.153496341094687,196.8114877060028,244.72257053291537,239.23667711598742,2389.8688528605016,2336.2956749608147,0,0,0,2.3898688528605015e-06,2.3362956749608146e-06,319.0,3.042221069335937e-14,5.6573549064514323e-14,3.0276018855533024e-07,3.5968315403090914e-07,2.6442487072509855e-07,2.5715995223283326e-08,9.840574385300139e-08,1.7441963964347413e-07,1.4304114180697408e-07,6.925910540431425e-08,1.6408773577980923e-07,7.024566921133425e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,4,589,27.384997568906428,267.43161688385186,317.86842105263156,276.79202037351445,3104.183799342105,2703.047073960102,0,0,0,3.104183799342105e-06,2.703047073960102e-06,589.0,5.617141723632811e-14,7.212622778898363e-14,2.9715466809042964e-07,3.325129551352839e-07,2.6393558253522263e-07,2.021737587212906e-08,1.3371580844192588e-07,2.3700509959983584e-07,1.782936843314195e-07,1.0103393280736998e-07,1.8612578685866755e-07,9.624278659140919e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,5,153,13.957279475043833,136.30155737347494,219.46732026143792,263.68300653594764,2143.2355494281046,2575.0293607026138,0,0,0,2.1432355494281046e-06,2.575029360702614e-06,153.0,1.4591217041015623e-14,2.869367227122248e-14,2.929936826648079e-07,3.3428635640519947e-07,2.641765462685953e-07,1.783895641811422e-08,6.815077868673747e-08,1.2079411012551738e-07,1.1979990006349807e-07,3.991935766269073e-08,1.2449589448848532e-07,3.816134124608544e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,6,6,2.763953195770684,26.991730427448086,173.66666666666666,311.49999999999994,1695.9635416666665,3041.9921874999995,0,0,0,1.6959635416666665e-06,3.0419921874999997e-06,6.0,5.722045898437499e-16,2.118119165198607e-15,2.745516721555786e-07,2.7855209079878704e-07,2.7255146283397434e-07,2.8287231501977908e-09,1.3495865213724042e-08,2.392079826936697e-08,1.8829080516634477e-08,1.040816587017796e-08,2.0716704133697376e-08,9.761992467870112e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,7,3,1.9544100476116797,19.08603562120781,170.5,318.5,1665.0390625,3110.3515625,0,0,0,1.6650390625e-06,3.1103515625e-06,3.0,2.8610229492187495e-16,1.5163726889241984e-15,2.771914457380663e-07,2.796647039409007e-07,2.722449293323976e-07,3.497715293698865e-09,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754102e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,8,814,32.19343084255579,314.3889730718339,243.74447174447175,364.49754299754295,2380.317106879607,3559.5463183353804,0,0,0,2.3803171068796068e-06,3.5595463183353806e-06,814.0,7.762908935546874e-14,1.1382980851309602e-13,3.078258487605852e-07,3.7180600032500346e-07,2.6407518397084335e-07,3.04519624084721e-08,1.5719448653591694e-07,2.7861997300170126e-07,2.462648097121928e-07,1.0462855050975765e-07,2.539660072690192e-07,1.0732243169853825e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,9,411,22.875783109789968,223.39631943154265,5.572992700729926,400.6094890510949,54.42375684306568,3912.2020415145985,0,0,0,5.442375684306568e-08,3.9122020415145984e-06,411.0,3.9196014404296866e-14,6.009078013442331e-14,3.0626891485315766e-07,3.682104282741816e-07,2.6402792819472066e-07,2.8578840244215963e-08,1.1169815971577132e-07,1.9797983332727824e-07,1.9874090146182897e-07,6.709541248701102e-08,2.192977413457829e-07,6.088511960421625e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,10,258,18.12445316531431,176.99661294252257,290.02713178294573,387.3333333333333,2832.296208817829,3782.552083333333,0,0,0,2.832296208817829e-06,3.782552083333333e-06,258.0,2.4604797363281243e-14,1.844164774198634e-13,3.7315768856511134e-07,4.990911026704693e-07,2.6458267189129196e-07,6.79914968282651e-08,8.849830647126129e-08,1.568591641036036e-07,3.4717260928965143e-07,2.3533632327118608e-08,3.2245108693041085e-07,2.4413278142169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,11,259,18.159544104586082,177.33929789634846,197.62355212355212,424.7702702702702,1929.9175012065637,4148.147170608107,0,0,0,1.9299175012065636e-06,4.148147170608108e-06,259.0,2.470016479492187e-14,3.1176329890009235e-14,2.813150659688518e-07,3.052879072703896e-07,2.639976205851475e-07,1.1880405222561774e-08,8.866964894817423e-08,1.5716286073663164e-07,1.1386603654564819e-07,7.037158722284894e-08,1.273284416295334e-07,6.620348044583949e-08
