source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,1,592,27.45465007031079,268.1118170928788,4.611486486486487,33.513513513513516,45.0340477195946,327.2804054054054,0,0,0,4.5034047719594594e-08,3.272804054054054e-07,592.0,5.645751953124999e-14,1.0343342641883334e-13,3.4756297425449e-07,4.707332042211974e-07,2.80745071011496e-07,4.613221933933643e-08,1.340559085464394e-07,2.3760791133977418e-07,3.4348746130901987e-07,5.537617452447441e-08,3.3864674744223107e-07,5.8593320624318204e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,2,289,19.182445840623714,187.32857266234095,92.89100346020761,9.749134948096886,907.13870566609,95.20639597750865,0,0,0,9.0713870566609e-07,9.520639597750865e-08,289.0,2.756118774414062e-14,3.140574556859863e-14,2.9844757122452933e-07,3.1567755393330357e-07,2.8078718889554616e-07,1.0290541690868962e-08,9.366428633117047e-08,1.6601562499999999e-07,1.184467557882966e-07,7.585888914721951e-08,1.3148448657706714e-07,7.332041718391853e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,3,2900,60.76507779746498,593.408962865869,341.2506896551724,31.29655172413793,3332.526266163793,305.6303879310345,0,0,0,3.332526266163793e-06,3.0563038793103447e-07,2900.0,2.7656555175781243e-13,3.4334181862381085e-13,3.404595632450458e-07,4.2696563147184367e-07,2.808249294024506e-07,3.515389952824486e-08,2.967044814329345e-07,5.258950006967288e-07,4.4305802824245094e-07,2.1430430135511064e-07,4.7042796722459777e-07,1.970114356237179e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,4,242,17.55346033766304,171.42051110999063,105.97933884297518,31.35537190082644,1034.9544808884295,306.2048037190082,0,0,0,1.0349544808884297e-06,3.0620480371900824e-07,242.0,2.3078918457031245e-14,3.001603555034228e-14,3.0381531214783045e-07,3.243571708301857e-07,2.8101630633429305e-07,1.2911026267902723e-08,8.57102555549953e-08,1.5191747252054732e-07,1.0152974194456201e-07,7.295750826667357e-08,1.0552678003051772e-07,6.901884655190197e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,5,36,6.770275002573076,66.11596682200269,87.58333333333331,34.44444444444444,855.3059895833331,336.37152777777777,0,0,0,8.553059895833332e-07,3.3637152777777775e-07,36.0,3.433227539062499e-15,3.8148699067010874e-15,2.8552905885273926e-07,2.8958059416086173e-07,2.811049447040533e-07,2.4564180137573084e-09,3.3057983411001345e-08,5.8593749999999995e-08,4.697278361897271e-08,2.385935098747693e-08,4.9795503817258914e-08,2.4413571498356376e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,6,560,26.702324712498182,260.7648897704901,292.44285714285706,69.43571428571427,2855.8872767857138,678.0831473214284,0,0,0,2.8558872767857137e-06,6.780831473214284e-07,560.0,5.3405761718749986e-14,5.599343751177818e-14,2.9215866837117246e-07,3.051758907829394e-07,2.807187961889797e-07,6.539998800431627e-09,1.3038244488524502e-07,2.310968665273287e-07,1.7586645053430768e-07,9.691938007520744e-08,1.7646505021034997e-07,9.29189196950688e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,7,6401,90.27738546197368,881.6150924020867,117.93743165130448,129.72449617247304,1151.7327309697703,1266.840782934307,0,0,0,1.1517327309697702e-06,1.266840782934307e-06,6401.0,6.104469299316404e-13,7.590259176407484e-13,3.661495872044073e-07,4.949663093258822e-07,2.8069022285712595e-07,5.658745511827653e-08,4.4080754620104336e-07,7.813110327722504e-07,6.343214651127331e-07,3.096397590560282e-07,6.184039385616314e-07,3.046873647805109e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,8,969,35.1250497344612,343.0180638130977,203.91486068111453,145.14602683178532,1991.356061339009,1417.4416682791536,0,0,0,1.991356061339009e-06,1.4174416682791536e-06,969.0,9.24110412597656e-14,1.0262224649858725e-13,3.079697809479812e-07,3.3828175865051263e-07,2.8074956034500003e-07,1.61702283709164e-08,1.715090319065488e-07,3.0399184406783943e-07,1.8907636626519148e-07,1.5597388415612164e-07,1.9918095558444472e-07,1.5287139924340692e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,9,240,17.480774889473267,170.71069228001238,160.09583333333333,164.16666666666666,1563.4358723958333,1603.1901041666665,0,0,0,1.5634358723958331e-06,1.6031901041666665e-06,240.0,2.2888183593749994e-14,2.310348825079247e-14,2.8335429078208305e-07,2.872976044288986e-07,2.807316815952224e-07,1.6522900044909262e-09,8.535534614000618e-08,1.512884119612272e-07,1.2884438721442267e-07,5.7950001848528546e-08,1.3711510028077711e-07,5.674115511791652e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,10,11,3.742410318509555,36.54697576669488,206.5909090909091,207.1363636363636,2017.489346590909,2022.8160511363633,0,0,0,2.017489346590909e-06,2.0228160511363632e-06,11.0,1.0490417480468747e-15,1.0511265726237831e-15,2.808904400074684e-07,2.815160669819461e-07,2.8072150794086615e-07,2.477614412350084e-10,1.8273487883347434e-08,3.238891396831445e-08,2.1679314549151325e-08,1.5800626548756714e-08,2.4415073744643777e-08,1.4648308536272938e-08
