source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,1,107.0058093086694,1044.9786065299745,3620.633431036639,346.96854063577223,370.7528633381518,35.52957856110308,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,2,1.9544100476116797,19.08603562120781,2071.940104166666,1759.4401041666665,212.1666666666666,180.16666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,3,38.7446696107059,378.36591416704977,2122.6815958969464,2279.6356485899064,217.3625954198473,233.4346904156064,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,4,6.770275002573076,66.11596682200269,2210.828993055555,2583.821614583333,226.38888888888886,264.5833333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,5,2.763953195770684,26.991730427448086,2154.947916666666,2633.4635416666665,220.6666666666666,269.66666666666663,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,6,9.965574970333758,97.32006806966561,1995.1923076923076,2777.8195112179483,204.3076923076923,284.4487179487179,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,7,6.955796338302048,67.92769861623094,1723.6328124999998,2782.175164473684,176.49999999999997,284.89473684210526,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,8,32.390575556198044,316.3142144159965,2422.6334951456306,3082.3702025182033,248.07766990291256,315.634708737864,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,9,47.873073648171925,467.51048484542895,2276.676432291666,3671.4789496527774,233.1316666666666,375.9594444444444,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,10,13.86575534383214,135.40776702961074,3436.432895281457,4979.1429532284765,351.8907284768212,509.864238410596,0,0
