source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,1,16.42944866646031,160.44383463340145,46.524911556603776,98.30114976415094,4.764150943396227,10.066037735849056,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,2,16.812470934731934,164.18428647199156,1717.9581925675673,201.51499155405406,175.91891891891888,20.635135135135137,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,3,9.440697438826296,92.19431092603806,4984.235491071428,1046.0379464285713,510.3857142857143,107.1142857142857,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,4,26.196872229566885,255.8288303668641,4967.867651321892,1937.6068964517624,508.7096474953617,198.41094619666046,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,5,70.90855351901601,692.4663429591408,2184.523821299696,1923.3397201031905,223.69523930108886,196.9499873385667,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,6,34.15095054280933,333.5053763946224,585.9375,2831.551497680131,60.0,289.9508733624454,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,7,92.81561700316446,906.402509796528,3478.523996360478,3813.141708080845,356.20085722731295,390.4657109074785,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,8,19.899183360445615,194.32796250435172,2070.4852039790994,4394.860957596463,212.01768488745978,450.0337620578778,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,9,11.396070970426017,111.28975557056657,4974.532781862745,4425.647212009803,509.3921568627451,453.18627450980387,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,10,3.9088200952233594,38.17207124241562,1877.4414062499998,4366.048177083333,192.24999999999997,447.0833333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,11,1.9544100476116797,19.08603562120781,2097.9817708333335,4519.856770833332,214.83333333333334,462.8333333333332,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,12,2.763953195770684,26.991730427448086,4991.861979166666,4892.578125,511.16666666666663,501.0,0,0
