source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,1,383,22.082815618339236,215.6524962728441,7.08485639686684,13.56266318537859,69.18805075065274,132.44788266971278,0,0,0,6.918805075065274e-08,1.3244788266971279e-07,383.0,3.652572631835937e-14,4.1475258260707913e-14,3.020443783189434e-08,6.928141218858214e-08,6.631748009861955e-09,1.4407870212589604e-08,1.0782624813642204e-07,1.9111704873809497e-07,1.479452324352776e-07,8.157273988478803e-08,1.5076588062108043e-07,7.12918850781935e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,2,1021,36.05520177692258,352.1015798527596,61.26787463271301,26.463761018609205,598.319088210088,258.4351661973555,1,1,0,5.98319088210088e-07,2.584351661973555e-07,1021.0,9.737014770507811e-14,1.1836220982096003e-13,3.006333390253012e-08,6.588916243026242e-08,6.602394850631888e-09,1.3247177829338991e-08,1.7605078992637976e-07,3.120419005599698e-07,2.5125482097592547e-07,1.282415016709155e-07,2.60481894554875e-07,1.1170034887446087e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,3,38252,220.68973484330766,2155.173191829176,218.80322597511238,234.881313395378,2136.750253663207,2293.762826126738,0,0,0,2.1367502536632068e-06,2.293762826126738e-06,38252.0,3.647994995117187e-12,4.631387502972328e-12,1.079233707954536e-07,2.986489131495315e-07,6.420138603932946e-09,6.58408466276757e-08,1.077586595914588e-06,1.9099725116129777e-06,2.2685252406901e-06,6.03934708428669e-07,2.3328263186362495e-06,4.784818895498295e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,4,19,4.918490759365935,48.03213632193296,224.02631578947367,0.8157894736842105,2187.7569901315787,7.966694078947368,0,0,0,2.1877569901315786e-06,7.966694078947368e-09,19.0,1.8119812011718747e-15,2.98940150131509e-15,1.4687594232600444e-08,2.5281880789638044e-08,6.451567418184662e-09,5.629424838870556e-09,2.401606816096648e-08,4.2567372495514386e-08,6.485610060169825e-08,9.953470714689614e-09,6.36646756105889e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,5,122,12.463355264843006,121.71245375823248,259.10655737704917,2.5081967213114753,2530.337474385246,24.494108606557376,0,0,0,2.5303374743852458e-06,2.4494108606557374e-08,122.0,1.1634826660156247e-14,1.3080198477403862e-14,1.9079784226528165e-08,3.4675899374383054e-08,6.55929659219544e-09,8.029316774401158e-09,6.085622687911624e-08,1.0786485368346933e-07,1.2489227649963027e-07,3.118092045170898e-08,1.368062539070337e-07,2.929609064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,6,21600,165.83719174624105,1619.5038256468852,382.62736111111104,72.12203703703703,3736.595323350694,704.3167679398148,0,0,0,3.736595323350694e-06,7.043167679398147e-07,21600.0,2.0599365234374997e-12,2.8865100471636344e-12,2.0676014422144933e-07,6.992788761309475e-07,6.438890540996091e-09,1.7891322237003002e-07,8.097519128234425e-07,1.4352478961620183e-06,8.644825637923336e-07,8.152436681175662e-07,1.1079036146803235e-06,5.007547960187801e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,7,13670,131.9287102056625,1288.366310602173,52.35742501828822,163.03825896122893,511.3029786942209,1592.1704976682513,0,0,0,5.113029786942209e-07,1.5921704976682514e-06,13670.0,1.3036727905273435e-12,1.4871236760207832e-12,6.679041752660484e-08,1.678717918088455e-07,6.4197014439937495e-09,3.6884822252694755e-08,6.441831553010863e-07,1.1417849143018765e-06,1.0651978100530502e-06,4.388629707725736e-07,1.1186966876296618e-06,3.7754697419882957e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,8,75,9.772050238058398,95.43017810603904,127.00666666666665,76.04666666666667,1240.2994791666665,742.6432291666666,0,0,0,1.2402994791666666e-06,7.426432291666666e-07,75.0,7.152557373046873e-15,8.18097252554416e-15,1.2715477998763024e-08,2.2558923995936597e-08,6.558382239596801e-09,4.526958671156225e-09,4.7715089053019524e-08,8.457279333832407e-08,5.5614705930355413e-08,4.264253519280023e-08,6.197900800216354e-08,3.5552101356922646e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,9,119,12.309163489997376,120.20667470700562,279.20588235294116,156.00420168067225,2726.619944852941,1523.478532037815,0,0,0,2.726619944852941e-06,1.523478532037815e-06,119.0,1.1348724365234372e-14,1.2681205918837083e-14,1.2361489201091325e-08,2.259650441341429e-08,6.426824259249891e-09,4.496709732917528e-09,6.01033373535028e-08,1.0653039174448938e-07,6.863919551557624e-08,5.4584313032902483e-08,7.888920685782119e-08,4.465740831940515e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,10,5327,82.35622049854044,804.259965806059,468.73221325323817,196.30382954758775,4577.463020051154,1917.0295854256617,0,0,0,4.577463020051154e-06,1.9170295854256617e-06,5327.0,5.080223083496093e-13,5.701964450287753e-13,6.026110105831788e-08,1.322985927065204e-07,6.4313012500288015e-09,3.286763854401859e-08,4.0212998290302945e-07,7.127568367610439e-07,4.867714813555627e-07,3.449111432640561e-07,5.265526666215973e-07,2.9369930187429766e-07
