source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,1,3423,66.0174140786237,644.7013093615595,113.84472684779432,34.9943032427695,1111.7649106229915,341.74124260517084,0,0,0,1.1117649106229915e-06,3.4174124260517084e-07,3423.0,3.264427185058593e-13,3.3775814484220103e-13,5.463873718171825e-08,8.4377619702468e-08,3.121690854701705e-08,1.3688295400910532e-08,3.2235065468077977e-07,5.713516592308622e-07,4.083082410951635e-07,2.7006490361782744e-07,4.373608554467814e-07,1.9703182860875834e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,2,50370,253.24509051176125,2473.0965870289183,90.41534643637085,306.0162993845543,882.9623675426841,2988.440423677288,0,0,0,8.829623675426841e-07,2.988440423677288e-06,50370.0,4.80365753173828e-12,5.844773793935967e-12,1.3798348736361054e-07,3.6123182692423944e-07,3.118743727850282e-08,9.581739069238549e-08,1.2365482935144591e-06,2.191724784670347e-06,1.848793585854168e-06,1.0720228411230265e-06,2.220608341905339e-06,5.111440250008693e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,3,18,4.787307364817192,46.751048484542885,198.6111111111111,175.2222222222222,1939.5616319444441,1711.1545138888887,0,0,0,1.939561631944444e-06,1.7111545138888887e-06,18.0,1.7166137695312496e-15,1.7199674152911675e-15,3.138081141849887e-08,3.1710585736919506e-08,3.1235576088272877e-08,1.489394612410224e-10,2.3375524242271445e-08,4.1432037960149266e-08,3.236546928085491e-08,1.926529320607129e-08,3.7186758815097545e-08,1.0374839927411348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,4,2,1.5957691216057308,15.583682828180965,241.0,210.49999999999994,2353.515625,2055.6640624999995,0,0,0,2.353515625e-06,2.0556640624999997e-06,2.0,1.9073486328124996e-16,1.9243301281981878e-16,3.1270840841520084e-08,3.1270840841520084e-08,3.1270840841520084e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,5,5904,86.70182392612281,846.6974992785431,485.4603658536584,330.38075880758805,4740.823885289633,3226.374597730352,0,0,0,4.740823885289633e-06,3.226374597730352e-06,5904.0,5.630493164062499e-13,5.678679818826097e-13,4.535245757287381e-08,6.782871947131562e-08,3.118723714547872e-08,9.489175410166228e-09,4.233487496392715e-07,7.503661215741619e-07,6.337855403938369e-07,3.150200059779339e-07,6.68681938927864e-07,2.771072238273664e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,6,19,4.918490759365935,48.03213632193296,490.1842105263158,263.6578947368421,4786.9551809210525,2574.7841282894733,0,0,0,4.786955180921052e-06,2.5747841282894734e-06,19.0,1.8119812011718747e-15,1.8167654161840303e-15,3.178348127342795e-08,3.2293553431521575e-08,3.123615530520672e-08,3.557730630301375e-10,2.401606816096648e-08,4.2567372495514386e-08,2.872904299077376e-08,2.058640469544266e-08,3.1310044507313405e-08,1.8308883315770277e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,7,112,11.941642642883693,116.61760393441106,424.54464285714283,271.49107142857144,4145.943777901785,2651.279994419643,0,0,0,4.1459437779017854e-06,2.651279994419643e-06,112.0,1.0681152343749998e-14,1.0719895894949804e-14,3.2495638729511724e-08,3.421985604892599e-08,3.12245702060541e-08,7.823131145508722e-10,5.830880196720553e-08,1.0334966058846056e-07,7.410192797304285e-08,4.6670799907007896e-08,8.430145281322031e-08,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,8,62,8.884866446580956,86.76627389239215,453.4193548387097,276.9032258064516,4427.923387096775,2704.133064516129,0,0,0,4.427923387096774e-06,2.7041330645161287e-06,62.0,5.9127807617187485e-15,5.930987860725647e-15,3.1833233383450124e-08,3.292358962836432e-08,3.1219698217545617e-08,3.652199198201995e-10,4.338313694619607e-08,7.689460814464658e-08,6.10739524316743e-08,3.248479645460349e-08,6.643147844053811e-08,2.4661148318138765e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,9,1,1.1283791670955126,11.019327803667116,469.4999999999999,284.5,4584.960937499999,2778.3203125,0,0,0,4.5849609374999995e-06,2.7783203125e-06,1.0,9.536743164062498e-17,9.574511066888493e-17,3.148249213199084e-08,3.148249213199084e-08,3.148249213199084e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,10,54,8.291859587312052,80.97519128234426,435.61111111111103,360.14814814814815,4254.014756944443,3517.071759259259,0,0,0,4.2540147569444434e-06,3.517071759259259e-06,54.0,5.149841308593749e-15,5.174706498139526e-15,3.2259438065062115e-08,3.35976542127407e-08,3.122703994625774e-08,6.747411635873629e-10,4.048759564117212e-08,7.176239480810091e-08,5.290881685313263e-08,3.1912242864710484e-08,5.879808196116856e-08,2.6935153192066506e-08
