source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,1,28180,189.41987849916092,1849.8035009683683,213.54354151880764,139.26579134137685,2085.386147644606,1360.0174935681332,0,0,0,2.085386147644606e-06,1.3600174935681333e-06,28180.0,2.687454223632812e-12,3.7266414992858915e-12,3.2086169664942174e-07,5.935491552720469e-07,1.2389784643048913e-07,1.1546136891506731e-07,9.249017504841842e-07,1.6393456693549448e-06,1.5648692882878682e-06,6.059093575237591e-07,1.4984683674084872e-06,5.00360301192324e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,2,424,23.23474912642073,226.90184693770246,4.610849056603772,118.14858490566036,45.02782281839622,1153.7947744693395,0,0,0,4.502782281839622e-08,1.1537947744693394e-06,424.0,4.043579101562499e-14,6.377870899266616e-14,1.7981095586603874e-07,2.3489496081050455e-07,1.241752311491876e-07,3.030434159270781e-08,1.1345092346885123e-07,2.0108652619115231e-07,2.384708983339597e-07,5.600491228778797e-08,2.492213338713112e-07,5.3821437292497066e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,3,10929,117.96285425679812,1151.9809986015441,65.92163052429316,280.06537652118215,643.7659230888004,2735.0134425896695,0,0,0,6.437659230888003e-07,2.7350134425896695e-06,10929.0,1.0422706604003904e-12,2.144066741789809e-12,4.2019138294781064e-07,9.24114936551587e-07,1.2386893320057063e-07,2.2062533434039313e-07,5.75990499300772e-07,1.0209165785706442e-06,8.31116748994527e-07,4.1487075330320115e-07,1.001320669455959e-06,3.83720152008039e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,4,30460,196.93368562191958,1923.1805236515584,395.17823374917924,363.0952068286276,3859.1624389568283,3545.851629185817,0,0,0,3.8591624389568285e-06,3.545851629185817e-06,30460.0,2.904891967773437e-12,4.659681125571017e-12,3.7312180021240057e-07,7.027137551060574e-07,1.238747094024132e-07,1.592216490109322e-07,9.615902618257792e-07,1.7043743625663456e-06,1.4254612604386653e-06,7.413554311586511e-07,1.4981554132579527e-06,5.126952131401641e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,5,35,6.6755811781245455,65.19122244262252,283.24285714285713,272.29999999999995,2766.043526785714,2659.1796874999995,0,0,0,2.766043526785714e-06,2.6591796874999997e-06,35.0,3.337860107421874e-15,5.891972651444176e-15,1.3454549845856987e-07,1.4071240918469937e-07,1.259571391884855e-07,5.110339784121191e-09,3.2595611221311254e-08,5.777421663183218e-08,7.477113487373967e-08,1.5119689156596456e-08,6.905450590379512e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,6,22379,168.8011486087349,1648.4487168821768,145.393382188659,405.806269270298,1419.857247936123,3962.951848342754,0,0,0,1.419857247936123e-06,3.962951848342754e-06,22379.0,2.1342277526855463e-12,3.450598402666786e-12,4.175315961221612e-07,6.602089462115493e-07,1.2386823255348616e-07,1.5006424801302084e-07,8.242243584410884e-07,1.4608996381290353e-06,1.0377964239709226e-06,6.646515253255187e-07,1.0575613918539308e-06,6.34761568871475e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,7,1,1.1283791670955126,11.019327803667116,246.49999999999994,323.49999999999994,2407.2265624999995,3159.1796874999995,0,0,0,2.4072265624999997e-06,3.1591796874999996e-06,1.0,9.536743164062498e-17,1.716322093884322e-16,1.2618817307152212e-07,1.2618817307152212e-07,1.2618817307152212e-07,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025195e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,8,4427,75.07750305212984,733.1787407434555,265.6436638807319,385.62514117912804,2594.176405085272,3765.8705193274222,0,0,0,2.594176405085272e-06,3.7658705193274224e-06,4427.0,4.221916198730468e-13,9.283614674816546e-13,1.863677728951622e-07,3.3459047554217923e-07,1.23958122317284e-07,3.925388368420285e-08,3.665893703717277e-07,6.497627412163972e-07,6.141049402679829e-07,2.3149979213409388e-07,5.920784770459041e-07,1.9926852218699957e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,9,5,2.5231325220201604,24.63996603535313,227.3,331.1,2219.7265625,3233.3984375,0,0,0,2.2197265625e-06,3.2333984375e-06,5.0,4.768371582031249e-16,1.3216766817895162e-15,1.2902407086076125e-07,1.296697547258683e-07,1.264413354003331e-07,1.291367730214086e-09,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.760585040145384e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,10,9,3.385137501286538,33.057983411001345,284.94444444444446,351.27777777777777,2782.660590277778,3430.447048611111,0,0,0,2.7826605902777777e-06,3.4304470486111108e-06,9.0,8.583068847656248e-16,1.1162193424429643e-15,1.2539360836935263e-07,1.2899559693806362e-07,1.2459555431009618e-07,1.3150353233980361e-09,1.6528991705500673e-08,2.9296874999999997e-08,2.5944200492501376e-08,1.087345158032317e-08,2.629563202632227e-08,9.765392041587479e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,11,1,1.1283791670955126,11.019327803667116,291.49999999999994,414.49999999999994,2846.6796874999995,4047.8515624999995,0,0,0,2.8466796874999996e-06,4.047851562499999e-06,1.0,9.536743164062498e-17,1.288074242289439e-16,1.2520442651635208e-07,1.2520442651635208e-07,1.2520442651635208e-07,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600254956e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,12,1661,45.98750791035654,449.0967569370756,302.72636965683324,487.52889825406373,2956.312203680012,4761.024397012341,1,1,0,2.956312203680012e-06,4.761024397012341e-06,1661.0,1.5840530395507809e-13,1.789259641666073e-13,1.6624389066260707e-07,2.2475633123831506e-07,1.2391266777203913e-07,2.607078652964147e-08,2.2454837846853778e-07,3.98001638131149e-07,3.089215712449994e-07,1.6970293788331076e-07,3.384185254130103e-07,1.580383814675308e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,13,934,34.484862400517734,336.766234380056,488.1081370449679,502.17880085653104,4766.681025829765,4904.089852114561,0,0,0,4.766681025829764e-06,4.904089852114561e-06,934.0,8.907318115234373e-14,9.952556350034447e-14,1.5368892360924807e-07,1.9848322948642058e-07,1.2393374374379305e-07,1.501787062973088e-08,1.68383117190028e-07,2.984513044909399e-07,2.489583823467376e-07,1.1807910250362614e-07,2.7032975948873847e-07,1.1259845981696294e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,14,358,21.349935761383176,208.49546641975758,25.05307262569832,503.03072625698326,244.65891236033517,4912.409436103352,0,0,0,2.4465891236033517e-07,4.912409436103352e-06,358.0,3.414154052734374e-14,4.021551184895609e-14,1.4718112940915907e-07,1.747463776730601e-07,1.238783000776771e-07,1.3598249123539393e-08,1.0424773320987878e-07,1.8477429617602049e-07,1.3671046866611414e-07,8.304175136267297e-08,1.612083017746308e-07,7.735502066831887e-08
