source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,1,282,18.948708441878455,185.0459808777193,484.46099290780137,3.9822695035460987,4731.064383865248,38.88935062056737,0,0,0,4.731064383865248e-06,3.888935062056737e-08,282.0,2.6893615722656245e-14,3.039891476172394e-14,5.780111821879721e-08,8.044369410661345e-08,3.7197452327874374e-08,1.2034070904648669e-08,9.252299043885965e-08,1.6399273070065102e-07,1.822777805564121e-07,4.9140952628226484e-08,1.9555732130786154e-07,4.882758616286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,2,1533,44.1800432557394,431.44573491933005,214.7204827136334,126.3160469667319,2096.879714000326,1233.5551461594912,1,1,0,2.096879714000326e-06,1.233555146159491e-06,1533.0,1.461982727050781e-13,1.5051444554459954e-13,5.208071985477744e-08,7.205539628953888e-08,3.7200983520216694e-08,9.689371157197682e-09,2.1572286745966503e-07,3.823588271572635e-07,2.281807894489485e-07,2.050925412467486e-07,2.4030713388744445e-07,1.8829109293267318e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,3,5354,82.5646687301055,806.2955930674365,470.5459469555472,240.52838998879338,4595.175263237766,2348.9100584843104,0,0,0,4.595175263237766e-06,2.3489100584843105e-06,5354.0,5.105972290039061e-13,6.38236263561892e-13,9.920689007573465e-08,1.8480004040331066e-07,3.720584162801264e-08,4.4034311322288875e-08,4.0314779653371827e-07,7.145608644502623e-07,5.263683425866625e-07,3.456536748625352e-07,5.803399859840045e-07,2.7385414430760973e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,4,478,24.669991941291908,240.9178900516788,506.1820083682008,306.6673640167364,4943.183675470711,2994.798476725942,0,0,0,4.943183675470711e-06,2.9947984767259416e-06,478.0,4.558563232421874e-14,5.2222325177531167e-14,6.725952528123102e-08,1.0138155039039753e-07,3.7329148183833483e-08,1.7052155100705192e-08,1.204589450258394e-07,2.135079209870649e-07,2.1340199365712797e-07,7.030264825128863e-08,2.2061337166578715e-07,6.582351059519702e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,5,25672,180.79437378536176,1765.5700564976735,97.46560454970394,448.4005920847616,951.8125444307026,4378.91203207775,0,0,0,9.518125444307026e-07,4.37891203207775e-06,25672.0,2.4482727050781244e-12,2.9820503863304535e-12,2.478818635553779e-07,6.630548609387002e-07,3.7208625624567746e-08,1.5623041292191559e-07,8.827850282488366e-07,1.5646957228413851e-06,1.172045470889896e-06,7.368506782295558e-07,1.5008933386110657e-06,6.618331020532764e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,6,21,5.170882945826411,50.496903767836045,19.976190476190474,359.595238095238,195.0799851190476,3511.6722470238087,0,0,0,1.950799851190476e-07,3.511672247023809e-06,21.0,2.0027160644531244e-15,2.01131470677234e-15,3.784969322134776e-08,3.8519326777314956e-08,3.731180341914199e-08,3.761479856238598e-10,2.524845188391802e-08,4.475171577105312e-08,3.087658817936332e-08,2.107762892995995e-08,3.2755029084624895e-08,1.7735978134746286e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,7,13705,132.09749414956897,1290.0145913043846,442.19171835096677,455.19463699379776,4318.27849952116,4445.260126892556,0,0,0,4.31827849952116e-06,4.445260126892557e-06,13705.0,1.3070106506347653e-12,1.8754795715049266e-12,1.9873612070017294e-07,5.044547158314968e-07,3.7203565848341286e-08,1.3910031191001568e-07,6.450072956521921e-07,1.1432456650408806e-06,7.697516899639941e-07,6.708541146255942e-07,9.560344370102806e-07,3.438907282238147e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,8,114,12.047792665040703,117.65422524453811,454.46491228070164,386.96491228070175,4438.133908991227,3778.954221491228,0,0,0,4.438133908991227e-06,3.778954221491228e-06,114.0,1.0871887207031248e-14,1.0941503241194706e-14,3.8940640497725535e-08,4.194098644006818e-08,3.719738276009864e-08,1.350734275628477e-09,5.882711262226905e-08,1.0426834230499326e-07,8.743755142492835e-08,4.2359508832567615e-08,9.017418935707037e-08,3.976579381337766e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,9,2,1.5957691216057308,15.583682828180965,447.5,396.99999999999994,4370.1171875,3876.9531249999995,0,0,0,4.3701171875e-06,3.876953125e-06,2.0,1.9073486328124996e-16,1.9101134286874312e-16,3.726483765234606e-08,3.726483765234606e-08,3.726483765234606e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386005e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,10,21,5.170882945826411,50.496903767836045,235.88095238095232,486.9761904761905,2303.5249255952376,4755.626860119048,0,0,0,2.3035249255952377e-06,4.755626860119047e-06,21.0,2.0027160644531244e-15,2.0135623571237263e-15,3.807218446899297e-08,3.902157310819142e-08,3.7276929106253207e-08,4.413513093787355e-10,2.524845188391802e-08,4.475171577105312e-08,2.8913237711515516e-08,2.2548658390863022e-08,3.088335632052769e-08,1.9608427275825913e-08
