source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,1,41401,229.59396854355836,2242.1285990581873,105.81880872442694,144.50956498635298,1033.3868039494819,1411.2262205698532,0,0,0,1.0333868039494818e-06,1.4112262205698532e-06,41401.0,3.948307037353514e-12,4.730621972289375e-12,1.7915600433826584e-07,4.4148594391724083e-07,3.359034607872622e-08,1.2054001669980266e-07,1.1210642995290936e-06,1.9870347348130366e-06,1.667659540726419e-06,8.151687369270639e-07,1.9379115836533935e-06,7.246918648347194e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,2,5610,84.51552428970824,825.346916891682,254.75935828877002,26.597682709447415,2487.88435828877,259.74299520944743,0,0,0,2.4878843582887698e-06,2.597429952094474e-07,5610.0,5.350112915039062e-13,6.877964000327816e-13,1.2433939211588309e-07,3.728738792704573e-07,3.3620723173769486e-08,1.0647962141356264e-07,4.12673458445841e-07,7.314446605888283e-07,6.123708349314005e-07,2.825122529943509e-07,6.811170025473333e-07,2.7368880082350105e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,3,7638,98.61543308573549,963.0413387278857,405.5686043466876,60.18211573710395,3960.6309018231213,587.7159739951558,0,0,0,3.960630901823121e-06,5.877159739951557e-07,7638.0,7.284164428710935e-13,8.670875973719603e-13,1.1099516541720568e-07,1.8456636677342172e-07,3.366039892976181e-08,3.887772820340729e-08,4.815206693639428e-07,8.53473164704722e-07,7.482709632849793e-07,3.266360578902165e-07,7.353718062847034e-07,3.1830872386449625e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,4,774,31.39247374172695,306.56712638405224,452.9366925064599,9.698966408268731,4423.209887758398,94.71646883074933,0,0,0,4.423209887758398e-06,9.471646883074934e-08,774.0,7.381439208984373e-14,7.827358737727834e-14,5.5066601529407386e-08,8.919566399811331e-08,3.3640691489918795e-08,1.4358496531171103e-08,1.5328356319202612e-07,2.7168804186022565e-07,2.14215468220816e-07,1.1374290771371135e-07,2.343041450609163e-07,1.1235751725865431e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,5,60,8.740387444736633,85.35534614000619,510.0333333333333,7.266666666666666,4980.794270833333,70.96354166666666,0,0,0,4.9807942708333335e-06,7.096354166666665e-08,60.0,5.722045898437498e-15,8.144299341354081e-15,5.073941577027338e-08,9.171256923825425e-08,3.3858554779667725e-08,1.4151188187161357e-08,4.267767307000309e-08,7.56442059806136e-08,1.0118118954896704e-07,2.2902824689158692e-08,1.0346560189168576e-07,2.2881555821226196e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,6,15,4.370193722368317,42.677673070003095,447.1,30.3,4366.2109375,295.8984375,0,0,0,4.3662109375e-06,2.958984375e-07,15.0,1.4305114746093746e-15,1.438681486673862e-15,3.43537114861627e-08,3.475684456398101e-08,3.369921109786109e-08,3.9599793383566944e-10,2.1338836535001545e-08,3.78221029903068e-08,3.090092402872538e-08,1.529047108067603e-08,3.0885771243363014e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,7,3,1.9544100476116797,19.08603562120781,511.5,31.499999999999993,4995.1171875,307.61718749999994,0,0,0,4.9951171875e-06,3.0761718749999996e-07,3.0,2.8610229492187495e-16,2.993754542757885e-16,3.4393024701058714e-08,3.495495078260826e-08,3.379896563927823e-08,4.724756143363943e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887541157e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,8,1253,39.94207242436425,390.0593010191821,489.76815642458087,91.40263367916998,4782.892152583798,892.6038445231444,1,1,0,4.782892152583798e-06,8.926038445231444e-07,1253.0,1.194953918457031e-13,1.217095411076009e-13,4.494656270834967e-08,5.475997629872466e-08,3.362108442327426e-08,5.705784201045753e-09,1.9502965050959106e-07,3.4568105508648156e-07,2.224172170109308e-07,1.72405637428472e-07,2.3273473637034914e-07,1.6601555947239547e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,9,3139,63.21945057435786,617.3774470152134,347.4640012742911,136.2059573112456,3393.203137444249,1330.136301867633,0,0,0,3.393203137444249e-06,1.3301363018676328e-06,3139.0,2.993583679199218e-13,3.059830611390039e-13,4.5778010940900395e-08,5.940792957789374e-08,3.3587889705968574e-08,7.074644403523341e-09,3.086887235076067e-07,5.471365167121655e-07,5.216878126837364e-07,1.8552219126605203e-07,5.298641621648886e-07,1.82328543159879e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,10,4617,76.67168302601846,748.7469045509615,257.9700021659086,188.40491661251892,2519.238302401451,1839.8917637941302,0,0,0,2.519238302401451e-06,1.8398917637941303e-06,4617.0,4.4031143188476554e-13,5.042379707755174e-13,1.0281281187081395e-07,1.651111255952398e-07,3.367972143153049e-08,3.869974078678848e-08,3.743734522754807e-07,6.635596671624681e-07,4.3751162989714917e-07,3.2133213348931446e-07,4.4770332240079645e-07,3.205947190020541e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,11,141,13.398760233979036,130.84726790995154,509.62056737588654,183.8900709219858,4976.763353280142,1795.8014738475176,0,0,0,4.976763353280142e-06,1.7958014738475176e-06,141.0,1.3446807861328122e-14,1.3852175666557026e-14,3.8722187340901047e-08,4.460250540078098e-08,3.359193938588446e-08,3.2094540014644132e-09,6.542363395497575e-08,1.1596037194372964e-07,1.5475646440611702e-07,3.016069690290996e-08,1.709694129025528e-07,3.11277555607894e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,12,18776,154.61677040976963,1509.9293985329066,409.29564337452064,334.1257988922028,3997.027767329303,3262.947254806668,0,0,0,3.997027767329303e-06,3.262947254806668e-06,18776.0,1.7906188964843746e-12,2.0467983841515337e-12,1.0198229105475814e-07,2.3379400334929468e-07,3.363686075079713e-08,4.804743423340835e-08,7.549646992664533e-07,1.33814008851255e-06,1.6601489945133192e-06,4.253232204747734e-07,1.7536883756456675e-06,3.6550211518149955e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,13,1,1.1283791670955126,11.019327803667116,28.5,227.49999999999994,278.3203125,2221.6796874999995,0,0,0,2.783203125e-07,2.2216796874999997e-06,1.0,9.536743164062498e-17,9.567950927844856e-17,3.369123567853831e-08,3.369123567853831e-08,3.369123567853831e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,14,7,2.985410660720923,29.154400983602766,39.64285714285714,241.78571428571428,387.1372767857143,2361.1886160714284,0,0,0,3.871372767857143e-07,2.3611886160714283e-06,7.0,6.675720214843749e-16,6.71352264859159e-16,3.406135650668453e-08,3.472462263145751e-08,3.372650434766205e-08,3.5476822971854707e-10,1.4577200491801383e-08,2.583741514711514e-08,1.7738634393347757e-08,1.2856740390864868e-08,2.071685968072808e-08,9.765196474468546e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,15,1,1.1283791670955126,11.019327803667116,42.5,240.49999999999994,415.0390625,2348.6328124999995,0,0,0,4.150390625e-07,2.3486328124999996e-06,1.0,9.536743164062498e-17,9.599822885902888e-17,3.390327819288467e-08,3.390327819288467e-08,3.390327819288467e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,16,333,20.590987552733093,201.08386281965912,508.71621621621614,299.487987987988,4967.931798986486,2924.687382695195,0,0,0,4.967931798986486e-06,2.924687382695195e-06,333.0,3.175735473632812e-14,3.298122508813334e-14,4.1137478466601466e-08,5.5430464894089945e-08,3.359474704946766e-08,5.650465951486832e-09,1.0054193140982955e-07,1.7820593350483063e-07,2.756992352416949e-07,4.1087589540811156e-08,3.0277389122537904e-07,4.611459354816758e-08
