source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,1,7281,96.2832131018524,940.2657529477773,25.404546078835324,94.4358604587282,248.0912703011262,922.2251997922675,0,0,0,2.480912703011262e-07,9.222251997922675e-07,7281.0,6.943702697753905e-13,7.069739921633488e-13,1.6132100717111937e-08,6.418687618000422e-08,7.104521839980456e-09,6.83557378145853e-09,4.701328764738886e-07,8.33288827343431e-07,7.607215576236877e-07,3.1948391408898437e-07,8.783995382301208e-07,1.9025358962248191e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,2,58,8.593479713983122,83.92070033186643,78.63793103448276,1.9310344827586206,767.9485452586207,18.857758620689655,0,0,0,7.679485452586207e-07,1.8857758620689655e-08,58.0,5.531311035156249e-15,7.56272504620174e-15,2.373173315317119e-08,4.770679884389018e-08,7.204706799878892e-09,1.1427887150492668e-08,4.196035016593321e-08,7.437278423695222e-08,7.847903165946228e-08,2.3875352223458693e-08,8.35849009687016e-08,2.441216560236785e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,3,17449,149.0528658432432,1455.594393000422,193.27242248839474,68.96994097082927,1887.4260008632298,673.5345797932546,0,0,0,1.8874260008632297e-06,6.735345797932546e-07,17449.0,1.6640663146972652e-12,1.6890263308228612e-12,1.8454393469778687e-08,8.471726370340296e-08,7.105612310846585e-09,8.147894996271143e-09,7.277971965002109e-07,1.2899869436150373e-06,1.1105645658863466e-06,5.65279682759596e-07,1.3351462409350144e-06,3.9340736592118327e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,4,1487,43.51215006203655,424.9233404495757,393.1429051782111,23.057498318762605,3839.2861833809675,225.17088201916607,1,1,0,3.839286183380968e-06,2.2517088201916607e-07,1487.0,1.4181137084960935e-13,1.6563575800243853e-13,4.871790759538576e-08,9.868490873062354e-08,7.130614216643654e-09,2.879692173665053e-08,2.124616702247878e-07,3.7657850555974296e-07,2.949365429698017e-07,1.5965792971634256e-07,3.1995583815864605e-07,1.4591030639350696e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,5,164,14.450303987687134,141.11624987975716,441.2439024390244,4.286585365853658,4309.022484756098,41.86118521341463,0,0,0,4.309022484756098e-06,4.186118521341463e-08,164.0,1.5640258789062498e-14,1.6139020208892082e-14,1.2252251850435914e-08,1.851564762680674e-08,7.151148680539918e-09,2.939639548197983e-09,7.055812493987857e-08,1.250610202623603e-07,1.1897206061898324e-07,4.667467329377723e-08,1.375304506984555e-07,4.8828034772369795e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,6,20,5.046265044040321,49.27993207070626,148.2,17.499999999999996,1447.2656249999998,170.89843749999997,0,0,0,1.4472656249999998e-06,1.7089843749999997e-07,20.0,1.9073486328124997e-15,1.912313635011027e-15,7.445705393503305e-09,8.141575875659e-09,7.107008694672226e-09,3.022680988100655e-10,2.4639966035353124e-08,4.367320268554276e-08,3.1111049660144854e-08,2.0345768440882596e-08,3.718650643797479e-08,1.830888331577028e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,7,9433,109.59228360375921,1070.237144567961,477.3861443867274,93.56000212021625,4661.974066276634,913.6718957052369,0,0,0,4.661974066276634e-06,9.136718957052369e-07,9433.0,8.996009826660155e-13,1.007394094726806e-12,6.261366558985751e-08,1.4808817133404023e-07,7.137563117915723e-09,3.454090689762518e-08,5.351185722839805e-07,9.484729741358029e-07,7.70549761566884e-07,3.809473465350622e-07,8.109800877134274e-07,3.284214709712614e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,8,1,1.1283791670955126,11.019327803667116,25.499999999999996,25.499999999999996,249.02343749999997,249.02343749999997,0,0,0,2.4902343749999996e-07,2.4902343749999996e-07,1.0,9.536743164062498e-17,9.621640970965473e-17,7.204352624074739e-09,7.204352624074739e-09,7.204352624074739e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,9,1,1.1283791670955126,11.019327803667116,150.49999999999997,32.5,1469.7265624999998,317.3828125,0,0,0,1.4697265624999998e-06,3.173828125e-07,1.0,9.536743164062498e-17,9.571093008236251e-17,7.4152902124144114e-09,7.4152902124144114e-09,7.4152902124144114e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024934e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,10,2,1.5957691216057308,15.583682828180965,47.49999999999999,58.999999999999986,463.86718749999994,576.1718749999999,0,0,0,4.6386718749999995e-07,5.761718749999999e-07,2.0,1.9073486328124996e-16,1.9292403739393713e-16,7.478039291026488e-09,7.478039291026488e-09,7.478039291026488e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
