source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,1,81,10.155412503859614,99.17395023300404,340.9074074074074,4.6234567901234565,3329.1739004629626,45.15094521604938,0,0,0,3.3291739004629624e-06,4.5150945216049376e-08,81.0,7.724761962890623e-15,7.80594751936962e-15,2.994623357159188e-08,3.203743447304406e-08,2.766427314364918e-08,1.3419290282545597e-09,4.958697511650202e-08,8.789062499999999e-08,5.149463849785109e-08,4.837492348951659e-08,5.99005964313484e-08,4.231707863959672e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,2,376,21.880083839428522,213.67269374441915,420.3989361702127,11.332446808510637,4105.458361037234,110.6684258643617,0,0,0,4.105458361037234e-06,1.106684258643617e-07,376.0,3.585815429687499e-14,3.7227957264597325e-14,3.559696286433088e-08,4.761314824309685e-08,2.743159127311105e-08,4.9949097914883136e-09,1.0683634687220957e-07,1.8936249443032534e-07,1.3596200951108612e-07,8.921241666101061e-08,1.4947412921267877e-07,6.922268446999665e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,3,7,2.985410660720923,29.154400983602766,449.3571428571427,0.6428571428571428,4388.253348214284,6.277901785714285,0,0,0,4.388253348214285e-06,6.277901785714285e-09,7.0,6.675720214843749e-16,6.769944543292867e-16,2.7893805087745307e-08,2.8788668358776082e-08,2.7434199212863797e-08,4.363813242940474e-10,1.4577200491801383e-08,2.583741514711514e-08,3.308980015766955e-08,7.558028915464474e-09,3.08824568617379e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,4,1,1.1283791670955126,11.019327803667116,453.5,0.5,4428.7109375,4.8828125,0,0,0,4.4287109375e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.538223200077626e-17,2.7434199212863797e-08,2.7434199212863797e-08,2.7434199212863797e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,5,4,2.256758334191025,22.03865560733423,456.7499999999999,0.7499999999999999,4460.449218749999,7.324218749999999,0,0,0,4.4604492187499995e-06,7.324218749999999e-09,4.0,3.814697265624999e-16,4.02155259896078e-16,2.9564652182807235e-08,3.123309079069508e-08,2.8931270272144238e-08,9.644339293441573e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.6668816216201414e-08,8.334408108100707e-09,1.760583443053623e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,6,2,1.5957691216057308,15.583682828180965,471.0,0.5,4599.609375,4.8828125,0,0,0,4.599609375e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.916447112667589e-16,2.7575507667295692e-08,2.7575507667295692e-08,2.7575507667295692e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,7,1,1.1283791670955126,11.019327803667116,481.5,0.5,4702.1484375,4.8828125,0,0,0,4.7021484375e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0076386224352545e-16,2.8753417419238815e-08,2.8753417419238815e-08,2.8753417419238815e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,8,8,3.1915382432114616,31.16736565636193,488.875,0.7499999999999999,4774.169921875,7.324218749999999,0,0,0,4.774169921875e-06,7.324218749999999e-09,8.0,7.629394531249998e-16,7.821258232725871e-16,2.8369683724480128e-08,2.867416344409244e-08,2.7491979141734684e-08,5.067959731759937e-10,1.5583682828180962e-08,2.762135864009951e-08,2.9322786686580643e-08,9.448783532252255e-09,2.9703189413978673e-08,6.1002336273238875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,9,8,3.1915382432114616,31.16736565636193,499.0,0.5,4873.046875,4.8828125,0,0,0,4.873046875e-06,4.8828124999999996e-09,8.0,7.629394531249998e-16,7.801484742514736e-16,2.849255995430456e-08,2.913148866146383e-08,2.7991167697048634e-08,3.9003674336635655e-10,1.5583682828180962e-08,2.762135864009951e-08,4.458843696007385e-08,5.573554620009238e-09,3.9366492911614115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,10,41719,230.47403447418162,2250.72299291193,91.8763033629761,191.1135573719408,897.2295250290634,1866.3433337103595,0,0,0,8.972295250290634e-07,1.8663433337103595e-06,41719.0,3.978633880615233e-12,4.985910101013878e-12,1.462343032601912e-07,3.6389505873021365e-07,2.733727067638623e-08,9.357011514336277e-08,1.1253614964559648e-06,1.994651318054169e-06,1.5598675080117288e-06,9.084711991419618e-07,1.6776040593388823e-06,7.289677425510222e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,11,222,16.812470934731934,164.18428647199156,213.11711711711706,40.95045045045045,2081.2218468468463,399.9067426801802,0,0,0,2.0812218468468465e-06,3.999067426801802e-07,222.0,2.1171569824218744e-14,2.1264937018661085e-14,2.9056923152119592e-08,3.248451392490712e-08,2.7355922095797132e-08,1.2569562660871384e-09,8.209214323599577e-08,1.455045354077279e-07,1.2439755759495783e-07,5.5242881110332386e-08,1.2676724377041434e-07,5.2838052092300316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,12,64,9.0270333367641,88.15462242933692,329.04687499999994,39.46874999999999,3213.3483886718745,385.43701171874994,0,0,0,3.2133483886718746e-06,3.8543701171874997e-07,64.0,6.103515624999999e-15,6.238382471040213e-15,3.0237900538481956e-08,3.312687678456419e-08,2.7512354202424098e-08,1.7113572458711711e-09,4.407731121466846e-08,7.812499999999999e-08,4.847334358958026e-08,4.036997452976923e-08,5.300000533125312e-08,3.8161651682429245e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,13,158,14.183506197980657,138.51080271465486,39.151898734177216,43.05696202531646,382.34276107594934,420.478144778481,0,0,0,3.8234276107594935e-07,4.20478144778481e-07,158.0,1.5068054199218746e-14,1.5104203519045766e-14,2.840539532067347e-08,3.000967745555844e-08,2.733997202000158e-08,7.21501058214059e-10,6.925540135732742e-08,1.2275200283180207e-07,8.009661367889517e-08,6.331515380152059e-08,9.692320724206396e-08,5.047057081414172e-08
