source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,1,20911,163.17080657996695,1593.4649080074898,48.048993352780826,98.72882693319305,469.2284507107503,964.1487005194633,0,0,0,4.692284507107503e-07,9.641487005194633e-07,20911.0,1.9942283630371087e-12,2.0708080862233156e-12,8.939205268631698e-08,2.3774139088204076e-07,8.181875469828152e-09,4.777683916832148e-08,7.967324540037449e-07,1.4121715062403392e-06,1.320444738669755e-06,5.337533361196097e-07,1.5905445800429217e-06,5.154306785533283e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,2,147,13.680870333281758,133.60224934845468,167.8469387755102,6.350340136054421,1639.1302614795918,62.015040391156454,0,0,0,1.6391302614795918e-06,6.201504039115646e-08,147.0,1.4019012451171871e-14,1.4097207563820052e-14,1.0578873035628174e-08,1.2534715641582511e-08,8.204446362944359e-09,1.221797573494954e-09,6.680112467422732e-08,1.184019106736537e-07,7.31251786714174e-08,6.190594862654552e-08,8.128529179362902e-08,5.401486044592201e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,3,132,12.964089628857149,126.60243778180809,193.71212121212122,4.386363636363636,1891.7199337121212,42.83558238636363,0,0,0,1.8917199337121212e-06,4.2835582386363636e-08,132.0,1.2588500976562498e-14,1.2639663808485707e-14,9.802019696382516e-09,1.3489559677803327e-08,8.201324437399637e-09,1.250421199453899e-09,6.330121889090404e-08,1.1219848919019586e-07,8.980199447217369e-08,4.7165708054754314e-08,9.827482089597919e-08,4.004700976356739e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,4,4238,73.45739711280015,717.3573936796889,224.0533270410571,57.22015101462954,2188.020771885323,558.7905372522416,0,0,0,2.188020771885323e-06,5.587905372522416e-07,4238.0,4.0416717529296867e-13,4.072785898460302e-13,1.44303611147395e-08,2.6500539615305954e-08,8.178584803453469e-09,5.055081961064079e-09,3.5867869683984446e-07,6.357414374515544e-07,6.531681385535034e-07,2.562718544717072e-07,7.230840664413097e-07,1.4741354678840503e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,5,301,19.576646877473273,191.17819216282493,277.6760797342193,9.965116279069766,2711.680466154485,97.31558866279069,0,0,0,2.711680466154485e-06,9.731558866279069e-08,301.0,2.870559692382812e-14,2.875132854183941e-14,9.641878331592817e-09,1.1260816415348826e-08,8.178596483946322e-09,8.924704477303417e-10,9.558909608141245e-08,1.6942726145407686e-07,1.058406118205892e-07,8.927129439243604e-08,1.1825084606956871e-07,7.812446116286392e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,6,795,31.815490536285218,310.6981497684103,432.30880503144647,27.889937106918236,4221.765674135219,272.3626670597484,0,0,0,4.221765674135219e-06,2.723626670597484e-07,795.0,7.581710815429685e-14,7.703730429556535e-14,1.3591245593221015e-08,2.3360415034927938e-08,8.18490263800302e-09,3.607043848820996e-09,1.5534907488420517e-07,2.753490660131188e-07,2.5307138905932157e-07,1.1650374967002181e-07,2.687618986485202e-07,8.088441258436521e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,7,162,14.361922094451577,140.2531454536287,131.12345679012347,39.02469135802468,1280.5025077160494,381.1005015432098,0,0,0,1.2805025077160494e-06,3.811005015432098e-07,162.0,1.5449523925781246e-14,1.5646331405113128e-14,1.1483551315218804e-08,1.486790095972143e-08,8.187412844788081e-09,1.8571899786727868e-09,7.012657272681434e-08,1.242961138804478e-07,9.796507827440386e-08,5.048497209717071e-08,1.0066188679855609e-07,4.630886514188062e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,8,237,17.371176474327626,169.64039525710572,320.61392405063293,50.65611814345991,3130.995352056962,494.6886537447257,0,0,0,3.130995352056962e-06,4.946886537447257e-07,237.0,2.260208129882812e-14,2.3102864975684914e-14,1.3850570309334263e-08,2.095964532888461e-08,8.17645017447758e-09,3.8616173188100885e-09,8.482019762855286e-08,1.503398859212954e-07,9.588687926382145e-08,7.66958657046383e-08,1.0461373521450134e-07,6.841270143055588e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,9,86,10.464157913908982,102.1890421280174,337.8953488372093,52.23255813953487,3299.759265988372,510.0835755813953,0,0,0,3.299759265988372e-06,5.100835755813953e-07,86.0,8.201599121093748e-15,8.217364901458526e-15,9.044935102722617e-09,9.821181993036508e-09,8.230629708689619e-09,5.007286335525315e-10,5.10945210640087e-08,9.056268062007523e-08,7.43555548742412e-08,3.5537072770864925e-08,7.723105414484575e-08,3.145696431188331e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,10,22,5.292567428401227,51.68522879298074,127.45454545454544,57.27272727272727,1244.6732954545453,559.3039772727273,0,0,0,1.2446732954545453e-06,5.593039772727273e-07,22.0,2.0980834960937495e-15,2.1157555954666135e-15,8.978355136407435e-09,1.0212281364102945e-08,8.40267267093483e-09,5.223003305768946e-10,2.5842614396490367e-08,4.5804841404525675e-08,2.9470941035000196e-08,2.3423900988891064e-08,3.275553382021857e-08,1.855542413532357e-08
