source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,1,57613,270.8415586479057,2644.9370961709537,257.4817575894329,148.99218058424313,2514.470288959306,1455.0017635179993,0,0,0,2.514470288959306e-06,1.4550017635179992e-06,57613.0,5.494403839111327e-12,6.4766553060783175e-12,1.53508392491576e-07,3.6253190688863993e-07,3.943404464773765e-08,1.032870183147347e-07,1.322468548085477e-06,2.3440144707555298e-06,2.718658748534237e-06,7.828358100219055e-07,2.958994250041645e-06,7.11443179261943e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,2,2583,57.347866081057674,560.0377546978289,31.616918312040262,53.67073170731707,308.7589678910182,524.1282393292682,0,0,0,3.087589678910182e-07,5.241282393292682e-07,2583.0,2.463340759277343e-13,2.497241787059322e-13,4.809617554757051e-08,7.113763098157021e-08,3.944405351403605e-08,6.950721969374306e-09,2.800188773489144e-07,4.963205374833227e-07,4.08469670307962e-07,2.0965286718899078e-07,4.799994099614275e-07,1.7196294965212568e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,3,1,1.1283791670955126,11.019327803667116,105.5,51.49999999999999,1030.2734375,502.92968749999994,0,0,0,1.0302734375e-06,5.029296874999999e-07,1.0,9.536743164062498e-17,9.685379908594723e-17,4.0425866824542764e-08,4.0425866824542764e-08,4.0425866824542764e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,4,24,5.527906391541368,53.98346085489617,107.37499999999997,53.999999999999986,1048.5839843749998,527.3437499999999,0,0,0,1.0485839843749998e-06,5.273437499999999e-07,24.0,2.2888183593749996e-15,2.294381835978335e-15,3.970598729956037e-08,4.0568463346648666e-08,3.945992894476647e-08,3.341070671528527e-10,2.6991730427448084e-08,4.784159653873394e-08,3.862272537052767e-08,2.17598181378196e-08,4.149739300666277e-08,1.5257201231518192e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,5,1,1.1283791670955126,11.019327803667116,108.49999999999997,58.499999999999986,1059.5703124999998,571.2890624999999,0,0,0,1.0595703124999998e-06,5.712890624999999e-07,1.0,9.536743164062498e-17,9.553829697381103e-17,3.961709843083382e-08,3.961709843083382e-08,3.961709843083382e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,6,1,1.1283791670955126,11.019327803667116,113.5,62.499999999999986,1108.3984375,610.3515624999999,0,0,0,1.1083984375e-06,6.103515624999999e-07,1.0,9.536743164062498e-17,9.639343208203095e-17,3.965748093966236e-08,3.965748093966236e-08,3.965748093966236e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,7,1,1.1283791670955126,11.019327803667116,49.5,71.49999999999999,483.3984375,698.2421874999999,0,0,0,4.833984375e-07,6.982421874999999e-07,1.0,9.536743164062498e-17,9.6381495802058e-17,3.970270217627801e-08,3.970270217627801e-08,3.970270217627801e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024971e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,8,23,5.4115163798060095,52.84683964654306,146.80434782608697,78.45652173913044,1433.6362092391305,766.1769701086956,0,0,0,1.4336362092391304e-06,7.661769701086956e-07,23.0,2.1934509277343745e-15,2.203142686818965e-15,3.9850407157520074e-08,4.061968729810146e-08,3.9613807346623466e-08,2.3110935903247582e-10,2.642341982327153e-08,4.683429221985077e-08,3.8244684394681256e-08,1.9612955862956797e-08,4.201973770854037e-08,1.5437060586045345e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,9,19,4.918490759365935,48.03213632193296,90.23684210526315,87.18421052631578,881.2191611842105,851.4083059210526,0,0,0,8.812191611842105e-07,8.514083059210526e-07,19.0,1.8119812011718747e-15,1.8215066104572487e-15,4.004732923126529e-08,4.089125364275203e-08,3.949702479528238e-08,4.1382124308584377e-10,2.401606816096648e-08,4.2567372495514386e-08,2.686248946377066e-08,2.228120402267014e-08,3.0886099340217584e-08,1.7783416351315076e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,10,1,1.1283791670955126,11.019327803667116,56.5,92.49999999999999,551.7578125,903.3203124999999,0,0,0,5.517578125e-07,9.033203124999999e-07,1.0,9.536743164062498e-17,9.57094503444117e-17,3.953256124249063e-08,3.953256124249063e-08,3.953256124249063e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
