source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,1,6648,92.00269829412267,898.4638505285417,23.577015643802643,76.67554151624549,230.2442933965102,748.7845851195848,0,0,0,2.302442933965102e-07,7.487845851195848e-07,6648.0,6.340026855468749e-13,1.1965756079222135e-12,2.2419163802745529e-07,1.0933802989967817e-06,4.390329100945114e-09,2.2576543598804959e-07,4.492319252642708e-07,7.962428558843557e-07,1.166963001963751e-06,2.6414912536820686e-07,1.4146205721570988e-06,2.9732811465499725e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,2,59094,274.3005972588826,2678.7167701062754,380.20771990388187,278.9260838663824,3712.9660146863466,2723.8875377576405,0,0,0,3.7129660146863466e-06,2.7238875377576404e-06,59094.0,5.635643005371093e-12,6.305121809552949e-12,7.050055361486704e-08,2.9116540126415837e-07,4.325851191671963e-09,4.142436384477631e-08,1.3393583850531375e-06,2.3739509273300265e-06,2.680580270398095e-06,7.586100082844118e-07,2.8023615506810125e-06,7.051098153820275e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,3,21837,166.74451096927223,1628.3643649342991,247.37383798140766,83.87505151806567,2415.7601365371843,819.09229998111,0,0,0,2.415760136537184e-06,8.1909229998111e-07,21837.0,2.0825386047363277e-12,2.799266956049792e-12,1.5973953240353867e-07,3.587462787479157e-07,4.346070912576744e-09,8.880808200840594e-08,8.141821824671495e-07,1.4431003446525567e-06,9.027043469586507e-07,7.489031081168799e-07,9.616993716945e-07,5.861671702847244e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,4,25535,180.31131904240615,1760.8527250234977,100.05981985510084,254.5508321911102,977.1466782724692,2485.8479706163107,0,0,0,9.771466782724692e-07,2.4858479706163106e-06,25535.0,2.4352073669433588e-12,3.4221196068964008e-12,1.0988421663052697e-07,4.320565155072387e-07,4.329539808587333e-09,8.232596262764763e-08,8.804263625117488e-07,1.5605150966726848e-06,1.4808743502872e-06,6.981575299449321e-07,2.012078189451198e-06,5.20325853282725e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,5,2,1.5957691216057308,15.583682828180965,93.5,129.0,913.0859375,1259.765625,0,0,0,9.130859375e-07,1.259765625e-06,2.0,1.9073486328124996e-16,3.441108569872065e-16,7.745964454718159e-09,7.745964454718159e-09,7.745964454718159e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,6,4,2.256758334191025,22.03865560733423,89.5,139.0,874.0234375,1357.421875,0,0,0,8.740234375e-07,1.357421875e-06,4.0,3.814697265624999e-16,6.898684558846366e-16,6.039354200320431e-09,7.297644330370584e-09,5.61164955823179e-09,7.265448281216406e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.6232122770097598e-08,7.991119038803e-09,1.7605230837226557e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,7,10,3.5682482323055424,34.84617414360881,156.3,295.0,1526.3671875,2880.859375,0,0,0,1.5263671875e-06,2.880859375e-06,10.0,9.536743164062499e-16,9.829017890178719e-16,5.3205482711135585e-09,6.456363040266805e-09,4.5175414045789e-09,6.184496631061217e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.0429474219059984e-08,1.5392047168756516e-08,2.1841771145658923e-08,1.2202142250631187e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,8,797,31.85548488335917,311.08871956405443,233.60790464240904,314.8826850690088,2281.327193773526,3075.026221377039,0,0,0,2.2813271937735257e-06,3.075026221377039e-06,797.0,7.60078430175781e-14,8.431305676993524e-14,1.130370838419392e-08,2.3848008833332883e-08,4.446163113164579e-09,4.849844751735695e-09,1.555443597820272e-07,2.7569519948228713e-07,1.9382013609577117e-07,1.361424033441988e-07,2.220840232783568e-07,8.95258148701701e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,9,4,2.256758334191025,22.03865560733423,215.0,310.0,2099.609375,3027.34375,0,0,0,2.099609375e-06,3.02734375e-06,4.0,3.814697265624999e-16,4.3113047697018625e-16,4.903827976085335e-09,6.041384097469528e-09,4.524642602290605e-09,6.567683328994701e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320050091e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,10,1,1.1283791670955126,11.019327803667116,248.5,309.49999999999994,2426.7578125,3022.4609374999995,0,0,0,2.4267578125e-06,3.0224609374999997e-06,1.0,9.536743164062498e-17,9.803659468305468e-17,4.332427727141716e-09,4.332427727141716e-09,4.332427727141716e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025195e-09,4.8779296875e-09
