source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,1,4999,79.78047683569633,779.106219098597,11.962892578515701,110.85467093418686,116.8251228370674,1082.5651458416685,0,0,0,1.168251228370674e-07,1.0825651458416684e-06,4999.0,4.767417907714842e-13,6.842897857322612e-13,1.5554777610683607e-07,4.707332042211974e-07,5.5440956601741066e-08,8.826217124216932e-08,3.895531095492985e-07,6.904649091528724e-07,1.3886521614713952e-06,1.422393743854016e-07,1.3060390812082092e-06,1.8203688125459642e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,2,54224,262.75490684993775,2565.9658872064233,152.7827345824727,202.56919445264086,1492.0188924069598,1978.2147895765709,0,0,0,1.4920188924069597e-06,1.978214789576571e-06,54224.0,5.171203613281249e-12,6.610359878870546e-12,1.9233498029501254e-07,4.949663093258822e-07,5.543949216151308e-08,9.238304270620474e-08,1.2829829436032117e-06,2.2740280590356067e-06,2.0411298282575196e-06,8.849973903391379e-07,2.1616812579452677e-06,7.063331015462117e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,3,9966,112.6459289225786,1100.0578996345566,330.11880393337344,46.96688741721854,3223.81644466185,458.6610099337748,0,0,0,3.22381644466185e-06,4.586610099337748e-07,9966.0,9.504318237304685e-13,1.3401246875416493e-12,2.3183425706431105e-07,4.2696563147184367e-07,5.54309914026362e-08,9.39596377758375e-08,5.500289498172784e-07,9.749009302131518e-07,7.689147607113678e-07,4.0705116906541925e-07,9.286596837549532e-07,4.0870195699199607e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,4,1,1.1283791670955126,11.019327803667116,446.4999999999999,0.5,4360.351562499999,4.8828125,0,0,0,4.360351562499999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.581960064159117e-17,5.5615348641129386e-08,5.5615348641129386e-08,5.5615348641129386e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,5,4,2.256758334191025,22.03865560733423,424.0,5.999999999999999,4140.625,58.59374999999999,0,0,0,4.140625e-06,5.8593749999999995e-08,4.0,3.814697265624999e-16,3.8219905871429783e-16,5.5557554875234655e-08,5.564664146101e-08,5.5466730176283434e-08,8.909506318429764e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320050073e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,6,46,7.653039857325812,74.73671735669738,444.47826086956513,12.826086956521738,4340.608016304347,125.2547554347826,0,0,0,4.340608016304347e-06,1.252547554347826e-07,46.0,4.386901855468749e-15,4.755259299075338e-15,5.9182356084520376e-08,6.208808805122933e-08,5.559151609853925e-08,2.017341337516175e-09,3.736835867834869e-08,6.623369124145769e-08,5.355716977331292e-08,2.6462336715318282e-08,5.4592066475609626e-08,2.4413118224754534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,7,1384,41.97813156768016,409.94269109062657,245.50650289017338,54.67774566473989,2397.5244422868495,533.9623600072255,1,1,0,2.3975244422868497e-06,5.339623600072254e-07,1384.0,1.3198852539062497e-13,1.489319437760373e-13,9.007435798502414e-08,1.2918954300149522e-07,5.5438663452717365e-08,2.0710425550563003e-08,2.0497134554531324e-07,3.633022507370756e-07,2.315350317347007e-07,1.8168235555912151e-07,2.3706048228660782e-07,1.7826153672296337e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,8,686,29.554057719513263,288.6138449171217,471.43294460641397,110.56851311953355,4603.837349672011,1079.7706359329447,0,0,0,4.603837349672011e-06,1.0797706359329447e-06,686.0,6.542205810546873e-14,6.794987028165638e-14,6.150613374456704e-08,7.21638820800384e-08,5.544696742134545e-08,4.464457670668408e-09,1.4430692245856085e-07,2.5577736042399985e-07,3.1412256565950864e-07,7.982186269933372e-08,3.572820630534066e-07,6.719440345716384e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,9,37,6.863662517577698,67.0279542732197,335.9594594594595,121.28378378378379,3280.8540962837837,1184.4119510135135,0,0,0,3.2808540962837837e-06,1.1844119510135134e-06,37.0,3.5285949707031243e-15,3.652588566682536e-15,5.776596246271648e-08,5.982025980767323e-08,5.556372960094277e-08,1.1333989141769463e-09,3.351397713660985e-08,5.9401977834943545e-08,3.7384818240287016e-08,3.038213757983727e-08,4.2023236954285756e-08,2.7712099968604478e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,10,1350,41.45929793656026,404.8759564117213,320.94962962962956,195.20444444444442,3134.2737268518513,1906.2934027777776,1,1,0,3.1342737268518513e-06,1.9062934027777777e-06,1350.0,1.2874603271484373e-13,1.53014381097981e-13,8.487248384597295e-08,1.3463481878645777e-07,5.5457947837625554e-08,2.1224588316236162e-08,2.0243797820586061e-07,3.5881197404050457e-07,3.4860156477973834e-07,1.2059467361661138e-07,3.585867772189193e-07,1.3056881381027272e-07
