source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,1,22565,169.50118090134046,1655.284969739653,46.16993130955018,351.9592510525149,450.878235444826,3437.102061059716,0,0,0,4.50878235444826e-07,3.437102061059716e-06,22565.0,2.1519660949707026e-12,2.840557929383091e-12,1.093337634411879e-07,4.290101968234646e-07,9.275365814896743e-09,7.9798586985829e-08,8.276424848698265e-07,1.4669581094805341e-06,2.2981169175642213e-06,4.328526709931876e-07,2.5969996794101987e-06,4.134387172927394e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,2,23494,172.9551672081754,1689.015304767338,132.5078317868392,151.5952583638376,1294.0217947933515,1480.4224449593514,0,0,0,1.2940217947933515e-06,1.4804224449593514e-06,23494.0,2.2405624389648433e-12,2.940842194545234e-12,1.2826666531242339e-07,2.8571877966000237e-07,9.257437317100949e-09,7.267531208190222e-08,8.445076523836689e-07,1.4968508405866108e-06,1.6478071196915188e-06,4.5336352336310423e-07,1.7188168318259189e-06,4.790335624145742e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,3,8099,101.547856071953,991.6782819526661,292.84843807877513,42.10488949252994,2859.8480281130383,411.1805614504877,0,0,0,2.859848028113038e-06,4.111805614504877e-07,8099.0,7.723808288574217e-13,8.790971136407467e-13,7.057627169394025e-08,1.6631700485117571e-07,9.264098233316467e-09,4.055508022597729e-08,4.95839140976333e-07,8.788519948531844e-07,5.443714356000763e-07,5.028094118594067e-07,6.753780196847318e-07,2.7348262892188275e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,4,11668,121.88584416563671,1190.291446930046,448.3279053822421,77.70440521083304,4378.202200998458,758.8320821370414,0,0,0,4.378202200998457e-06,7.588320821370414e-07,11668.0,1.1127471923828123e-12,1.3538074878415028e-12,8.347312246265627e-08,2.944541621152414e-07,9.276705003668028e-09,5.5481131121966456e-08,5.951457234650231e-07,1.0548683294055294e-06,1.0185547543366866e-06,3.9727192389051893e-07,1.1229780651924898e-06,2.91064812638976e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,5,4,2.256758334191025,22.03865560733423,33.0,33.99999999999999,322.265625,332.03124999999994,0,0,0,3.22265625e-07,3.3203124999999997e-07,4.0,3.814697265624999e-16,3.8395256580978543e-16,9.990162998672275e-09,1.0188984895048266e-08,9.681153053889053e-09,2.1354355406905285e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049755e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,6,1158,38.39806496170502,374.9811031416506,347.81174438687384,92.77979274611397,3396.599066278065,906.0526635362693,1,1,0,3.3965990662780653e-06,9.060526635362693e-07,1158.0,1.1043548583984373e-13,1.180448990468407e-13,3.093395270496635e-08,5.154252054044266e-08,9.267750254037543e-09,1.2025320513942473e-08,1.8749055157082528e-07,3.3231835014010846e-07,2.0394033256909105e-07,1.7284958279477367e-07,2.0862422979543836e-07,1.6388229625674649e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,7,262,18.26441241104166,178.36340245157874,190.77862595419847,94.51908396946564,1863.0725190839694,923.0379293893129,0,0,0,1.8630725190839693e-06,9.230379293893129e-07,262.0,2.4986267089843743e-14,3.070637584662992e-14,3.075276153111384e-08,5.0307108223484074e-08,9.29542275027156e-09,1.1678286080742333e-08,8.918170122578936e-08,1.580704497679555e-07,1.0718754972110198e-07,7.440407861420502e-08,1.1164613018767733e-07,6.917751854722884e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,8,7065,94.84427965646597,926.2136685201755,429.1922859164897,188.27169143665958,4191.33091715322,1838.5907366861286,0,0,0,4.19133091715322e-06,1.8385907366861286e-06,7065.0,6.737709045410155e-13,7.1836801500674e-13,4.6187017487993234e-08,1.0912269033826214e-07,9.275198981093266e-09,2.709523076127716e-08,4.631068342600877e-07,8.20835491764955e-07,6.027048773448463e-07,3.9286215163386435e-07,6.952424019514165e-07,3.1775182253528606e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,9,42661,233.06152024293237,2275.9914086223866,298.1440542884602,351.26639084878457,2911.5630301607443,3430.335848132662,0,0,0,2.911563030160744e-06,3.430335848132662e-06,42661.0,4.068470001220702e-12,4.781035151428377e-12,7.415162968569717e-08,2.504206234075047e-07,9.2585413654911e-09,5.636436307765129e-08,1.1379957043111932e-06,2.0170448684203092e-06,1.5828928283006115e-06,1.0859021869442898e-06,1.946652977212678e-06,4.005182019763211e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,10,264,18.333991376950163,179.04288454052895,64.01893939393939,193.47727272727272,625.1849550189394,1889.4264914772725,0,0,0,6.251849550189394e-07,1.8894264914772725e-06,264.0,2.5177001953124995e-14,2.694390772074783e-14,1.6918764021073354e-08,2.7834296982416345e-08,9.43559950198538e-09,4.856731787632821e-09,8.952144227026446e-08,1.5867262509054607e-07,1.5375032441732553e-07,5.457178482097773e-08,1.490930716051189e-07,4.5016033675921107e-08
