source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,1,2775,59.44106103225342,580.4791116430998,12.977837837837837,49.2236036036036,126.73669763513513,480.6992539414414,0,0,0,1.2673669763513513e-07,4.806992539414414e-07,2775.0,2.646446228027343e-13,3.9900333702109234e-13,2.2880418029447448e-07,3.570927602788149e-07,8.407405922956696e-08,7.67992397054402e-08,2.902395558215499e-07,5.144362184010126e-07,5.942022349448126e-07,1.4841344372954655e-07,5.886780129661844e-07,1.5329573830418907e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,2,114,12.047792665040703,117.65422524453811,407.27192982456137,20.807017543859647,3977.2649396929824,203.19353070175438,0,0,0,3.977264939692982e-06,2.0319353070175438e-07,114.0,1.0871887207031248e-14,1.1133575254057046e-14,8.759152983718454e-08,9.264565750488198e-08,8.410618380910272e-08,2.1393310169892333e-09,5.882711262226905e-08,1.0426834230499326e-07,8.903867123269066e-08,3.9455015833659766e-08,8.803185836081631e-08,3.4383635308975767e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,3,1328,41.12009381565534,401.56341616850915,310.3817771084337,68.71385542168674,3031.072042074548,671.0337443524096,1,1,0,3.031072042074548e-06,6.710337443524096e-07,1328.0,1.2664794921874997e-13,1.4131176853703266e-13,1.0918815334125631e-07,1.392785917057541e-07,8.416639327489059e-08,1.372206301671807e-08,2.0078170808425456e-07,3.5587631168532413e-07,3.080016690553736e-07,1.3358490427596957e-07,2.96640324170594e-07,1.1816186472814587e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,4,34,6.579524642479541,64.25317033671426,418.9999999999999,84.49999999999999,4091.796874999999,825.1953124999999,0,0,0,4.091796874999999e-06,8.251953124999999e-07,34.0,3.2424926757812495e-15,3.2636294746246247e-15,8.480020145019914e-08,8.5578993393179e-08,8.412251793121582e-08,4.2195600549632175e-10,3.212658516835713e-08,5.694288959809863e-08,4.851927694838401e-08,2.2159757010949257e-08,4.809257844570448e-08,1.7953265597860776e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,5,315,20.026743534373637,195.57366732786755,401.8015873015873,98.46190476190476,3923.8436259920636,961.5420386904761,0,0,0,3.923843625992063e-06,9.615420386904761e-07,315.0,3.0040740966796866e-14,3.349994361329858e-14,9.900056682793806e-08,1.115026495240709e-07,8.410434689428792e-08,8.390496806774431e-09,9.778683366393377e-08,1.7332264989549654e-07,1.2878792100662087e-07,7.481592381816365e-08,1.3760789486846136e-07,7.258798213608454e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,6,11961,123.40671859577695,1205.1437362868842,467.176364852437,202.21298386422538,4562.26918801208,1974.736170549076,0,0,0,4.56226918801208e-06,1.974736170549076e-06,11961.0,1.1406898498535153e-12,1.3272360166260787e-12,1.7521532308843326e-07,2.6473630920168016e-07,8.414315365798746e-08,4.9693345700989354e-08,6.025718681434421e-07,1.0680308281381748e-06,8.002476735948938e-07,4.839436548468183e-07,9.749427549434478e-07,4.1537495289191183e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,7,213,16.46815177937675,160.82179472047608,299.5657276995305,127.5845070422535,2925.4465595657275,1245.942451584507,0,0,0,2.9254465595657274e-06,1.2459424515845069e-06,213.0,2.031326293945312e-14,2.2038887894148544e-14,9.530641920814588e-08,1.0683664217846631e-07,8.409265361500161e-08,6.809280135920888e-09,8.041089736023804e-08,1.425246046809221e-07,8.370524354212528e-08,7.749591936622017e-08,8.848164161974713e-08,7.288560203866341e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,8,74,9.706684619910241,94.79184199131095,1.527027027027027,232.51351351351352,14.91237331081081,2270.6397804054054,0,0,0,1.491237331081081e-08,2.2706397804054054e-06,74.0,7.0571899414062485e-15,1.3713077435293734e-14,1.1115511447432937e-07,1.4313340176149415e-07,8.411616942425231e-08,1.6576772978558745e-08,4.7395920995655476e-08,8.400708268596315e-08,1.2432781748664528e-07,1.9687874795239053e-08,1.4168649047555523e-07,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,9,22,5.292567428401227,51.68522879298074,81.36363636363636,253.5,794.5667613636363,2475.5859375,0,0,0,7.945667613636362e-07,2.4755859375e-06,22.0,2.0980834960937495e-15,2.116436279237702e-15,8.527661720373258e-08,8.624915086559994e-08,8.42155175166284e-08,5.485778910251772e-10,2.5842614396490367e-08,4.5804841404525675e-08,2.751054431172387e-08,2.470772578782702e-08,3.131070146818218e-08,2.0712007034166757e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,10,12,3.9088200952233594,38.17207124241562,90.74999999999999,255.08333333333334,886.2304687499999,2491.0481770833335,0,0,0,8.862304687499999e-07,2.4910481770833333e-06,12.0,1.1444091796874998e-15,1.1646555297214748e-15,8.49661584704259e-08,8.615379105027662e-08,8.437777695177303e-08,6.511075362609619e-10,1.908603562120781e-08,3.382911733532963e-08,2.194780036591698e-08,1.713013209266785e-08,2.466407334986893e-08,1.4648308536272938e-08
