source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,1,213,16.46815177937675,160.82179472047608,7.899061032863849,6.035211267605633,77.13926789906102,58.937610035211264,0,0,0,7.713926789906102e-08,5.893761003521126e-08,213.0,2.031326293945312e-14,2.861544461701412e-14,1.6695573994627155e-07,2.556029520960747e-07,1.256027133065266e-07,3.271275095634104e-08,8.041089736023804e-08,1.425246046809221e-07,1.2051150115265808e-07,6.161813614872184e-08,1.494652361896752e-07,5.225247244432523e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,2,47366,245.577409946285,2398.2168940066895,310.9794156145758,99.40138495967571,3036.908355611092,970.7166499968331,0,0,0,3.036908355611092e-06,9.70716649996833e-07,47366.0,4.517173767089843e-12,6.8666066042638725e-12,3.7671669714866147e-07,8.301218859142788e-07,1.2512068134474416e-07,1.4515979186917054e-07,1.1991084470033446e-06,2.125364384544411e-06,2.0825593913196227e-06,7.216800726663852e-07,2.3734063269820575e-06,6.97475139404373e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,3,17,4.652426491681278,45.43385245782498,511.02941176470586,4.26470588235294,4990.521599264705,41.647518382352935,0,0,0,4.9905215992647054e-06,4.164751838235294e-08,17.0,1.6212463378906247e-15,1.7523724386066846e-15,1.3088726628784423e-07,1.354205597163363e-07,1.2699423070844167e-07,2.732107667229585e-09,2.271692622891249e-08,4.0264703375172463e-08,4.781247099192016e-08,1.1073620800949453e-08,4.5022595340978306e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,4,96,11.055812783082736,107.96692170979235,88.91666666666666,116.125,868.3268229166666,1134.033203125,0,0,0,8.683268229166667e-07,1.134033203125e-06,96.0,9.155273437499998e-15,1.2432386082682564e-14,1.3952851595633682e-07,1.557512306775041e-07,1.25293134380137e-07,9.507727677160383e-09,5.398346085489617e-08,9.568319307746788e-08,6.142115111847562e-08,4.7907697128258464e-08,6.348017372614228e-08,4.1503906249999996e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,5,34699,210.190720448752,2052.6437543823436,78.84081673823454,323.99491339808066,769.9298509593216,3164.0128261531313,0,0,0,7.699298509593216e-07,3.164012826153131e-06,34699.0,3.309154510498046e-12,4.758055298648512e-12,3.0162260968096627e-07,1.0396741852300743e-06,1.2510154865293416e-07,1.628072219186385e-07,1.0263218771911718e-06,1.8191081634960705e-06,1.9260476317084337e-06,7.042774649326639e-07,1.9920273029588844e-06,4.71826822261182e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,6,13,4.068428945128219,39.73075141726777,75.49999999999999,133.49999999999997,737.3046874999999,1303.7109374999998,0,0,0,7.373046874999999e-07,1.3037109374999998e-06,13.0,1.2397766113281247e-15,1.3384522343109261e-15,1.2714226616714443e-07,1.287108218686215e-07,1.254795777626106e-07,1.1751066152258652e-09,1.986537570863388e-08,3.5210461674453015e-08,2.6391415697431657e-08,1.52110807261202e-08,2.8471444799049394e-08,1.4647734982400976e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,7,8,3.1915382432114616,31.16736565636193,248.375,144.62499999999997,2425.537109375,1412.3535156249998,0,0,0,2.425537109375e-06,1.4123535156249998e-06,8.0,7.629394531249998e-16,8.167225662927006e-16,1.266293992801698e-07,1.2744384173623364e-07,1.2579840765238326e-07,6.214489306540562e-10,1.5583682828180962e-08,2.762135864009951e-08,1.754916765209374e-08,1.4283987590965517e-08,2.071602317971125e-08,1.1440246734445752e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,8,680,29.42452872043851,287.3489132855323,322.1647058823529,220.55,3146.1397058823527,2153.80859375,0,0,0,3.1461397058823527e-06,2.15380859375e-06,680.0,6.484985351562499e-14,1.1312470242594911e-13,1.7358689053281647e-07,2.3176092642279584e-07,1.2512025220882185e-07,3.093868815565042e-08,1.4367445664276614e-07,2.5465634395322843e-07,2.573919473480099e-07,8.109471008493936e-08,2.6674244295438753e-07,7.686503020997069e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,9,14,4.222008245644752,41.23054927387454,127.28571428571429,215.14285714285708,1243.0245535714287,2101.0044642857138,0,0,0,1.2430245535714286e-06,2.101004464285714e-06,14.0,1.3351440429687497e-15,1.3993308646073124e-15,1.2656146911325714e-07,1.2820829859578802e-07,1.2547110231498302e-07,1.0682191537459263e-09,2.0615274636937265e-08,3.653962291771427e-08,2.350266677989456e-08,1.8597639158974075e-08,2.6295937822330733e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,10,4991,79.71661412637391,778.4825598278702,224.17681827289118,251.67331196153074,2189.226740946203,2457.747187124324,0,0,0,2.189226740946203e-06,2.4577471871243236e-06,4991.0,4.759788513183593e-13,9.854084134015491e-13,3.5534121894567796e-07,6.064338479865738e-07,1.2519062312639217e-07,1.3911503890502306e-07,3.892412799139351e-07,6.899122055148462e-07,4.519301133409758e-07,3.377473614060101e-07,4.630696198997001e-07,3.2973129193780306e-07
