source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,1,13374,130.49255025206637,1274.3413110553356,58.63219679976072,74.74084043666817,572.5800468726633,729.8910198893375,0,0,0,5.725800468726633e-07,7.298910198893375e-07,13374.0,1.2754440307617184e-12,1.4379245731154427e-12,4.559018874250767e-08,1.3886354779746208e-07,-8.263412680382363e-09,3.231058951827566e-08,6.371706555276677e-07,1.1293555820740067e-06,9.357005977634282e-07,4.919044158805182e-07,9.724857114168467e-07,3.017452871727781e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,2,5,2.5231325220201604,24.63996603535313,221.5,0.5,2163.0859375,4.8828125,0,0,0,2.1630859375e-06,4.8828124999999996e-09,5.0,4.768371582031249e-16,4.858477878006285e-16,-7.368823397594963e-09,-6.6180406166832435e-09,-7.945018531930277e-09,5.029018995718978e-10,1.2319983017676562e-08,2.183660134277138e-08,2.7867773100046154e-08,5.573554620009234e-09,2.489755621871504e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,3,49181,250.238274549718,2443.73314989959,173.79094569040888,197.81520302555862,1697.1772040078993,1931.7890920464708,0,0,0,1.6971772040078994e-06,1.931789092046471e-06,49181.0,4.690265655517577e-12,5.46768225805712e-12,8.049528696325247e-08,2.965129457037562e-07,-8.293365110778665e-09,6.609700873024021e-08,1.2218665749497948e-06,2.165702116062497e-06,2.443324548214997e-06,6.871981520924343e-07,2.474005894267506e-06,5.54250078877797e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,4,61730,280.3517025033049,2737.809594758837,350.9989308277984,305.9318645715211,3427.723933865219,2987.615864956261,0,0,0,3.427723933865219e-06,2.9876158649562608e-06,61730.0,5.88703155517578e-12,7.043859108948014e-12,6.569027732771216e-08,2.434983425699609e-07,-8.28771798256635e-09,5.081587371397493e-08,1.3689047973794185e-06,2.4263205796381853e-06,2.6341245692268972e-06,9.83513516659679e-07,2.9883011024497595e-06,4.7056236627844605e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,5,40,7.136496464611085,69.69234828721763,508.225,2.6499999999999995,4963.134765625,25.878906249999996,0,0,0,4.963134765625e-06,2.5878906249999997e-08,40.0,3.8146972656249994e-15,4.311188014378603e-15,1.7533000237192462e-09,1.1870679403805899e-08,-7.047786730744154e-09,5.485162488105966e-09,3.484617414360881e-08,6.176323555016365e-08,4.048285599184966e-08,3.099910941570745e-08,4.606449029511668e-08,2.612703121703175e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,6,3,1.9544100476116797,19.08603562120781,217.5,6.499999999999999,2124.0234375,63.47656249999999,0,0,0,2.1240234375e-06,6.34765625e-08,3.0,2.8610229492187495e-16,2.892295934397792e-16,-7.555402209252448e-09,-7.435294250719231e-09,-7.795618126318882e-09,1.6985830390662087e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540985e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,7,518,25.68147355921802,250.79564022673847,181.3378378378378,70.08687258687257,1770.877322635135,684.4421151061775,0,0,0,1.770877322635135e-06,6.844421151061775e-07,518.0,4.940032958984374e-14,5.17207716828676e-14,2.9469004194169837e-09,1.663973182345354e-08,-8.23298868942359e-09,6.67462155448952e-09,1.2539782011336922e-07,2.2226184915509845e-07,1.430418810388971e-07,1.1069810091031562e-07,1.4975695402019517e-07,1.0224049421495899e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,8,339,20.775663783985824,202.88734164048657,406.58259587020643,138.4410029498525,3970.5331627949845,1351.9629194321533,0,0,0,3.970533162794985e-06,1.3519629194321532e-06,339.0,3.232955932617187e-14,3.551425801208179e-14,5.786325711292477e-09,1.9617702359052642e-08,-8.194086330366257e-09,7.668833675745833e-09,1.0144367082024328e-07,1.7980422499533172e-07,1.2307432370338155e-07,8.388258785707232e-08,1.2732923578760739e-07,7.776159011372127e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,9,125,12.6156626101008,123.19983017676563,209.348,228.788,2044.4140625,2234.2578125,0,0,0,2.0444140625e-06,2.2342578125e-06,125.0,1.1920928955078123e-14,1.2724428736077988e-14,-7.006206398219605e-10,8.660548635375873e-09,-8.288356458789373e-09,4.862072356409864e-09,6.159991508838281e-08,1.0918300671385691e-07,6.72801490923649e-08,5.675234279577326e-08,7.153343413831927e-08,5.201971218365764e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,10,8,3.1915382432114616,31.16736565636193,439.0,377.49999999999994,4287.109375,3686.5234374999995,0,0,0,4.287109375e-06,3.6865234374999997e-06,8.0,7.629394531249998e-16,7.689687668708037e-16,-7.78626324463507e-09,-7.370652387012161e-09,-8.154657572358098e-09,3.404810976183638e-10,1.5583682828180962e-08,2.762135864009951e-08,1.742880068080589e-08,1.458198084006017e-08,2.0132351687586338e-08,1.0915895733353843e-08
