source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,1,4056,71.86278309003778,701.7849911136502,17.545857988165675,67.8456607495069,171.34626941568044,662.5552807569034,0,0,0,1.7134626941568044e-07,6.625552807569034e-07,4056.0,3.8681030273437493e-13,8.011528782475132e-13,1.9274831171083584e-07,6.239752755770081e-07,1.745972396922559e-08,1.6418816502512432e-07,3.508924955568251e-07,6.219407550035413e-07,6.641383624924431e-07,2.038996993829267e-07,7.213259053995729e-07,1.922309812116422e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,2,48828,249.33860609686684,2434.947325164715,269.24430654542476,191.4888178913738,2629.3389311076635,1870.0079872204471,0,0,0,2.6293389311076637e-06,1.870007987220447e-06,48828.0,4.656600952148437e-12,8.77013052206623e-12,2.1338743894652944e-07,6.443251274912848e-07,1.746352496044449e-08,1.3477336575481137e-07,1.2174736625823575e-06,2.1579158816201425e-06,2.547891256297996e-06,6.740558793687121e-07,2.5722631230714757e-06,4.6291019276534394e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,3,4,2.256758334191025,22.03865560733423,196.0,1.0,1914.0625,9.765625,0,0,0,1.9140625e-06,9.765624999999999e-09,4.0,3.814697265624999e-16,8.047509541025344e-16,1.792052717755375e-08,1.7996779944763008e-08,1.784427441034449e-08,7.625276720925821e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049774e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,4,5699,85.18328571642263,831.8680245744398,318.9184944727145,23.9999122653097,3114.438422585102,234.37414321591504,0,0,0,3.114438422585102e-06,2.3437414321591505e-07,5699.0,5.434989929199217e-13,6.86216205347786e-13,1.0554029216952315e-07,2.7767181876614226e-07,1.7457266989911554e-08,6.66746265071913e-08,4.1593401228721986e-07,7.37223841801065e-07,6.582956083190857e-07,2.8868880861044324e-07,7.459514777327698e-07,2.291304291741975e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,5,2726,58.913928734621436,575.3313352990375,402.65884079236963,59.561628760088034,3932.215242112985,581.6565308602347,0,0,0,3.932215242112985e-06,5.816565308602347e-07,2726.0,2.599716186523437e-13,3.541150662055927e-13,6.651688063073207e-08,1.415020304718606e-07,1.745622633549332e-08,2.9582391372510034e-08,2.876656676495187e-07,5.098741203986958e-07,3.187125830453136e-07,2.6382972464209767e-07,3.49656851729106e-07,2.1317454180494216e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,6,2,1.5957691216057308,15.583682828180965,117.49999999999997,30.0,1147.4609374999998,292.96875,0,0,0,1.1474609374999998e-06,2.9296875e-07,2.0,1.9073486328124996e-16,2.6146195713969454e-16,1.7973981171676376e-08,1.7973981171676376e-08,1.7973981171676376e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385672e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,7,5,2.5231325220201604,24.63996603535313,114.09999999999998,32.3,1114.2578124999998,315.42968749999994,0,0,0,1.1142578124999999e-06,3.1542968749999994e-07,5.0,4.768371582031249e-16,7.675266539226144e-16,2.027215668890608e-08,2.1857781920694224e-08,1.9215073201047317e-08,1.2946575803877526e-09,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453883e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,8,355,21.260292528114064,207.6200442198639,502.86901408450694,40.888732394366194,4910.830215669013,399.30402728873236,0,0,0,4.910830215669013e-06,3.9930402728873233e-07,355.0,3.385543823242187e-14,4.6693898784596985e-14,4.578199363174139e-08,1.22160491824307e-07,1.7503513081756907e-08,2.2248390974841838e-08,1.0381002210993195e-07,1.8399847345133566e-07,1.3789617520217907e-07,9.174874669195085e-08,1.7882634301496714e-07,6.835859064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,9,5,2.5231325220201604,24.63996603535313,109.9,33.7,1073.2421875,329.1015625,0,0,0,1.0732421875e-06,3.291015625e-07,5.0,4.768371582031249e-16,8.432586920323556e-16,1.8758633528549666e-08,1.8758633528549666e-08,1.8758633528549666e-08,0.0,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.760585040145372e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,10,6217,88.9703897351164,868.8514622569961,477.8976194305935,109.10945793791215,4666.96893975189,1065.5220501749234,0,0,0,4.66696893975189e-06,1.0655220501749235e-06,6217.0,5.928993225097655e-13,9.58819815740139e-13,1.3912765692924564e-07,3.1571257335835283e-07,1.7517939739156832e-08,7.029082768101081e-08,4.3442573112849805e-07,7.699995600711507e-07,5.725673589793409e-07,3.3346654282798994e-07,5.927567819174745e-07,3.011882686355243e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,11,10,3.5682482323055424,34.84617414360881,43.8,61.29999999999999,427.73437499999994,598.6328124999999,0,0,0,4.277343749999999e-07,5.986328124999999e-07,10.0,9.536743164062499e-16,1.1117049671410403e-15,2.051177249075772e-08,2.2521677279033777e-08,1.7544351749483476e-08,1.4562820866410016e-09,1.7423087071804404e-08,3.0881617775081825e-08,2.4474798491652672e-08,1.3112798641038118e-08,2.629516918130493e-08,1.0375012514594433e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,12,2,1.5957691216057308,15.583682828180965,431.0,68.5,4208.984375,668.9453125,0,0,0,4.208984375e-06,6.689453125e-07,2.0,1.9073486328124996e-16,4.990960467966527e-16,2.2176459597506183e-08,2.577290007577588e-08,1.8580019119236485e-08,3.5964404782696983e-09,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385342e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,13,2,1.5957691216057308,15.583682828180965,430.0,70.49999999999999,4199.21875,688.4765624999999,0,0,0,4.19921875e-06,6.884765624999999e-07,2.0,1.9073486328124996e-16,3.1286871941526196e-16,2.0732076819640485e-08,2.0732076819640485e-08,2.0732076819640485e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.09183006713861e-08,4.8779296875e-09
