source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,1,17488,149.2193457911156,1457.2201737413632,235.89855901189387,92.3685956084172,2303.696865350526,902.0370664884491,0,0,0,2.303696865350526e-06,9.020370664884491e-07,17488.0,1.6677856445312497e-12,2.4530810428607735e-12,3.1346406605642386e-07,4.76845482915246e-07,6.478340825506476e-08,1.1178438976715567e-07,7.286100868706815e-07,1.291427754282542e-06,1.0468828693417457e-06,5.186188711908e-07,1.0068664543807088e-06,4.6187959255976274e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,2,93,10.881694613449236,106.2665489594652,356.95161290322574,2.5215053763440856,3485.855594758064,24.624075940860212,0,0,0,3.485855594758064e-06,2.4624075940860213e-08,93.0,8.869171142578122e-15,9.594368252831996e-15,7.427395314826049e-08,8.668654456467025e-08,6.47623565486891e-08,6.246280158907695e-09,5.31332744797326e-08,9.417627696282181e-08,9.542023828550478e-08,3.0931194681035715e-08,1.0265562017210855e-07,2.929609064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,3,15937,142.4486525890796,1391.1001229402302,55.6543577837736,147.22196774800778,543.4995877321641,1437.7145287891385,0,0,0,5.434995877321641e-07,1.4377145287891384e-06,15937.0,1.5198707580566403e-12,1.8201737993513487e-12,1.5319507264051727e-07,2.841146621313205e-07,6.474022225489516e-08,5.698932422724197e-08,6.955500614701151e-07,1.2328303849502737e-06,1.255417777490104e-06,4.207854314872541e-07,1.3395833239283786e-06,3.8757739488762886e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,4,28163,189.36273471403075,1849.2454561917066,463.97157618151476,321.4767070269502,4530.972423647605,3139.4209670600603,0,0,0,4.530972423647605e-06,3.1394209670600605e-06,28163.0,2.685832977294921e-12,3.5174191056380934e-12,2.1441890543747553e-07,9.8864476853729e-07,6.475613871543459e-08,1.8070541029338403e-07,9.246227280958533e-07,1.6388511150482588e-06,2.1149791529410822e-06,4.743686459083626e-07,2.2682593887495327e-06,4.202628257938365e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,5,107,11.67204486311899,113.98481311639638,509.48130841121497,113.2757009345794,4975.403402453271,1106.208016939252,0,0,0,4.975403402453271e-06,1.1062080169392521e-06,107.0,1.0204315185546873e-14,1.1396085741374155e-14,7.571208104842707e-08,9.268160328713496e-08,6.508861633619743e-08,7.480457062971192e-09,5.6992406558198195e-08,1.0101641047645116e-07,1.0958752209901627e-07,3.151846385518704e-08,1.2216841412841158e-07,2.9499742379993026e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,6,230,17.112717355495807,167.11638042476375,223.0478260869565,218.23913043478257,2178.2014266304345,2131.2415081521735,0,0,0,2.1782014266304344e-06,2.1312415081521735e-06,230.0,2.1934509277343744e-14,2.3199897726525556e-14,7.38842851092817e-08,8.376479729708705e-08,6.48807515933116e-08,5.527572378409151e-09,8.355819021238187e-08,1.4810303601663182e-07,9.573645538167519e-08,7.327819070851704e-08,9.959073191389054e-08,6.84127584907551e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,7,902,33.88896677904354,330.9469412015971,293.9733924611973,261.940133037694,2870.83391075388,2558.0091116962303,0,0,0,2.87083391075388e-06,2.55800911169623e-06,902.0,8.602142333984373e-14,9.187985389966147e-14,8.498652253371789e-08,1.0818248599717414e-07,6.475204629603949e-08,1.2177854282259037e-08,1.6547347060079854e-07,2.9329409018908604e-07,1.8589944318791964e-07,1.476400681508242e-07,1.8784866003650364e-07,1.376185262816119e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,8,5502,83.6980523974893,817.3637929442315,257.659760087241,331.31297709923666,2516.208594601963,3235.478291984733,0,0,0,2.516208594601963e-06,3.235478291984733e-06,5502.0,5.247116088867186e-13,5.483830005982135e-13,8.280959615894546e-08,1.1083167623303938e-07,6.473922707223825e-08,1.2216270352992982e-08,4.0868189647211576e-07,7.243698011973709e-07,1.0209414310133116e-06,1.7475422495789058e-07,1.1344808375418018e-06,1.7653389230122148e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,9,8,3.1915382432114616,31.16736565636193,376.125,311.87499999999994,3673.095703125,3045.6542968749995,0,0,0,3.673095703125e-06,3.0456542968749996e-06,8.0,7.629394531249998e-16,7.646857441012131e-16,6.497437401126116e-08,6.541111791225436e-08,6.47931533322734e-08,2.5362824983819323e-10,1.5583682828180962e-08,2.762135864009951e-08,3.186796099325626e-08,9.548861049878378e-09,3.088199378863446e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID098_LOC_RC021020-5.00x5.00-Z Height_Forward-251002-CRO_da77fb7a.tiff,10,2,1.5957691216057308,15.583682828180965,374.0,314.5,3652.34375,3071.2890625,0,0,0,3.65234375e-06,3.0712890625e-06,2.0,1.9073486328124996e-16,1.9100259065006716e-16,6.47931533322734e-08,6.47931533322734e-08,6.47931533322734e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386194e-08,4.8779296875e-09
