source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,1.348870495091071e-07,mean,0,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,1.1294815455093855e-07,mean,0,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_flatten_mean,particle_count,3,22,3,1,416.4457197829303,45.5346938949684,6.4191073614650465e-09,mean,0,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_flatten_mean,particle_count,4,34,4,2,453.5055730035076,35.24049533817315,2.6308576212149104e-08,mean,3,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_flatten_mean,particle_count,2,24,2,2,459.05783804817116,82.46112594651737,2.2558108312134724e-09,mean,0,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_flatten_mean,particle_count,0,8,0,0,0.0,0.0,4.7528840927859634e-08,mean,0,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_flatten_mean,particle_count,2,43,2,2,397.45604643178535,23.447658555442302,1.0626844850003778e-08,mean,0,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_flatten_mean,particle_count,0,23,0,0,0.0,0.0,1.8505865514214105e-08,mean,0,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_flatten_mean,particle_count,1,21,1,1,438.8404928878469,0.0,1.6667990761723982e-08,mean,0,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,1.890525020462383e-08,mean,1,350.0,550.0,900.0,512,512,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,particle_count_align_flatten_mean,particle_count,0,8,0,0,0.0,0.0,2.115749229700366e-07,mean,0,350.0,550.0,900.0,512,512,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,particle_count_align_flatten_mean,particle_count,2,82,2,2,379.1683202527646,29.142013367306106,9.743344246328443e-09,mean,1,350.0,550.0,900.0,512,512,1,9
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,particle_count_align_flatten_mean,particle_count,0,12,0,0,0.0,0.0,3.1186924411167265e-08,mean,0,350.0,550.0,900.0,512,512,1,10
PEGDA01TPO10SiNPSam02_S2_P__GrID014_LOC_RC002012-5.00x5.00-Z Height_Forward-251001-CRO_bd43a6f3.tiff,particle_count_align_flatten_mean,particle_count,0,8,0,0,0.0,0.0,2.470255364430683e-08,mean,0,350.0,550.0,900.0,512,512,1,11
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,particle_count_align_flatten_mean,particle_count,1,14,1,1,449.0967569370756,0.0,1.2386502191891187e-07,mean,0,350.0,550.0,900.0,512,512,1,19
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,particle_count_align_flatten_mean,particle_count,1,10,1,1,399.89685641078984,0.0,3.6899799420944556e-08,mean,0,350.0,550.0,900.0,512,512,1,20
PEGDA01TPO10SiNPSam02_S2_P__GrID017_LOC_RC004008-5.00x5.00-Z Height_Forward-251001-CRO_71e2e715.tiff,particle_count_align_flatten_mean,particle_count,0,29,0,0,0.0,0.0,3.5768978606110334e-08,mean,0,350.0,550.0,900.0,512,512,3,7
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,particle_count_align_flatten_mean,particle_count,0,8,0,0,0.0,0.0,4.1818713950934015e-08,mean,1,350.0,550.0,900.0,512,512,3,13
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,1.3296444383819542e-07,mean,0,350.0,550.0,900.0,512,512,4,0
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,particle_count_align_flatten_mean,particle_count,0,27,0,0,0.0,0.0,4.787020972088144e-08,mean,1,350.0,550.0,900.0,512,512,4,4
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,1.396757377917434e-07,mean,0,350.0,550.0,900.0,512,512,4,5
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,particle_count_align_flatten_mean,particle_count,0,69,0,0,0.0,0.0,2.3555992287771e-08,mean,0,350.0,550.0,900.0,512,512,4,15
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,particle_count_align_flatten_mean,particle_count,2,25,2,2,375.4778021740914,13.178122834612083,2.3439077270245422e-08,mean,2,350.0,550.0,900.0,512,512,4,16
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,particle_count_align_flatten_mean,particle_count,3,11,3,1,420.6509031171842,23.1635087869896,9.514216139389517e-08,mean,1,350.0,550.0,900.0,512,512,4,20
