source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,1,26,5.753627391751592,56.18776749757414,510.1153846153845,3.1153846153846154,4981.595552884614,30.423677884615383,0,0,0,4.981595552884615e-06,3.0423677884615383e-08,26.0,2.4795532226562493e-15,3.2893241435054056e-15,2.407293347938278e-07,2.6152999877480733e-07,2.265327208618905e-07,9.904066931172181e-09,2.809388374878707e-08,4.979511243742953e-08,4.144549569376219e-08,2.0666090915071613e-08,4.606680556146539e-08,1.7158532831006632e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,2,258,18.12445316531431,176.99661294252257,362.5077519379845,45.53875968992247,3540.11476501938,444.71445009689916,0,0,0,3.5401147650193796e-06,4.4471445009689915e-07,258.0,2.4604797363281243e-14,3.2915610460480566e-14,2.3613153379208276e-07,2.557594569527424e-07,2.2493555420778625e-07,6.715241369799262e-09,8.849830647126129e-08,1.568591641036036e-07,1.1032912917353201e-07,7.318659507728516e-08,1.2667627050344376e-07,5.996070035924136e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,3,19,4.918490759365935,48.03213632193296,348.86842105263156,39.815789473684205,3406.918174342105,388.82606907894734,0,0,0,3.4069181743421048e-06,3.8882606907894734e-07,19.0,1.8119812011718747e-15,2.6919710112029463e-15,2.2873335198090972e-07,2.3289106408750296e-07,2.2551648545052002e-07,2.1652478326317163e-09,2.401606816096648e-08,4.2567372495514386e-08,4.446666736306193e-08,1.3679472251492914e-08,4.3673353390472177e-08,1.1472848865407966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,4,25,5.641895835477563,55.09663901833557,349.81999999999994,51.18,3416.2109374999995,499.8046875,0,0,0,3.4162109374999995e-06,4.998046875e-07,25.0,2.3841857910156247e-15,3.592860696948676e-15,2.2967219968739463e-07,2.3606004774029835e-07,2.2506464225833317e-07,3.7166183964276566e-09,2.7548319509167786e-08,4.8828124999999996e-08,5.5513231555284234e-08,1.529143618144678e-08,5.694365244998117e-08,1.4647734982400976e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,5,587,27.33846397952051,266.97718730000497,91.50511073253833,141.04514480408855,893.6045969974446,1377.3939922274274,0,0,0,8.936045969974446e-07,1.3773939922274274e-06,587.0,5.5980682373046865e-14,6.072500724462295e-14,2.3500843222594142e-07,2.462747108226395e-07,2.2492652953908718e-07,5.72970193087578e-09,1.334885936500025e-07,2.3660237186690853e-07,2.0629804043756637e-07,8.829462105671926e-08,2.1929388765719295e-07,8.788961285333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,6,3219,64.01998199392506,625.1951366594244,436.3831935383659,150.78549238894064,4261.554624398104,1472.5145741107485,0,0,0,4.261554624398104e-06,1.4725145741107485e-06,3219.0,3.069877624511718e-13,5.611090678454362e-13,3.3660067564751904e-07,5.304242745788794e-07,2.2500404347153442e-07,8.408812085572764e-08,3.125975683297122e-07,5.540647637696985e-07,5.814055057878955e-07,1.749460019331678e-07,6.647358207158052e-07,1.7089742535333223e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,7,535,26.099485750361293,254.877790530872,35.464485981308414,160.511214953271,346.33287091121497,1567.4923335280373,0,0,0,3.4633287091121495e-07,1.5674923335280372e-06,535.0,5.1021575927734365e-14,6.569005854666725e-14,2.4025706360257786e-07,2.690218452321005e-07,2.2497151059642137e-07,1.1783328217919234e-08,1.2743889526543598e-07,2.2587956066836673e-07,2.671226286136709e-07,6.706930669221359e-08,2.830768942867153e-07,5.900038516779938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,8,18,4.787307364817192,46.751048484542885,1.5555555555555556,159.33333333333331,15.190972222222221,1555.9895833333333,0,0,0,1.519097222222222e-08,1.5559895833333333e-06,18.0,1.7166137695312496e-15,2.6521137326759907e-15,2.3860783211442734e-07,2.544678224161799e-07,2.2606895556383265e-07,9.083209491290815e-09,2.3375524242271445e-08,4.1432037960149266e-08,3.013939525848327e-08,1.9694458401521557e-08,3.495830736959214e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,9,36,6.770275002573076,66.11596682200269,510.3888888888889,177.16666666666666,4984.266493055556,1730.1432291666665,0,0,0,4.984266493055555e-06,1.7301432291666664e-06,36.0,3.433227539062499e-15,3.7648984181329875e-15,2.3194453885589322e-07,2.395346050823896e-07,2.2634304366468827e-07,3.557491259338873e-09,3.3057983411001345e-08,5.8593749999999995e-08,6.004815358822271e-08,1.9682429219010965e-08,6.366488892361162e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,10,706,29.98177977677484,292.7908181325668,18.18838526912181,185.0042492917847,177.6209498937677,1806.6821219900849,0,0,0,1.776209498937677e-07,1.8066821219900848e-06,706.0,6.732940673828123e-14,1.7955287903807128e-13,3.309536847932951e-07,5.993686254152657e-07,2.249570343913717e-07,9.291860437301591e-08,1.463954090662834e-07,2.5947910655442227e-07,1.9925449659967237e-07,1.115745844992084e-07,2.082616446995017e-07,1.0253805035333233e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,11,1331,41.16651350360511,402.01673343364365,328.515026296018,217.56912096168296,3208.154553672051,2124.698446891435,1,1,0,3.208154553672051e-06,2.124698446891435e-06,1331.0,1.2693405151367184e-13,1.4279913781591937e-13,2.479117016343807e-07,2.7955519980183267e-07,2.2497608220993783e-07,1.5490756123226096e-08,2.010083667168218e-07,3.562780536514589e-07,2.982860364247312e-07,1.4818599392512947e-07,3.137690973372355e-07,1.171957280663581e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,12,18,4.787307364817192,46.751048484542885,41.49999999999999,249.99999999999994,405.27343749999994,2441.4062499999995,0,0,0,4.0527343749999995e-07,2.4414062499999996e-06,18.0,1.7166137695312496e-15,1.3233826834380751e-14,2.4958447590868056e-07,2.645185518598209e-07,2.3243937388605976e-07,1.1735579204454508e-08,2.3375524242271445e-08,4.1432037960149266e-08,5.016199158008308e-08,1.1147109240018473e-08,4.501730692037544e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,13,3048,62.2963412437101,608.3627074581065,257.55347769028873,288.13681102362204,2515.1706805692256,2813.836045152559,0,0,0,2.5151706805692256e-06,2.813836045152559e-06,3048.0,2.9067993164062493e-13,3.626839716000069e-13,2.6114683666622264e-07,3.2661902200582504e-07,2.2494437014563966e-07,2.6311191231893425e-08,3.041813537290532e-07,5.391474117907133e-07,4.004668314848578e-07,2.398167803123468e-07,4.18471729166634e-07,1.9892683401421207e-07
