source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,1,212,16.42944866646031,160.44383463340145,4.764150943396227,10.066037735849056,46.524911556603776,98.30114976415094,0,0,0,4.6524911556603775e-08,9.830114976415093e-08,212.0,2.0217895507812495e-14,3.6468811949223814e-14,3.131349312274785e-07,4.2876448253738924e-07,2.4974943573584255e-07,4.333867659484048e-08,8.022191731670074e-08,1.421896462750101e-07,1.2767893030326667e-07,5.3193607925683844e-08,1.3759332765265636e-07,4.9272287302940786e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,2,222,16.812470934731934,164.18428647199156,175.91891891891888,20.635135135135137,1717.9581925675673,201.51499155405406,0,0,0,1.7179581925675672e-06,2.0151499155405405e-07,222.0,2.1171569824218744e-14,2.275942737607791e-14,2.5508077096829897e-07,2.68883814504582e-07,2.464709270064223e-07,6.438315789349764e-09,8.209214323599577e-08,1.455045354077279e-07,1.252000975105374e-07,5.5688572378460375e-08,1.389697002006145e-07,5.586556117785223e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,3,70,9.440697438826296,92.19431092603806,510.3857142857143,107.1142857142857,4984.235491071428,1046.0379464285713,0,0,0,4.984235491071428e-06,1.0460379464285714e-06,70.0,6.675720214843748e-15,8.72280423030413e-15,2.6051035878379873e-07,2.7726036849530595e-07,2.4760055638267305e-07,8.686901064523134e-09,4.6097155463019025e-08,8.17050807162183e-08,1.1217046914956493e-07,1.9942202475066028e-08,1.172900502402114e-07,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,4,539,26.196872229566885,255.8288303668641,508.7096474953617,198.41094619666046,4967.867651321892,1937.6068964517624,0,0,0,4.967867651321892e-06,1.9376068964517624e-06,539.0,5.140304565429686e-14,8.146115059228218e-14,2.876060510858384e-07,3.530546314129805e-07,2.464941022122827e-07,2.7740651569645246e-08,1.2791441518343204e-07,2.2672239777820114e-07,4.190390032600409e-07,4.1607003175747075e-08,4.6389350748604585e-07,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,5,3949,70.90855351901601,692.4663429591408,223.69523930108886,196.9499873385667,2184.523821299696,1923.3397201031905,0,0,0,2.184523821299696e-06,1.9233397201031906e-06,3949.0,3.7660598754882805e-13,4.762123050167953e-13,3.295256904892522e-07,4.0883404301031516e-07,2.466012798234041e-07,4.719983077925878e-08,3.462331714795703e-07,6.136823181001943e-07,4.1650542719836294e-07,2.8844377645652794e-07,4.3093671737093137e-07,2.8307721105742583e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,6,916,34.15095054280933,333.5053763946224,60.0,289.9508733624454,585.9375,2831.551497680131,0,0,0,5.859375e-07,2.831551497680131e-06,916.0,8.735656738281247e-14,9.432837904243019e-14,2.623103966207128e-07,2.8461320353897504e-07,2.4645636854020136e-07,9.984094875239841e-09,1.6675268819731118e-07,2.9556144434417096e-07,2.6349769096029495e-07,1.066335513213088e-07,2.790080126663571e-07,1.0904800472678139e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,7,6766,92.81561700316446,906.402509796528,356.20085722731295,390.4657109074785,3478.523996360478,3813.141708080845,0,0,0,3.478523996360478e-06,3.813141708080845e-06,6766.0,6.452560424804686e-13,1.075179299104866e-12,3.455494048965425e-07,6.186195663316319e-07,2.4644792073873577e-07,8.227940712423613e-08,4.5320125489826394e-07,8.032783094796401e-07,6.808712758300079e-07,3.284555153507974e-07,7.453830632743208e-07,2.8873102858794716e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,8,311,19.899183360445615,194.32796250435172,212.01768488745978,450.0337620578778,2070.4852039790994,4394.860957596463,0,0,0,2.0704852039790995e-06,4.394860957596463e-06,311.0,2.965927124023437e-14,3.8485298183612364e-14,2.641162126814502e-07,2.9004366507397756e-07,2.4647114427242044e-07,1.1833126616231332e-08,9.716398125217585e-08,1.7221867273973043e-07,1.4187429495723614e-07,7.014579844852341e-08,1.612079052753782e-07,6.411610705292235e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,9,102,11.396070970426017,111.28975557056657,509.3921568627451,453.18627450980387,4974.532781862745,4425.647212009803,0,0,0,4.974532781862744e-06,4.425647212009804e-06,102.0,9.727478027343747e-15,2.5497462514849317e-14,2.987868841196495e-07,3.8066095520317704e-07,2.4677605242222243e-07,3.6100111948119856e-08,5.564487778528329e-08,9.862797791369215e-08,1.0801284077256185e-07,3.064124500661106e-08,1.1325691726637256e-07,2.9997605142925936e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,10,12,3.9088200952233594,38.17207124241562,192.24999999999997,447.0833333333333,1877.4414062499998,4366.048177083333,0,0,0,1.8774414062499997e-06,4.366048177083333e-06,12.0,1.1444091796874998e-15,1.4436369900788621e-15,2.48447588069237e-07,2.5050311982856944e-07,2.4654262754220986e-07,1.3616175429677043e-09,1.908603562120781e-08,3.382911733532963e-08,2.1947800365916977e-08,1.713013209266785e-08,2.466407334986833e-08,1.4648308536272936e-08
