source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,1,751,30.922530590107066,301.9778377940143,207.65179760319575,104.36817576564579,2027.8495859687084,1019.2204664613846,0,0,0,2.0278495859687085e-06,1.0192204664613846e-06,751.0,7.162094116210935e-14,7.760910181709537e-14,1.99278904638416e-07,2.2247219891899865e-07,1.801909268378637e-07,1.1500583773125922e-08,1.5098891889700715e-07,2.6762089074306093e-07,1.6832661893100926e-07,1.3592494118144408e-07,1.7320498926427442e-07,1.2934376957698535e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,2,1341,41.32086917635994,403.52411305039004,155.14429530201343,136.79082774049215,1515.0810088087248,1335.8479271532437,1,1,0,1.5150810088087249e-06,1.3358479271532438e-06,1341.0,1.278877258300781e-13,1.3428306355170233e-13,1.9951012805796186e-07,2.1475250916645617e-07,1.8019550723872093e-07,1.0115891822226141e-08,2.0176205652519502e-07,3.576139340546983e-07,2.2077694001725294e-07,1.8500992670537048e-07,2.3631981020552202e-07,1.818987606774356e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,3,198,15.877702285203682,155.0556863789422,508.4747474747474,143.11616161616158,4965.57370580808,1397.618765782828,0,0,0,4.965573705808081e-06,1.397618765782828e-06,198.0,1.8882751464843746e-14,2.370648793907608e-14,2.03544149018815e-07,2.370907535548513e-07,1.8024914278951806e-07,1.5909903222614543e-08,7.75278431894711e-08,1.37414524213577e-07,1.4406111190816132e-07,4.430476882701486e-08,1.612080563157482e-07,4.394452814216952e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,4,1846,48.48092614194896,473.44654435497034,297.74972914409534,229.26218851570962,2907.712198672806,2238.8885597237268,1,0,0,2.907712198672806e-06,2.238888559723727e-06,1846.0,1.7604827880859372e-13,2.0204056620160776e-13,2.1190051740579848e-07,2.478294207494886e-07,1.8019670319194284e-07,1.9066155579068304e-08,2.3672327217748514e-07,4.1958107536993813e-07,2.818720618346992e-07,2.036173577709692e-07,3.032833980676315e-07,1.8788456137626213e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,5,1981,50.22238084878452,490.4529379764113,356.6150933871782,278.36067642604746,3482.569271359162,2718.3659807231197,1,0,0,3.482569271359162e-06,2.7183659807231196e-06,1981.0,1.8892288208007808e-13,2.129617630668519e-13,2.2052546265643582e-07,2.48890624530254e-07,1.8020820262914644e-07,1.9931035883606625e-08,2.4522646898820563e-07,4.346525993021071e-07,2.56651635418505e-07,2.3501245274796015e-07,2.7072415740095e-07,2.2447555787306112e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,6,236,17.334489682638438,169.282125807016,96.29237288135593,264.4618644067796,940.3552039194915,2582.6353945974574,0,0,0,9.403552039194915e-07,2.5826353945974576e-06,236.0,2.2506713867187496e-14,2.3415555499111687e-14,1.8656211070742702e-07,1.933983103105824e-07,1.802014996331446e-07,3.8635330341257364e-09,8.464106290350799e-08,1.5002237788805873e-07,1.0634030065669545e-07,6.911405834748323e-08,1.1486091841094864e-07,6.261454370140728e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,7,4535,75.9877709593719,742.0680757751162,203.27552370452037,368.89801543550163,1985.1125361769566,3602.5196819873204,0,0,0,1.9851125361769566e-06,3.60251968198732e-06,4535.0,4.324913024902343e-13,5.218311805838204e-13,2.3624698869882759e-07,3.2337160946520085e-07,1.8022875001133715e-07,3.5025928885777825e-08,3.7103403788755806e-07,6.576407092708254e-07,5.323006241712839e-07,2.647535251582591e-07,5.156364322158367e-07,2.45402172287815e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,8,596,27.547246117573295,269.0160753669267,157.0251677852349,360.53187919463085,1533.4489041526847,3520.8191327600666,0,0,0,1.5334489041526846e-06,3.5208191327600666e-06,596.0,5.6838989257812485e-14,6.223410817468813e-14,1.976720552884846e-07,2.113566078070549e-07,1.8036888182644235e-07,8.803773134123914e-09,1.3450803768346335e-07,2.3840928936979885e-07,1.6697764494943286e-07,1.092822057064104e-07,1.6783713727457972e-07,1.0398574663181541e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,9,173,14.841510746523857,144.93662838402204,509.2052023121388,407.0664739884393,4972.70705382948,3975.258535043353,0,0,0,4.97270705382948e-06,3.975258535043353e-06,173.0,1.649856567382812e-14,3.8300812619433125e-14,2.380412655052689e-07,3.260352930062997e-07,1.802938179381575e-07,4.0383839143065755e-08,7.246831419201103e-08,1.2844674255826078e-07,1.6702307902482084e-07,3.309549975622919e-08,1.6666303641164034e-07,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,10,79,10.02925341359355,97.9419278671245,104.04430379746836,444.8417721518987,1016.0576542721519,4344.157931170886,0,0,0,1.016057654272152e-06,4.344157931170885e-06,79.0,7.534027099609373e-15,8.965787833887445e-15,1.8989430989012673e-07,2.019163475528307e-07,1.8045140737863858e-07,6.3245801989646765e-09,4.897096393356225e-08,8.679877360659754e-08,5.496506520768912e-08,4.426723225197547e-08,6.002505706104633e-08,4.113349563630818e-08
