source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,1,2034,50.88977533838523,496.9704622889182,19.994100294985248,22.83874139626352,195.25488569321533,223.03458394788592,0,0,1,1.9525488569321533e-07,2.230345839478859e-07,2034.0,1.939773559570312e-13,4.3195619487906956e-13,4.9618101402375e-07,1.0933802989967817e-06,2.158805982596019e-07,2.2299143649647466e-07,2.4848523114445907e-07,4.4042860483514373e-07,3.567620230412451e-07,1.9671660608901072e-07,4.836977235105788e-07,1.8156990767139514e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,2,229,17.075475271404667,166.7526881973112,468.55676855895194,4.185589519650655,4575.749692958515,40.87489765283843,0,0,0,4.575749692958515e-06,4.0874897652838426e-08,229.0,2.183914184570312e-14,2.84891205936028e-14,2.46609676070352e-07,2.9116540126415837e-07,2.1603085516838498e-07,2.1010889886979368e-08,8.337634409865559e-08,1.4778072217208548e-07,1.4234773322846907e-07,5.218654105377788e-08,1.6120811874543661e-07,5.1879252036530385e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,3,4346,74.38749264102815,726.4403578225405,281.44983893235155,86.94592728946157,2748.533583323746,849.0813211861481,0,0,0,2.748533583323746e-06,8.490813211861481e-07,4346.0,4.1446685791015614e-13,5.512009524313743e-13,2.7752931154165376e-07,3.587462787479157e-07,2.155881637928873e-07,3.949518265353e-08,3.6322017891127024e-07,6.437910048378714e-07,5.332445442817437e-07,2.82540864470644e-07,5.733777900879849e-07,1.9736421289668726e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,4,2089,51.57322375954168,503.64476327677426,204.0016754427956,76.11847774054571,1992.2038617460507,743.3445091850167,1,1,0,1.9922038617460506e-06,7.433445091850167e-07,2089.0,1.9922256469726557e-13,2.1715289397228012e-13,2.4993272227734965e-07,2.831811636131537e-07,2.1566082315743797e-07,1.9455413718708264e-08,2.5182238163838713e-07,4.4634355007915774e-07,3.0288575248434776e-07,2.0987551874358383e-07,3.0320659867922817e-07,1.9700798080099466e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,5,244,17.625846048215095,172.12740281460054,2.1434426229508197,154.20081967213113,20.9320568647541,1505.8673796106557,0,0,0,2.0932056864754097e-08,1.5058673796106557e-06,244.0,2.3269653320312494e-14,4.639452120364702e-14,2.5506120743178176e-07,3.0433955092342e-07,2.166023027103811e-07,2.469106982952887e-08,8.606370140730026e-08,1.5254393898255182e-07,2.963726111837584e-07,2.5933452644658962e-08,3.0277507058892186e-07,2.4413278142169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,6,155,14.048207338801282,137.18952479298127,409.4612903225806,141.56451612903226,3998.6454133064512,1382.4659778225805,0,0,0,3.998645413306451e-06,1.3824659778225804e-06,155.0,1.4781951904296872e-14,2.0077503560368584e-14,2.3345122665593055e-07,2.5440599096469315e-07,2.1566665910614782e-07,1.0773397148240018e-08,6.859476239649064e-08,1.215810507616087e-07,1.1156644384441906e-07,4.274810410790132e-08,1.1016476604320317e-07,3.913766344839668e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,7,2996,61.762655998803574,603.1509374883161,124.49365821094793,212.98731642189586,1215.7583809662883,2079.9542619325766,0,0,0,1.2157583809662883e-06,2.0799542619325765e-06,2996.0,2.8572082519531246e-13,4.4901751305163664e-13,2.6781474297746756e-07,3.571898094216478e-07,2.156722059746361e-07,3.4663337693602685e-08,3.015754687441581e-07,5.345286009142191e-07,3.8084093914776684e-07,2.458746338833794e-07,4.1120811826430196e-07,2.2118304134593923e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,8,2,1.5957691216057308,15.583682828180965,113.0,173.49999999999997,1103.515625,1694.3359374999998,0,0,0,1.103515625e-06,1.6943359374999998e-06,2.0,1.9073486328124996e-16,3.579175083066185e-16,2.2072622709719345e-07,2.2072622709719345e-07,2.2072622709719345e-07,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,9,18,4.787307364817192,46.751048484542885,97.66666666666667,185.61111111111111,953.7760416666667,1812.6085069444443,0,0,0,9.537760416666667e-07,1.8126085069444442e-06,18.0,1.7166137695312496e-15,3.305187780012886e-15,2.22665577354228e-07,2.3236192091683272e-07,2.1607906463413527e-07,5.429536721376988e-09,2.3375524242271445e-08,4.1432037960149266e-08,3.454190104298352e-08,1.6358521551087954e-08,3.8139960619548184e-08,1.4647887615596076e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,10,138,13.255453865237978,129.44779165271464,1.3550724637681157,391.72463768115944,13.233129528985506,3825.4359148550725,0,0,0,1.3233129528985506e-08,3.8254359148550724e-06,138.0,1.3160705566406246e-14,3.21681191645068e-14,2.4840089409747527e-07,2.8413509159400995e-07,2.1629384892478729e-07,2.073174476945936e-08,6.47238958263573e-08,1.1472011840303446e-07,2.6715900019103175e-07,1.6223098453483468e-08,2.685995569580268e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,11,649,28.745999104799274,280.7226475078054,506.9052388289676,483.4029275808937,4950.246472939137,4720.731714657165,0,0,0,4.950246472939136e-06,4.720731714657165e-06,649.0,6.189346313476562e-14,1.1736648759626216e-13,2.8831331816324727e-07,4.555482644964523e-07,2.1573624990949419e-07,5.6411657761655006e-08,1.4036132375390268e-07,2.487839688058007e-07,3.8779702782829354e-07,5.8357084267099166e-08,4.2258958989915927e-07,7.275291646403272e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,12,208,16.273715780512877,158.92300566907107,2.975961538461538,496.4086538461538,29.062124399038456,4847.740760216346,0,0,0,2.9062124399038458e-08,4.847740760216346e-06,208.0,1.9836425781249995e-14,5.683960583808725e-14,3.062636953052557e-07,4.320565155072387e-07,2.167287776863962e-07,5.655699435995306e-08,7.946150283453553e-08,1.4084184669781206e-07,2.032430073891092e-07,3.386006351094704e-08,2.145127710308005e-07,3.906221917058462e-08
