source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,1,1494,43.61444577011535,425.92232197378274,187.1004016064257,19.048192771084334,1827.1523594377509,186.01750753012047,0,0,1,1.8271523594377508e-06,1.8601750753012047e-07,1494.0,1.4247894287109373e-13,2.7423894934820127e-13,7.180404946147416e-07,8.647253436446942e-07,6.16622593040381e-07,6.354787983012733e-08,2.1296116098689137e-07,3.774638298845251e-07,3.3530113160636613e-07,1.440851837778207e-07,4.229911935092922e-07,1.5634608184550034e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,2,16,4.51351666838205,44.07731121466846,252.12499999999994,1.2499999999999998,2462.1582031249995,12.207031249999998,0,0,0,2.4621582031249996e-06,1.2207031249999999e-08,16.0,1.5258789062499997e-15,2.4322836270624038e-15,6.279985749766782e-07,6.378830983195938e-07,6.179231427935622e-07,6.5818720611063435e-09,2.203865560733423e-08,3.9062499999999997e-08,3.41942483774979e-08,1.4937738899495396e-08,3.55478751705489e-08,1.4647898662863909e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,3,757,31.045810270703488,303.1817409248387,508.73381770145306,199.17767503302508,4968.103688490753,1945.0944827443857,0,0,0,4.968103688490753e-06,1.9450944827443856e-06,757.0,7.219314575195311e-14,2.4737171700793993e-13,7.286498270307129e-07,8.830891568891284e-07,6.168229994371702e-07,6.882331664062359e-08,1.5159087046241938e-07,2.6868782211323443e-07,6.211057223505641e-07,3.8774991916953157e-08,6.103719539270022e-07,3.9061715642169513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,4,1152,38.298458918537534,374.0083878763431,164.67447916666663,166.78298611111111,1608.1492106119788,1628.7400987413193,1,1,0,1.6081492106119789e-06,1.6287400987413194e-06,1152.0,1.0986328124999997e-13,2.31631206628732e-13,7.083733508697527e-07,8.439681494690043e-07,6.165931743835907e-07,6.010800436857941e-08,1.8700419393817156e-07,3.3145630368119413e-07,2.767796952292909e-07,1.2839361401426717e-07,2.818218040637197e-07,1.3102318984684196e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,5,152,13.911592676604096,135.85539723246188,126.75657894736841,185.9671052631579,1237.8572162828946,1816.0850123355262,0,0,0,1.2378572162828947e-06,1.8160850123355262e-06,152.0,1.4495849609374997e-14,4.5688544914404385e-14,6.741798208593505e-07,7.515690137247571e-07,6.166498176236824e-07,3.977565323550842e-08,6.792769861623094e-08,1.203987109954878e-07,1.0298836836600646e-07,4.590223661327235e-08,1.0300399617645893e-07,4.2945503057585505e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,6,153,13.957279475043833,136.30155737347494,100.63071895424837,194.51307189542484,982.7218647875817,1899.5417177287582,0,0,0,9.827218647875817e-07,1.8995417177287581e-06,153.0,1.4591217041015623e-14,2.5840710268247227e-14,6.470361677516009e-07,6.801651343121506e-07,6.171113412876429e-07,1.8513800065897352e-08,6.815077868673747e-08,1.2079411012551738e-07,1.0688153723460521e-07,4.379438449680999e-08,1.1147655067300959e-07,4.212027032922992e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,7,6838,93.30815616493042,911.2124625481487,264.80959344837675,318.21526762211175,2586.031186019304,3107.570972872185,0,0,0,2.586031186019304e-06,3.107570972872185e-06,6838.0,6.521224975585936e-13,1.4662414900950226e-12,7.43146099102799e-07,1.0129138023242395e-06,6.165659128131171e-07,7.351783032773875e-08,4.5560623127407427e-07,8.07541019118282e-07,6.223732524879933e-07,3.6561157777273403e-07,6.545342716834e-07,2.6803387459171966e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,8,64,9.0270333367641,88.15462242933692,346.6875,376.35937499999994,3385.6201171875,3675.3845214843745,0,0,0,3.3856201171875e-06,3.6753845214843746e-06,64.0,6.103515624999999e-15,2.81580653000021e-14,6.297327892753625e-07,6.48029833317708e-07,6.171465587016331e-07,9.042759549893107e-09,4.407731121466846e-08,7.812499999999999e-08,7.088728339030071e-08,2.8713297644064145e-08,7.721360380347471e-08,2.9296445624318216e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,9,2094,51.63490686227129,504.2471373268681,335.31470869149945,391.2005730659025,3274.5577020654246,3820.3180963467044,1,1,0,3.2745577020654244e-06,3.820318096346704e-06,2094.0,1.996994018554687e-13,1.4671269189493766e-12,8.357085970418684e-07,1.1092066784308575e-06,6.166246796088388e-07,1.277313625448651e-07,2.52123568663434e-07,4.468773901815449e-07,9.10606702962021e-07,8.549076977538721e-08,9.66114736801641e-07,8.788974390854127e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,10,24,5.527906391541368,53.98346085489617,1.75,395.49999999999994,17.08984375,3862.3046874999995,0,0,0,1.708984375e-08,3.862304687499999e-06,24.0,2.2888183593749996e-15,7.375029027335508e-15,6.531680085478469e-07,6.998127239617406e-07,6.17701567279435e-07,2.6486700519147616e-08,2.6991730427448084e-08,4.784159653873394e-08,3.6851247532726377e-08,2.1495223451653475e-08,4.107542489200899e-08,1.720393268313377e-08
