source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,1,253,17.94796937867892,175.27313846366133,11.294466403162053,5.017786561264822,110.29752346837942,49.00182188735178,0,0,0,1.1029752346837943e-07,4.900182188735178e-08,253.0,2.412796020507812e-14,2.41350684133073e-14,3.191543708451207e-09,4.785396112068685e-09,2.4812141172293305e-09,5.628599610736598e-10,8.763656923183066e-08,1.553317746151061e-07,1.543245040217122e-07,5.5761144855563103e-08,1.8593869179657268e-07,5.225247244432523e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,2,144,13.540550005146152,132.23193364400538,504.3541666666667,4.256944444444445,4925.333658854167,41.57172309027778,0,0,0,4.925333658854167e-06,4.1571723090277775e-08,144.0,1.3732910156249997e-14,1.373603470144504e-14,3.2106230852617826e-09,4.3037924234541e-09,2.4802607059777453e-09,5.098981775383383e-10,6.611596682200269e-08,1.1718749999999999e-07,9.879024755758274e-08,4.7053833048563643e-08,1.0973717636509606e-07,4.407336440100794e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,3,9782,111.60120620584422,1089.8555293539475,483.9837456552852,181.0407892046616,4726.4037661648945,1767.9764570767734,0,0,0,4.726403766164894e-06,1.7679764570767735e-06,9782.0,9.328842163085936e-13,9.330214800519838e-13,4.676916454061638e-09,9.137161476401576e-09,2.478568519260761e-09,1.647010056891416e-09,5.449277646769737e-07,9.658593149670367e-07,9.00646257072411e-07,3.440208475653508e-07,9.672816112961212e-07,3.363549238796166e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,4,42,7.312732791431452,71.41340616632277,4.238095238095238,134.6190476190476,41.38764880952381,1314.6391369047617,0,0,0,4.138764880952381e-08,1.3146391369047618e-06,42.0,4.005432128906249e-15,4.005721680410335e-15,2.61110949689797e-09,2.7198919125559007e-09,2.488804614132669e-09,6.936365340728775e-11,3.570670308316138e-08,6.328848338288925e-08,4.825191473771235e-08,2.697720015022036e-08,5.0277733508208015e-08,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,5,2053,51.1269086229677,499.2862170211689,14.403555772040916,177.44934242571847,140.65972433633706,1732.9037346261568,0,0,1,1.4065972433633706e-07,1.7329037346261568e-06,2053.0,1.957893371582031e-13,1.958136498800285e-13,2.9706883314989774e-09,3.952258741728863e-09,2.4803789295559104e-09,3.4107900011998996e-10,2.496431085105845e-07,4.42480889031609e-07,3.762620238786766e-07,1.7489554861552323e-07,3.902357556291616e-07,1.3858900921722912e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,6,21,5.170882945826411,50.496903767836045,2.928571428571428,220.6904761904762,28.59933035714285,2155.1804315476193,0,0,0,2.8599330357142852e-08,2.155180431547619e-06,21.0,2.0027160644531244e-15,2.003328057841724e-15,2.565028985963489e-09,2.7868534163742813e-09,2.4801270047414606e-09,7.700252951837377e-11,2.524845188391802e-08,4.475171577105312e-08,3.969524885673766e-08,2.2052946583526826e-08,4.7455593859768304e-08,1.0375050687002213e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,7,3,1.9544100476116797,19.08603562120781,1.4999999999999998,224.49999999999994,14.648437499999998,2192.3828124999995,0,0,0,1.4648437499999999e-08,2.1923828124999996e-06,3.0,2.8610229492187495e-16,2.8617163575815053e-16,2.5029287747400798e-09,2.528533592371668e-09,2.490126365924286e-09,1.810534017834077e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540985e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,8,480,24.721548929484133,241.4213762644935,7.293749999999998,436.4374999999999,71.22802734374999,4262.084960937499,0,0,0,7.122802734374999e-08,4.262084960937499e-06,480.0,4.577636718749999e-14,4.578158658583227e-14,2.7409805216396027e-09,3.2655569811617605e-09,2.478664486822627e-09,1.6687626651889368e-10,1.2071068813224673e-07,2.139541240254555e-07,1.8913420838217228e-07,8.471502154446288e-08,2.0639380056539685e-07,7.052898259771201e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,9,2,1.5957691216057308,15.583682828180965,511.0,423.5,4990.234375,4135.7421875,0,0,0,4.990234375e-06,4.1357421875e-06,2.0,1.9073486328124996e-16,1.908719831063498e-16,2.5471995150333842e-09,2.5660080681806334e-09,2.5283909618861347e-09,1.8808553147249364e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386384e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,10,3,1.9544100476116797,19.08603562120781,510.4999999999999,425.4999999999999,4985.351562499999,4155.273437499999,0,0,0,4.985351562499999e-06,4.155273437499999e-06,3.0,2.8610229492187495e-16,2.8638049581600876e-16,2.573450378660648e-09,2.6132469306314796e-09,2.517548028616673e-09,4.069494244079573e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754136e-08,4.8779296875e-09
