source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,1,6,2.763953195770684,26.991730427448086,26.999999999999993,0.8333333333333333,263.67187499999994,8.138020833333332,0,0,0,2.6367187499999995e-07,8.138020833333332e-09,6.0,5.722045898437499e-16,5.723355709238884e-16,1.2728361547333777e-08,1.281268165222373e-08,1.2644643697124622e-08,6.928103698343172e-11,1.3495865213724042e-08,2.392079826936697e-08,1.8829080516634473e-08,1.0408165870177961e-08,2.013345359818206e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,2,340,20.806283791440396,203.18636515078512,150.4,7.620588235294116,1468.75,74.4198069852941,0,0,0,1.46875e-06,7.441980698529411e-08,340.0,3.2424926757812494e-14,3.6389691207190274e-14,3.5953783962283154e-08,6.710014808390153e-08,1.2693292025811076e-08,1.4087890873471143e-08,1.0159318257539255e-07,1.800692276815017e-07,1.2111437384837424e-07,8.686873703362911e-08,1.3566960556778402e-07,8.300769882712079e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,3,315,20.026743534373637,195.57366732786755,485.6079365079365,6.077777777777777,4742.265004960317,59.3532986111111,0,0,0,4.742265004960317e-06,5.93532986111111e-08,315.0,3.0040740966796866e-14,3.5472442267812997e-14,3.9935476473677506e-08,5.666387743334087e-08,1.2737515868064882e-08,1.1411594891217577e-08,9.778683366393377e-08,1.7332264989549654e-07,1.3661779205084583e-07,7.193562247086786e-08,1.385724981623024e-07,6.757046737105958e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,4,1274,40.27539174226115,393.31437248301904,238.4866562009419,52.01883830455258,2328.971251962323,507.9964678178963,1,0,0,2.328971251962323e-06,5.079964678178963e-07,1274.0,1.2149810791015621e-13,1.3132495987028424e-13,3.595943068043257e-08,6.124800904722665e-08,1.2645531041159588e-08,1.5148054785143633e-08,1.966571862415095e-07,3.4856578706200675e-07,2.112162894960549e-07,1.882872790184915e-07,2.312080984534709e-07,1.4690525533313666e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,5,141,13.398760233979036,130.84726790995154,2.960992907801418,60.613475177304956,28.915946365248224,591.9284685283687,0,0,0,2.8915946365248225e-08,5.919284685283687e-07,141.0,1.3446807861328122e-14,1.3789471063920648e-14,1.70067406641357e-08,2.4189899438336243e-08,1.2661435043510793e-08,3.6832184634544466e-09,6.542363395497575e-08,1.1596037194372964e-07,1.3085892657211527e-07,3.4065664261127666e-08,1.2449322062340538e-07,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,6,1062,36.772005609005646,359.10161727544573,378.0065913370998,76.79284369114876,3691.470618526365,749.9301141713746,1,0,0,3.691470618526365e-06,7.499301141713747e-07,1062.0,1.0128021240234372e-13,1.0403687611460119e-13,2.2931747064300404e-08,3.2215383349043385e-08,1.2656834173266693e-08,5.405251002503831e-09,1.7955080863772288e-07,3.182455222031313e-07,2.2178409527794335e-07,1.4961269647852688e-07,2.2383996366990943e-07,1.2599649247514252e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,7,51,8.058239062071396,78.69374084054097,2.480392156862745,81.28431372549018,24.222579656862745,793.79212622549,0,0,0,2.4222579656862744e-08,7.937921262254901e-07,51.0,4.8637390136718736e-15,4.926855928139075e-15,1.5527135853258316e-08,1.8159860371444088e-08,1.2718264255657527e-08,1.464286838139595e-09,3.934687042027049e-08,6.974051199748876e-08,5.448684650174409e-08,2.9999889359160034e-08,6.01683702975967e-08,2.8319798205555398e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,8,95,10.998079684646791,107.40312192037882,24.87894736842105,85.69999999999999,242.9584703947368,836.9140624999999,0,0,0,2.429584703947368e-07,8.369140624999999e-07,95.0,9.059906005859373e-15,9.376724923401981e-15,1.7167460544228888e-08,2.1740495464887452e-08,1.2647865555179986e-08,2.796605190250771e-09,5.370156096018941e-08,9.518353852352502e-08,5.56286394383526e-08,5.220223159018625e-08,6.040655335972747e-08,4.642126123524275e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,9,1804,47.92623643373464,468.0296526731898,398.84146341463406,113.19401330376938,3894.936166158536,1105.4102861696229,1,0,0,3.894936166158536e-06,1.1054102861696229e-06,1804.0,1.7204284667968745e-13,1.843325719509798e-13,3.4998505490697945e-08,5.471133634759303e-08,1.2666813236243724e-08,1.2288917135930038e-08,2.340148263365949e-07,4.147804801092832e-07,3.6056849379127207e-07,1.5411056595800435e-07,3.5254716863977665e-07,1.4312306271157614e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,10,66,9.166995688475081,89.52144227026447,67.07575757575758,89.18181818181817,655.0366950757576,870.9161931818181,0,0,0,6.550366950757576e-07,8.709161931818181e-07,66.0,6.294250488281249e-15,6.500440370829272e-15,1.6095931371177267e-08,1.9798935279335018e-08,1.2705583276661547e-08,2.177041143846302e-09,4.476072113513223e-08,7.933631254527304e-08,4.7574256746467586e-08,4.30302834411445e-08,5.3363133535207256e-08,3.629247112354449e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,11,1025,36.12575996921783,352.7906246993929,185.8824390243902,107.09804878048779,1815.2581935975606,1045.879382621951,1,0,0,1.8152581935975606e-06,1.045879382621951e-06,1025.0,9.77516174316406e-14,1.02553231239981e-13,2.584584843383442e-08,4.050878641890838e-08,1.2693352692663333e-08,7.26374738731238e-09,1.7639531234969645e-07,3.126525506559008e-07,2.3294344289222463e-07,1.4882500272227973e-07,2.368810531338022e-07,1.0725603252410844e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,12,12,3.9088200952233594,38.17207124241562,0.9166666666666666,94.49999999999999,8.951822916666666,922.8515624999999,0,0,0,8.951822916666666e-09,9.228515624999999e-07,12.0,1.1444091796874998e-15,1.1489784497632321e-15,1.3281961063123756e-08,1.395128516215023e-08,1.2642892902519318e-08,4.670093562542877e-10,1.908603562120781e-08,3.382911733532963e-08,3.4551127498532994e-08,1.0949347181954328e-08,3.452739028015563e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,13,3,1.9544100476116797,19.08603562120781,279.8333333333333,109.16666666666666,2732.747395833333,1066.0807291666665,0,0,0,2.732747395833333e-06,1.0660807291666666e-06,3.0,2.8610229492187495e-16,2.8651525674822106e-16,1.2940010790202642e-08,1.2975757674911273e-08,1.2913287803419606e-08,2.628934209110856e-11,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940685e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,14,87,10.524820207108489,102.78144733504384,318.4080459770115,122.5574712643678,3109.453573994253,1196.8503053160919,0,0,0,3.109453573994253e-06,1.196850305316092e-06,87.0,8.296966552734374e-15,8.400030567630579e-15,1.4880851673280078e-08,1.8306925370380332e-08,1.2739881318006088e-08,1.641382005170368e-09,5.139072366752191e-08,9.108768606532046e-08,6.286766784090342e-08,4.28090796183577e-08,6.641385642148599e-08,3.853836195235788e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,15,40,7.136496464611085,69.69234828721763,192.425,126.34999999999998,1879.150390625,1233.8867187499998,0,0,0,1.879150390625e-06,1.2338867187499999e-06,40.0,3.8146972656249994e-15,3.820667120064446e-15,1.3077135263363893e-08,1.3655246156340763e-08,1.2660369848998814e-08,2.5954836181151446e-10,3.484617414360881e-08,6.176323555016365e-08,4.460847695041677e-08,3.003136168490057e-08,4.943600728374902e-08,2.1204741502472273e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,16,26,5.753627391751592,56.18776749757414,424.3076923076923,129.19230769230765,4143.629807692308,1261.643629807692,0,0,0,4.143629807692308e-06,1.261643629807692e-06,26.0,2.4795532226562493e-15,2.5433142846649735e-15,1.4702187396634907e-08,1.6448965919894863e-08,1.2695410133321158e-08,1.2417631319900917e-09,2.809388374878707e-08,4.979511243742953e-08,2.986963896306522e-08,2.7125965008963047e-08,3.367887740236957e-08,2.227468639901143e-08
