source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,1,4239,73.46606311850633,717.4420226416634,496.53892427459306,63.41153573956122,4849.012932369073,619.2532787066525,0,0,0,4.849012932369072e-06,6.192532787066525e-07,4239.0,4.042625427246093e-13,4.043447019415596e-13,-1.3718904959925653e-07,-1.3391773964907298e-07,-1.3926991330967705e-07,1.390371178902254e-09,3.587210113208316e-07,6.358164379163292e-07,7.441731381463496e-07,1.7924507368511986e-07,7.775930071516901e-07,1.762293258045574e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,2,18,4.787307364817192,46.751048484542885,150.99999999999997,183.49999999999997,1474.6093749999998,1791.9921874999998,0,0,0,1.4746093749999998e-06,1.7919921874999998e-06,18.0,1.7166137695312496e-15,1.7174086042538475e-15,-1.391777113580132e-07,-1.3914541209763736e-07,-1.3923969662803854e-07,2.943756137700508e-11,2.3375524242271445e-08,4.1432037960149266e-08,1.0032398316016616e-07,5.57355462000929e-09,8.802615418613256e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,3,2356,54.769995137812856,534.8632337677037,158.22156196943973,220.08106960950764,1545.1324411078099,2149.229195405348,1,1,0,1.5451324411078098e-06,2.149229195405348e-06,2356.0,2.2468566894531244e-13,2.2469938354046063e-13,-1.39119614999014e-07,-1.3880066662565676e-07,-1.392720601244342e-07,1.0733886173752394e-10,2.6743161688385177e-07,4.740101991996717e-07,3.291675765153416e-07,2.4100362067047195e-07,4.176717109951329e-07,1.084313396000573e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,4,12,3.9088200952233594,38.17207124241562,178.33333333333331,196.0,1741.5364583333333,1914.0625,0,0,0,1.7415364583333332e-06,1.9140625e-06,12.0,1.1444091796874998e-15,1.1444314305058707e-15,-1.392490427434813e-07,-1.3922275744348474e-07,-1.3926284778423233e-07,1.490007695278131e-11,1.908603562120781e-08,3.382911733532963e-08,3.413451449252497e-08,1.3706601882791418e-08,3.936804692572672e-08,9.765196474468533e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,5,2,1.5957691216057308,15.583682828180965,174.99999999999997,241.49999999999994,1708.9843749999998,2358.3984374999995,0,0,0,1.7089843749999998e-06,2.3583984374999996e-06,2.0,1.9073486328124996e-16,1.9075609621846093e-16,-1.3926980792034332e-07,-1.3926980792034332e-07,-1.3926980792034332e-07,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,6,8,3.1915382432114616,31.16736565636193,139.0,249.5,1357.421875,2436.5234375,0,0,0,1.357421875e-06,2.4365234375e-06,8.0,7.629394531249998e-16,7.629666161708545e-16,-1.3924827105015203e-07,-1.3923336059786052e-07,-1.3926144360993073e-07,1.0320828659636134e-11,1.5583682828180962e-08,2.762135864009951e-08,4.458843696007385e-08,5.573554620009238e-09,3.936649291161414e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,7,42,7.312732791431452,71.41340616632277,140.66666666666666,251.5,1373.6979166666665,2456.0546875,0,0,0,1.3736979166666665e-06,2.4560546875e-06,42.0,4.005432128906249e-15,4.006659689598349e-15,-1.3911527831060168e-07,-1.3900508379196932e-07,-1.392687516083826e-07,7.734109210339628e-11,3.570670308316138e-08,6.328848338288925e-08,1.9290821723035915e-07,7.664319651450829e-09,1.8561242191804435e-07,1.0915895733353881e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,8,5450,83.3015937350939,813.4921263192764,497.2981651376146,355.03926605504586,4856.4273939220175,3467.180332568807,0,0,0,4.856427393922018e-06,3.467180332568807e-06,5450.0,5.197525024414061e-13,5.198754502846307e-13,-1.3734522269844405e-07,-1.3385868495362815e-07,-1.392703459616791e-07,1.3464474497907831e-09,4.067460631596382e-07,7.209386259879589e-07,9.505098014831871e-07,1.8298722162985376e-07,1.0404531204923854e-06,1.7662808920106155e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,9,2,1.5957691216057308,15.583682828180965,123.0,253.5,1201.171875,2475.5859375,0,0,0,1.201171875e-06,2.4755859375e-06,2.0,1.9073486328124996e-16,1.907799889697238e-16,-1.3926121830990192e-07,-1.3925368501142124e-07,-1.392687516083826e-07,7.533298480681894e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,10,43,7.399277020331919,72.2585646516789,132.0813953488372,258.59302325581393,1289.8573764534883,2525.3224927325577,0,0,0,1.2898573764534884e-06,2.5253224927325578e-06,43.0,4.100799560546874e-15,4.101282853361634e-15,-1.3923255037635566e-07,-1.3918470280536177e-07,-1.3926419353240934e-07,2.0474322422614684e-11,3.612928232583944e-08,6.403748558888672e-08,8.886150083058157e-08,1.558275604132649e-08,9.392297241699393e-08,1.4648437499999999e-08
