source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_flatten_p95,particle_count,2,8,2,2,513.726230433365,8.036322955197647,4.6072485627535384e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_flatten_p95,particle_count,2,13,2,2,393.3380670900699,29.867247427470062,3.9571379102273736e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_flatten_p95,particle_count,2,10,2,2,422.93819950623936,44.57228533918959,2.0127268067969776e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_flatten_p95,particle_count,0,9,0,0,0.0,0.0,1.9885823919789137e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_flatten_p95,particle_count,1,18,1,1,402.01673343364365,0.0,2.2492647700118664e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_flatten_p95,particle_count,2,10,2,2,468.2222527274025,78.31863293614143,2.6885725396655176e-07,percentile(95.0),2,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,7.051294719730531e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_flatten_p95,particle_count,1,5,1,1,448.42030414018427,0.0,2.4661530280921184e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,1.9950538335188856e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,1.0680494097580026e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,1,0
